Callsign,Code,Number,AirlineCode,AirportCodes
QJE1251,QJE,1251,QJE,YBBN-YMML
QJE1254,QJE,1254,QJE,YMML-YBBN
QJE1255,QJE,1255,QJE,YBBN-YMML
QJE1257,QJE,1257,QJE,YBBN-YMML
QJE1260,QJE,1260,QJE,YMML-YSCB
QJE1263,QJE,1263,QJE,YSCB-YMML
QJE1266,QJE,1266,QJE,YMML-YSCB
QJE1268,QJE,1268,QJE,YMML-YSCB
QJE1269,QJE,1269,QJE,YSCB-YMML
QJE1271,QJE,1271,QJE,YSCB-YMML
QJE1272,QJE,1272,QJE,YMML-YSCB
QJE1274,QJE,1274,QJE,YMML-YSCB
QJE1275,QJE,1275,QJE,YSCB-YMML
QJE1276,QJE,1276,QJE,YMML-YSCB
QJE1277,QJE,1277,QJE,YSCB-YMML
QJE1279,QJE,1279,QJE,YSCB-YMML
QJE1282,QJE,1282,QJE,YMML-YSCB
QJE1285,QJE,1285,QJE,YSCB-YMML
QJE1286,QJE,1286,QJE,YMML-YSCB
QJE1500,QJE,1500,QJE,YSCB-YSSY
QJE1501,QJE,1501,QJE,YSSY-YSCB
QJE1502,QJE,1502,QJE,YSCB-YSSY
QJE1503,QJE,1503,QJE,YSSY-YSCB
QJE1504,QJE,1504,QJE,YSCB-YSSY
QJE1505,QJE,1505,QJE,YSSY-YSCB
QJE1506,QJE,1506,QJE,YSCB-YSSY
QJE1507,QJE,1507,QJE,YSSY-YSCB
QJE1508,QJE,1508,QJE,YSCB-YSSY
QJE1509,QJE,1509,QJE,YSSY-YSCB
QJE1510,QJE,1510,QJE,YSCB-YSSY
QJE1511,QJE,1511,QJE,YSSY-YSCB
QJE1512,QJE,1512,QJE,YMML-YSCB
QJE1513,QJE,1513,QJE,YSCB-YMML
QJE1514,QJE,1514,QJE,YMML-YSCB
QJE1515,QJE,1515,QJE,YSCB-YMML
QJE1516,QJE,1516,QJE,YMML-YSCB
QJE1517,QJE,1517,QJE,YSCB-YMML
QJE1518,QJE,1518,QJE,YMML-YSCB
QJE1519,QJE,1519,QJE,YSCB-YMML
QJE1520,QJE,1520,QJE,YMML-YSCB
QJE1521,QJE,1521,QJE,YSCB-YMML
QJE1522,QJE,1522,QJE,YMML-YSCB
QJE1523,QJE,1523,QJE,YSCB-YMML
QJE1524,QJE,1524,QJE,YMML-YSCB
QJE1525,QJE,1525,QJE,YSCB-YMML
QJE1526,QJE,1526,QJE,YMML-YSCB
QJE1527,QJE,1527,QJE,YSCB-YMML
QJE1528,QJE,1528,QJE,YMML-YSCB
QJE1529,QJE,1529,QJE,YSCB-YMML
QJE1530,QJE,1530,QJE,YMML-YSCB
QJE1531,QJE,1531,QJE,YSCB-YMML
QJE1532,QJE,1532,QJE,YMHB-YSSY
QJE1533,QJE,1533,QJE,YSCB-YMML
QJE1534,QJE,1534,QJE,YMHB-YSSY
QJE1535,QJE,1535,QJE,YSSY-YMHB
QJE1536,QJE,1536,QJE,YMHB-YSSY
QJE1537,QJE,1537,QJE,YSSY-YMHB
QJE1538,QJE,1538,QJE,YMHB-YSSY
QJE1539,QJE,1539,QJE,YSSY-YMHB
QJE1540,QJE,1540,QJE,YMHB-YSSY
