Callsign,Code,Number,AirlineCode,AirportCodes
QSM1203,QSM,1203,QSM,OIBP-OIII
QSM1210,QSM,1210,QSM,OIII-OIAW
QSM1211,QSM,1211,QSM,OIAW-OIII
QSM1212,QSM,1212,QSM,OIII-OIAW
QSM1213,QSM,1213,QSM,OIAW-OIII
QSM1216,QSM,1216,QSM,OIII-OIAA
QSM1217,QSM,1217,QSM,OIAA-OIII
QSM1219,QSM,1219,QSM,OIBB-OIII
QSM1220,QSM,1220,QSM,OIII-OIKB
QSM1221,QSM,1221,QSM,OIKB-OIII
QSM1224,QSM,1224,QSM,OIII-OIBK
QSM1225,QSM,1225,QSM,OIBK-OIII
QSM1228,QSM,1228,QSM,OISS-OIBK
QSM1230,QSM,1230,QSM,OIII-OIAM
QSM1231,QSM,1231,QSM,OIAM-OIII
QSM1238,QSM,1238,QSM,OIFM-OIBQ
QSM1239,QSM,1239,QSM,OIBQ-OIII
QSM1240,QSM,1240,QSM,OIII-OIKQ
QSM1241,QSM,1241,QSM,OIKQ-OIII
QSM1246,QSM,1246,QSM,OING-OIZH
QSM1247,QSM,1247,QSM,OIZH-OING
QSM1248,QSM,1248,QSM,OIII-OIZH
QSM1252,QSM,1252,QSM,OIII-OIMM
QSM1253,QSM,1253,QSM,OIMM-OIII
QSM1257,QSM,1257,QSM,OIBQ-OIII
QSM1260,QSM,1260,QSM,OIFM-OIKQ
QSM1261,QSM,1261,QSM,OIKQ-OIFM
QSM1273,QSM,1273,QSM,OIII-OITT
QSM1276,QSM,1276,QSM,OITR-OIII
QSM1277,QSM,1277,QSM,OIII-OITR
QSM1280,QSM,1280,QSM,OIII-OIFM
QSM1281,QSM,1281,QSM,OIFM-OIII
QSM1290,QSM,1290,QSM,OICC-OIII
QSM1291,QSM,1291,QSM,OIII-OICC
QSM1294,QSM,1294,QSM,OIII-OINZ
QSM1299,QSM,1299,QSM,OISS-OIII
QSM1304,QSM,1304,QSM,OIII-OIBP
QSM1315,QSM,1315,QSM,OIKQ-OIII
QSM2102,QSM,2102,QSM,EDDH-OITT
QSM2103,QSM,2103,QSM,OITT-EDDH
QSM2106,QSM,2106,QSM,EBBR-OIIE
QSM2107,QSM,2107,QSM,OIIE-EBBR
QSM2112,QSM,2112,QSM,OIIE-OOMS
QSM2117,QSM,2117,QSM,OOMS-OISS
QSM2122,QSM,2122,QSM,OOSH-OISS
QSM2136,QSM,2136,QSM,OIBB-OMDB
QSM2137,QSM,2137,QSM,OMDB-OIBB
QSM2145,QSM,2145,QSM,OIIE-UAAA
QSM2176,QSM,2176,QSM,UAAA-OIIE
QSM2177,QSM,2177,QSM,OIIE-UAAA
QSM2200,QSM,2200,QSM,OIKQ-OMDB
QSM2201,QSM,2201,QSM,OMDB-OIKQ
QSM2202,QSM,2202,QSM,OIKQ-OMDB
QSM2203,QSM,2203,QSM,OMDB-OIKQ
QSM2204,QSM,2204,QSM,OISS-OMDB
QSM2206,QSM,2206,QSM,LBWN-OIIE
QSM2207,QSM,2207,QSM,OIIE-LBWN
QSM2208,QSM,2208,QSM,LTFM-OIIE
QSM2209,QSM,2209,QSM,OIIE-LTFM
QSM2210,QSM,2210,QSM,OIIE-OMDB
QSM2211,QSM,2211,QSM,OMDB-OIIE
QSM2212,QSM,2212,QSM,LTFM-OIIE
QSM2213,QSM,2213,QSM,OIIE-LTFM
QSM2214,QSM,2214,QSM,LTFM-OIIE
QSM2215,QSM,2215,QSM,OIIE-LTFM
QSM2216,QSM,2216,QSM,ORNI-OIIE
QSM2217,QSM,2217,QSM,OIIE-ORNI
QSM2221,QSM,2221,QSM,OMDB-OIKB
QSM2230,QSM,2230,QSM,ORNI-OIIE
QSM2231,QSM,2231,QSM,OIIE-ORNI
QSM2236,QSM,2236,QSM,OIIE-OMDB
QSM2237,QSM,2237,QSM,OMDB-OIIE
QSM2250,QSM,2250,QSM,UDYZ-OIIE
QSM2251,QSM,2251,QSM,OIIE-UDYZ
QSM2260,QSM,2260,QSM,LTBJ-OIIE
QSM2272,QSM,2272,QSM,UGTB-OIIE
QSM2273,QSM,2273,QSM,OIIE-UGTB
QSM2277,QSM,2277,QSM,OIIE-UGSB
QSM2282,QSM,2282,QSM,ORNI-OIIE
QSM2296,QSM,2296,QSM,ORNI-OIMM
QSM2297,QSM,2297,QSM,OIMM-ORNI
