Callsign,Code,Number,AirlineCode,AirportCodes
RAM1,RAM,1,RAM,LFPG-GMME
RAM1255,RAM,1255,RAM,OERK-OEJN-GMMN
RAM1400,RAM,1400,RAM,GMMN-GMFO
RAM1401,RAM,1401,RAM,GMFO-GMMN
RAM1402,RAM,1402,RAM,GMMN-GMFO
RAM1403,RAM,1403,RAM,GMFO-GMMN
RAM1406,RAM,1406,RAM,GMME-GMML
RAM1407,RAM,1407,RAM,GMML-GMME
RAM1410,RAM,1410,RAM,GMMN-GMML
RAM1411,RAM,1411,RAM,GMML-GMMN
RAM1412,RAM,1412,RAM,GMMN-GMML
RAM1413,RAM,1413,RAM,GMML-GMMN
RAM1414,RAM,1414,RAM,GMMN-GMML
RAM1415,RAM,1415,RAM,GMML-GMMN
RAM1418,RAM,1418,RAM,GMML-GCLP
RAM1419,RAM,1419,RAM,GCLP-GMML
RAM1420,RAM,1420,RAM,GMMN-GMMH
RAM1421,RAM,1421,RAM,GMMH-GMMN
RAM1422,RAM,1422,RAM,GMMN-GMMH
RAM1423,RAM,1423,RAM,GMMH-GMMN
RAM1426,RAM,1426,RAM,GMME-GMMH
RAM1427,RAM,1427,RAM,GMMH-GMME
RAM1430,RAM,1430,RAM,GMMN-GMAT
RAM1431,RAM,1431,RAM,GMAT-GMMN
RAM1432,RAM,1432,RAM,GMAG-GMMN
RAM1433,RAM,1433,RAM,GMMN-GMAG
RAM1435,RAM,1435,RAM,GMMN-GMAG-GMAT-GMMN
RAM1436,RAM,1436,RAM,GMMN-GMTN-GMTA
RAM1437,RAM,1437,RAM,GMTA-GMTN-GMMN
RAM1438,RAM,1438,RAM,GMMN-GMTA-GMTT
RAM1439,RAM,1439,RAM,GMTT-GMTA-GMMN
RAM1446,RAM,1446,RAM,GMMN-GMFK
RAM1447,RAM,1447,RAM,GMFK-GMMN
RAM1452,RAM,1452,RAM,GMMN-GMMW
RAM1453,RAM,1453,RAM,GMMW-GMMN
RAM1457,RAM,1457,RAM,GMMW-GMMN
RAM1458,RAM,1458,RAM,GMMN-GMMW
RAM1459,RAM,1459,RAM,GMMW-GMMN
RAM1460,RAM,1460,RAM,GMMN-GMMZ
RAM1461,RAM,1461,RAM,GMMZ-GMMN
RAM1469,RAM,1469,RAM,GMMN-GMMZ-GMAZ-GMMN
RAM1491,RAM,1491,RAM,GMAD-GMML-GMMH-GMAD
RAM1493,RAM,1493,RAM,GMAD-GMMH-GMML
RAM1600,RAM,1600,RAM,GMFO-LFML
RAM1601,RAM,1601,RAM,LFML-GMFO
RAM1609,RAM,1609,RAM,EHAM-GMFF
RAM1616,RAM,1616,RAM,GMFO-LFPO
RAM1617,RAM,1617,RAM,LFPO-GMFO
RAM1620,RAM,1620,RAM,GMTA-EHAM
RAM1621,RAM,1621,RAM,EHAM-GMTT
RAM1624,RAM,1624,RAM,GMFF-LFLL
RAM1625,RAM,1625,RAM,LFLL-GMFF
RAM1626,RAM,1626,RAM,GMTA-EBBR
RAM1627,RAM,1627,RAM,EBBR-GMTA
RAM1630,RAM,1630,RAM,GMTT-EHAM
RAM1631,RAM,1631,RAM,EHAM-GMTT
RAM1637,RAM,1637,RAM,LFBD-GMFF
RAM1642,RAM,1642,RAM,GMTT-EBBR
RAM1643,RAM,1643,RAM,EBBR-GMTT
RAM1656,RAM,1656,RAM,GMMW-EHAM
RAM1657,RAM,1657,RAM,EHAM-GMMW
RAM1658,RAM,1658,RAM,GMFO-LFPO
RAM1659,RAM,1659,RAM,LFPO-GMFO
RAM1663,RAM,1663,RAM,EHAM-GMTT
RAM1668,RAM,1668,RAM,GMFO-EDDL
RAM1669,RAM,1669,RAM,EDDL-GMFO
RAM1672,RAM,1672,RAM,GMMW-EBBR
RAM1673,RAM,1673,RAM,EBBR-GMMW
RAM1674,RAM,1674,RAM,GMTT-EBBR
RAM1675,RAM,1675,RAM,EBBR-GMTT
RAM1676,RAM,1676,RAM,GMTT-LFLL
RAM1677,RAM,1677,RAM,LFLL-GMTT
RAM1678,RAM,1678,RAM,GMMW-EBBR
RAM1679,RAM,1679,RAM,EBBR-GMMW
RAM1680,RAM,1680,RAM,GMMW-EHAM
RAM1681,RAM,1681,RAM,EHAM-GMMW
RAM1682,RAM,1682,RAM,GMTT-EHAM
RAM1683,RAM,1683,RAM,EHAM-GMTT
RAM1684,RAM,1684,RAM,GMFO-EHRD
RAM1685,RAM,1685,RAM,EHRD-GMFO
RAM1688,RAM,1688,RAM,GMFO-EBBR
RAM1689,RAM,1689,RAM,EBBR-GMFO
RAM1690,RAM,1690,RAM,GMTT-EBBR
RAM1691,RAM,1691,RAM,EBBR-GMTT
RAM1692,RAM,1692,RAM,GMTT-EBBR
RAM1693,RAM,1693,RAM,EBBR-GMTT
RAM1694,RAM,1694,RAM,GMMW-EDDF
RAM1695,RAM,1695,RAM,EDDF-GMMW
RAM1696,RAM,1696,RAM,GMMW-EDDL
RAM1697,RAM,1697,RAM,EDDL-GMMW
RAM1702,RAM,1702,RAM,GMMN-LFPO
RAM1703,RAM,1703,RAM,LFPG-GMMN
RAM1708,RAM,1708,RAM,GMMN-LFLL
RAM1720,RAM,1720,RAM,GMMN-LFLL
RAM1722,RAM,1722,RAM,GMMN-LFBD
RAM1728,RAM,1728,RAM,GMMN-LFML
RAM1729,RAM,1729,RAM,LFML-GMMN
RAM1752,RAM,1752,RAM,GMMN-LFPO
RAM1753,RAM,1753,RAM,LFPO-GMMN
RAM1754,RAM,1754,RAM,GMMN-LFPG
RAM1755,RAM,1755,RAM,LFPG-GMMN
RAM1758,RAM,1758,RAM,GMMN-LFPG
RAM1762,RAM,1762,RAM,GMMN-LFPO
RAM1763,RAM,1763,RAM,LFPO-GMMN
RAM1766,RAM,1766,RAM,GMMN-LFPO
RAM1767,RAM,1767,RAM,LFPO-GMMN
RAM1792,RAM,1792,RAM,GMMN-LFBD
RAM1793,RAM,1793,RAM,LFBD-GMMN
RAM1796,RAM,1796,RAM,GMMN-LFBO
RAM1797,RAM,1797,RAM,LFBO-GMMN
RAM1812,RAM,1812,RAM,GMMN-EDDF
RAM1813,RAM,1813,RAM,EDDF-GMMN
RAM1834,RAM,1834,RAM,GMMN-EBBR
RAM1835,RAM,1835,RAM,EBBR-GMMN
RAM1836,RAM,1836,RAM,GMMN-EBBR
RAM1854,RAM,1854,RAM,GMMN-EHAM
RAM1855,RAM,1855,RAM,EHAM-GMMN
RAM1932,RAM,1932,RAM,GMMN-LSGG
RAM1933,RAM,1933,RAM,LSGG-GMMN
RAM1948,RAM,1948,RAM,GMMN-LIPE
RAM1949,RAM,1949,RAM,LIPE-GMMN
RAM1958,RAM,1958,RAM,GMMN-LIMC
RAM1959,RAM,1959,RAM,LIMC-GMMN
RAM1964,RAM,1964,RAM,GMMN-LEBL
RAM200,RAM,200,RAM,GMMN-KJFK
RAM2001,RAM,2001,RAM,LFPG-GMMI
RAM200N,RAM,200N,RAM,GMMN-KJFK
RAM201,RAM,201,RAM,KJFK-GMMN
RAM2017,RAM,2017,RAM,GMMN-GMFK
RAM201N,RAM,201N,RAM,KJFK-GMMN
RAM202,RAM,202,RAM,GMMN-KJFK
RAM2021,RAM,2021,RAM,LFPG-GMMI
RAM2022,RAM,2022,RAM,GMMI-LFPG
RAM202J,RAM,202J,RAM,GMMN-KJFK
RAM202K,RAM,202K,RAM,GMMN-KJFK
RAM202N,RAM,202N,RAM,GMMN-KJFK
RAM203,RAM,203,RAM,KJFK-GMMN
RAM203J,RAM,203J,RAM,KJFK-GMMN
RAM203K,RAM,203K,RAM,KJFK-GMMN
RAM203N,RAM,203N,RAM,KJFK-GMMN
RAM204,RAM,204,RAM,GMMN-KJFK
RAM204F,RAM,204F,RAM,GMMN-KMIA
RAM205,RAM,205,RAM,KJFK-GMMN
RAM205F,RAM,205F,RAM,KMIA-GMMN
RAM206,RAM,206,RAM,GMMN-CYUL
RAM206M,RAM,206M,RAM,GMMN-CYUL
RAM206T,RAM,206T,RAM,GMMN-CYUL
RAM207,RAM,207,RAM,CYUL-GMMN
RAM207M,RAM,207M,RAM,CYUL-GMMN
