Callsign,Code,Number,AirlineCode,AirportCodes
RLH5005,RLH,5005,RLH,ZSWX-ZUTR
RLH5007,RLH,5007,RLH,ZUUU-ZSWX
RLH5009,RLH,5009,RLH,ZUUU-ZBDT-ZYHB
RLH5010,RLH,5010,RLH,ZYHB-ZBDT-ZUUU
RLH5012,RLH,5012,RLH,ZBTJ-ZBOW-ZPPP
RLH5013,RLH,5013,RLH,ZUUU-ZBTS-ZYHB
RLH5014,RLH,5014,RLH,ZYHB-ZBTS-ZUUU
RLH5016,RLH,5016,RLH,ZSWX-ZPPP
RLH5017,RLH,5017,RLH,ZPPP-ZSNT
RLH5018,RLH,5018,RLH,ZSNT-ZPPP
RLH5032,RLH,5032,RLH,VDSV-ZPPP
RLH5033,RLH,5033,RLH,ZYTX-ZSNJ
RLH5034,RLH,5034,RLH,ZSNJ-ZYTX
RLH5036,RLH,5036,RLH,VDSV-ZSFZ-ZYTX
RLH5037,RLH,5037,RLH,ZPMS-VYMD
RLH5038,RLH,5038,RLH,VYMD-ZPMS
RLH5039,RLH,5039,RLH,ZYTX-ZSWX
RLH5040,RLH,5040,RLH,ZSWX-ZYTX
RLH5041,RLH,5041,RLH,ZPMS-ZPJM
RLH5042,RLH,5042,RLH,ZPJM-ZPMS
RLH5043,RLH,5043,RLH,ZLXY-ZBHH-ZYTX
RLH5044,RLH,5044,RLH,ZYTX-ZBHH-ZLXY
RLH5074,RLH,5074,RLH,ZSNT-ZPPP
RLH5301,RLH,5301,RLH,ZPPP-ZHHH-ZLLL
RLH5302,RLH,5302,RLH,ZLLL-ZHHH-ZPPP
RLH5304,RLH,5304,RLH,ZSNT-ZUGY
RLH5305,RLH,5305,RLH,ZLLL-ZBTJ
RLH5306,RLH,5306,RLH,ZBTJ-ZLLL
RLH5307,RLH,5307,RLH,ZPPP-ZLLL
RLH5308,RLH,5308,RLH,ZLLL-ZPPP
RLH5309,RLH,5309,RLH,ZSWX-ZLXY
RLH5310,RLH,5310,RLH,ZGNN-ZLLL
RLH5316,RLH,5316,RLH,ZSJN-ZYTX
RLH5321,RLH,5321,RLH,ZPJH-ZPLJ-ZLLL
RLH5322,RLH,5322,RLH,ZPJH-ZPLJ-ZLLL
RLH5323,RLH,5323,RLH,ZJQH-ZSFZ-ZSJN
RLH5324,RLH,5324,RLH,ZSWX-ZUCK-ZPPP
RLH5326,RLH,5326,RLH,ZPMS-ZSFZ
RLH5327,RLH,5327,RLH,ZPMS-ZGHA
RLH5328,RLH,5328,RLH,ZGHA-ZPMS
RLH5330,RLH,5330,RLH,ZBTJ-ZSLG-ZPPP
RLH5331,RLH,5331,RLH,ZPMS-ZUCK
