Callsign,Code,Number,AirlineCode,AirportCodes
RMY1021,RMY,1021,RMY,WMSA-WIII
RMY1022,RMY,1022,RMY,WIII-WMSA
RMY1635,RMY,1635,RMY,WBKK-WBGG
RMY1982,RMY,1982,RMY,WMSA-WBKL
RMY229,RMY,229,RMY,VVNB-WMKK
RMY315,RMY,315,RMY,WMSA-WBKK-WBGG
RMY316,RMY,316,RMY,WMSA-WBKK
RMY317,RMY,317,RMY,WBKK-WMSA
RMY326,RMY,326,RMY,WMSA-WBKL
RMY3507,RMY,3507,RMY,WMSA-VHHH
RMY3508,RMY,3508,RMY,VHHH-WMSA
RMY3512,RMY,3512,RMY,VHHH-WMSA
RMY382,RMY,382,RMY,WMSA-WSSS
RMY383,RMY,383,RMY,WSSS-WMSA
RMY4143,RMY,4143,RMY,WMSA-VTBS
RMY4145,RMY,4145,RMY,VVNB-WMSA
RMY4163,RMY,4163,RMY,WMSA-VVTS
RMY4164,RMY,4164,RMY,VVTS-VTBD
RMY543,RMY,543,RMY,WMSA-WBGG
RMY544,RMY,544,RMY,WBGG-WMSA
RMY6820,RMY,6820,RMY,VHHH-WMSA
RMY6821,RMY,6821,RMY,WMSA-VHHH
RMY6822,RMY,6822,RMY,VHHH-WMSA
RMY6826,RMY,6826,RMY,WMKK-VHHH
RMY6827,RMY,6827,RMY,VHHH-WMKK
RMY738,RMY,738,RMY,WBGG-WMSA
RMY8801,RMY,8801,RMY,WMSA-ZGNN
RMY8805,RMY,8805,RMY,WMSA-ZGNN
RMY8809,RMY,8809,RMY,WMSA-ZGNN
RMY9034,RMY,9034,RMY,WMSA-WMKK
RMY9035,RMY,9035,RMY,WMKK-WMSA
