Callsign,Code,Number,AirlineCode,AirportCodes
RSC12GD,RSC,12GD,RSC,GCFV-GCLA
RSC130,RSC,130,RSC,GCTS-GCLP
RSC134,RSC,134,RSC,GCXO-GCLP
RSC143G,RSC,143G,RSC,GCXO-GCLP
RSC15NL,RSC,15NL,RSC,GCFV-GCLP
RSC166,RSC,166,RSC,GCXO-GCLP
RSC18JP,RSC,18JP,RSC,GCRR-GCLP
RSC18QK,RSC,18QK,RSC,GCRR-GCXO
RSC18TW,RSC,18TW,RSC,GCFV-GCLP
RSC19KB,RSC,19KB,RSC,GCLP-GCXO
RSC19MY,RSC,19MY,RSC,GCXO-GCRR
RSC19PX,RSC,19PX,RSC,GCTS-GCLP
RSC1AB,RSC,1AB,RSC,GCHI-GCXO
RSC1DW,RSC,1DW,RSC,GCXO-GCLA
RSC1EX,RSC,1EX,RSC,GCRR-GCXO
RSC1GC,RSC,1GC,RSC,GCXO-GCLA
RSC1JP,RSC,1JP,RSC,GCFV-GCXO
RSC1LE,RSC,1LE,RSC,GCTS-GCLP
RSC1UF,RSC,1UF,RSC,GCFV-GCXO
RSC1YG,RSC,1YG,RSC,GCXO-GCLP
RSC209,RSC,209,RSC,GCFV-GCLP
RSC20RR,RSC,20RR,RSC,GCLP-GCFV
RSC219R,RSC,219R,RSC,GCFV-GCLP
RSC21LB,RSC,21LB,RSC,GCXO-GCFV
RSC21VQ,RSC,21VQ,RSC,GCFV-GCLP
RSC23PW,RSC,23PW,RSC,GCLA-GCLP
RSC23TD,RSC,23TD,RSC,GCFV-GCLP
RSC24UA,RSC,24UA,RSC,GCLA-GCRR
RSC25WP,RSC,25WP,RSC,GCRR-GCLP
RSC28ED,RSC,28ED,RSC,GCXO-GCLP
RSC28JL,RSC,28JL,RSC,GCXO-GCLP
RSC28QX,RSC,28QX,RSC,GCHI-GCLP
RSC2AN,RSC,2AN,RSC,GCLP-GCRR
RSC2FH,RSC,2FH,RSC,GCFV-GCLP
RSC2GK,RSC,2GK,RSC,GCXO-GCLA
RSC2GQ,RSC,2GQ,RSC,GCLA-GCXO
RSC2JQ,RSC,2JQ,RSC,GCRR-GCXO
RSC2NE,RSC,2NE,RSC,GCLP-GCFV
RSC2NL,RSC,2NL,RSC,GCFV-GCLP
RSC2PZ,RSC,2PZ,RSC,GCRR-GCLP
RSC2RC,RSC,2RC,RSC,GCXO-GCFV
RSC2UE,RSC,2UE,RSC,GCFV-GCLP
RSC2YA,RSC,2YA,RSC,GCFV-GCLP
RSC2ZT,RSC,2ZT,RSC,GCLP-GCFV
RSC2ZV,RSC,2ZV,RSC,GCFV-GCLP
RSC2ZY,RSC,2ZY,RSC,GCLA-GCLP
RSC31TB,RSC,31TB,RSC,GCXO-GCRR
RSC31VN,RSC,31VN,RSC,GCXO-GCLP
RSC33AG,RSC,33AG,RSC,GCLA-GCXO
RSC347T,RSC,347T,RSC,GCLP-GCXO
RSC34VC,RSC,34VC,RSC,GCLP-GCFV
RSC35MN,RSC,35MN,RSC,GCXO-GCLP
RSC39DM,RSC,39DM,RSC,GCLP-GCXO
RSC3AL,RSC,3AL,RSC,GCLA-GCFV
RSC3BH,RSC,3BH,RSC,GCLA-GCLP
RSC3CK,RSC,3CK,RSC,GCXO-GCLA
RSC3EW,RSC,3EW,RSC,GCLA-GCXO
RSC3GF,RSC,3GF,RSC,GCLA-GCLP
RSC3HW,RSC,3HW,RSC,GCFV-GCXO
RSC3LN,RSC,3LN,RSC,GCXO-GCHI
RSC3TF,RSC,3TF,RSC,GCXO-GCLA
RSC3XZ,RSC,3XZ,RSC,GCLP-GCRR
RSC42JY,RSC,42JY,RSC,GCXO-GCHI
RSC431,RSC,431,RSC,GCFV-GCXO
RSC434,RSC,434,RSC,GCXO-GCFV
RSC439,RSC,439,RSC,GCFV-GCXO
RSC447,RSC,447,RSC,GCFV-GCXO
RSC44SP,RSC,44SP,RSC,GCLP-GCFV
RSC44WE,RSC,44WE,RSC,GCLP-GCFV
RSC45TV,RSC,45TV,RSC,GCLP-GCXO
RSC45UM,RSC,45UM,RSC,GCLA-GCLP
RSC466,RSC,466,RSC,GCRR-GCXO
RSC46TR,RSC,46TR,RSC,GCLA-GCXO
RSC46UM,RSC,46UM,RSC,GCTS-GCLP
RSC471,RSC,471,RSC,GCRR-GCXO
RSC47KT,RSC,47KT,RSC,GCRR-GCLP
RSC47MJ,RSC,47MJ,RSC,GCXO-GCLP
RSC487U,RSC,487U,RSC,GCXO-GCLP
RSC497,RSC,497,RSC,GCRR-GCXO
RSC49KG,RSC,49KG,RSC,GCLP-GCXO
RSC4BD,RSC,4BD,RSC,GCXO-GCRR
RSC4DA,RSC,4DA,RSC,GCXO-GCFV
RSC4GV,RSC,4GV,RSC,GCRR-GCXO
RSC4HA,RSC,4HA,RSC,GCXO-GCRR
RSC4KT,RSC,4KT,RSC,GCRR-GCLP
RSC4LM,RSC,4LM,RSC,GCXO-GCFV
RSC4ME,RSC,4ME,RSC,GCXO-GCRR
RSC4NP,RSC,4NP,RSC,GCXO-GCRR
RSC4SR,RSC,4SR,RSC,GCLP-GCRR
RSC4TM,RSC,4TM,RSC,GCRR-GCXO
RSC4UR,RSC,4UR,RSC,GCXO-GCFV
RSC4WE,RSC,4WE,RSC,GCXO-GCRR
RSC4WV,RSC,4WV,RSC,GCLA-GCXO
RSC4XG,RSC,4XG,RSC,GCXO-GCRR
RSC4XK,RSC,4XK,RSC,GCXO-GCFV
RSC4XY,RSC,4XY,RSC,GCXO-GCHI
RSC4YP,RSC,4YP,RSC,GCRR-GCXO
RSC4YW,RSC,4YW,RSC,GCRR-GCXO
RSC50NU,RSC,50NU,RSC,GCFV-GCXO
RSC51SW,RSC,51SW,RSC,GCLA-GCXO
RSC52KH,RSC,52KH,RSC,GCLA-GCXO
RSC52ZL,RSC,52ZL,RSC,GCLP-GCHI
RSC53ET,RSC,53ET,RSC,GCXO-GCLP
RSC53HX,RSC,53HX,RSC,GCLP-GCRR
RSC53VL,RSC,53VL,RSC,GCFV-GCLP
RSC543,RSC,543,RSC,GCRR-GCLP
RSC55RV,RSC,55RV,RSC,GCLA-GCLP
RSC56CZ,RSC,56CZ,RSC,GCTS-GCLP
RSC57CT,RSC,57CT,RSC,GCRR-GCLP
RSC58EY,RSC,58EY,RSC,GCLP-GCRR
RSC594N,RSC,594N,RSC,GCLP-GCXO
RSC59JC,RSC,59JC,RSC,GCLP-GCFV
RSC59ZF,RSC,59ZF,RSC,GCLP-GCFV
RSC5AE,RSC,5AE,RSC,GCFV-GCXO
RSC5EB,RSC,5EB,RSC,GCRR-GCLP
RSC5F,RSC,5F,RSC,GCLP-GCTS
RSC5FP,RSC,5FP,RSC,GCXO-GCRR
RSC5HM,RSC,5HM,RSC,GCXO-GCFV
RSC5RK,RSC,5RK,RSC,GCXO-GCRR
RSC5UT,RSC,5UT,RSC,GCXO-GCLP
RSC5WP,RSC,5WP,RSC,GCRR-GCLP
RSC5YF,RSC,5YF,RSC,GCXO-GCFV
RSC604,RSC,604,RSC,GCLA-GCXO
RSC614,RSC,614,RSC,GCLA-GCXO
RSC624,RSC,624,RSC,GCLA-GCXO
RSC62XP,RSC,62XP,RSC,GCFV-GCLP
RSC631,RSC,631,RSC,GCXO-GCLA
RSC632,RSC,632,RSC,GCLA-GCXO
RSC63EK,RSC,63EK,RSC,GCRR-GCXO
RSC63FK,RSC,63FK,RSC,GCLP-GCFV
RSC65YG,RSC,65YG,RSC,GCRR-GCLA
RSC65ZW,RSC,65ZW,RSC,GCLP-GCTS
RSC674,RSC,674,RSC,GCHI-GCXO
RSC67TQ,RSC,67TQ,RSC,GCXO-GCLP
RSC68EG,RSC,68EG,RSC,GCXO-GCLA
RSC68JV,RSC,68JV,RSC,GCFV-GCLP
RSC690,RSC,690,RSC,GCXO-GCLA
RSC6CQ,RSC,6CQ,RSC,GCLA-GCLP
RSC6FE,RSC,6FE,RSC,GCLA-GCXO
RSC6GN,RSC,6GN,RSC,GCLP-GCRR
RSC6GP,RSC,6GP,RSC,GCTS-GCLA
RSC6JP,RSC,6JP,RSC,GCRR-GCXO
RSC6LC,RSC,6LC,RSC,GCXO-GCLA
RSC6MB,RSC,6MB,RSC,GCFV-GCXO
RSC6MZ,RSC,6MZ,RSC,GCXO-GCLA
RSC6RN,RSC,6RN,RSC,GCTS-GCLA
RSC6RP,RSC,6RP,RSC,GCXO-GCLA
RSC6UF,RSC,6UF,RSC,GCXO-GCLA
RSC6UT,RSC,6UT,RSC,GCRR-GCXO
