Callsign,Code,Number,AirlineCode,AirportCodes
RSY3115,RSY,3115,RSY,UUWW-LBBG
RSY3301,RSY,3301,RSY,UUWW-LTAI
RSY4103,RSY,4103,RSY,UUWW-LTAI
RSY4105,RSY,4105,RSY,UUWW-LTAI
RSY4129,RSY,4129,RSY,ULLI-LTAI
RSY4130,RSY,4130,RSY,LTAI-ULLI
RSY4704,RSY,4704,RSY,HEGN-UUWW
RSY555,RSY,555,RSY,UUWW-VTBS
RSY6135,RSY,6135,RSY,UELL-UNNT-UUWW
RSY6136,RSY,6136,RSY,UUWW-UNNT-UELL
RSY6533,RSY,6533,RSY,EBLG-UUWW
RSY6534,RSY,6534,RSY,ZGSZ-UUWW-LFOK
RSY701,RSY,701,RSY,UUWW-URSS
RSY702,RSY,702,RSY,URSS-UUWW
RSY708,RSY,708,RSY,HEGN-UUWW
RSY7101,RSY,7101,RSY,UUWW-LTAI
RSY7113,RSY,7113,RSY,UUWW-LCLK
RSY7114,RSY,7114,RSY,LCLK-UUWW
RSY731,RSY,731,RSY,URSS-UHHH
RSY7515,RSY,7515,RSY,UUWW-ZBTJ
RSY7537,RSY,7537,RSY,UUEE-ZGHA
RSY7538,RSY,7538,RSY,ZGHA-UUEE
RSY7539,RSY,7539,RSY,EDFH-UUWW-ZHHH
RSY7542,RSY,7542,RSY,ZSNJ-UUWW-EBLG
RSY7572,RSY,7572,RSY,ZGSZ-UUWW-EBLG
RSY7610,RSY,7610,RSY,EBLG-UUWW
RSY7631,RSY,7631,RSY,EBLG-UUWW-ZSNJ
RSY7632,RSY,7632,RSY,ZSNJ-UUWW-EBLG
RSY8101,RSY,8101,RSY,UUWW-LTAI
RSY8102,RSY,8102,RSY,LTAI-UUWW
RSY8110,RSY,8110,RSY,VHHH-UUEE
RSY8325,RSY,8325,RSY,UNNT-LTAI
RSY8516,RSY,8516,RSY,ZBTJ-UUWW-EDFH
RSY8531,RSY,8531,RSY,LFPG-UUWW-ZGSZ
RSY8532,RSY,8532,RSY,ZGSZ-UUWW-LFPG
RSY8544,RSY,8544,RSY,EDFH-UUWW
RSY8546,RSY,8546,RSY,ZSNJ-UUWW-EBLG
RSY8820,RSY,8820,RSY,UUWW-UTSA
RSY9005,RSY,9005,RSY,SVMI-UUWW
RSY9007,RSY,9007,RSY,EDFH-UUWW
RSY9101,RSY,9101,RSY,UUWW-LTAI
RSY9102,RSY,9102,RSY,LTAI-UUWW
RSY9103,RSY,9103,RSY,UUWW-LTAI
RSY9104,RSY,9104,RSY,LTAI-UUWW
RSY9105,RSY,9105,RSY,UUWW-LTAI
RSY9106,RSY,9106,RSY,LTAI-UUWW
RSY9111,RSY,9111,RSY,UUWW-LTAI
RSY9112,RSY,9112,RSY,LTAI-UUWW
RSY9131,RSY,9131,RSY,UUWW-LTBS
RSY9132,RSY,9132,RSY,LTBS-UUWW
RSY9133,RSY,9133,RSY,UUWW-LTFE
RSY9155,RSY,9155,RSY,UUWW-LTAI
RSY9163,RSY,9163,RSY,ULLI-LTAI
RSY9164,RSY,9164,RSY,LTAI-ULLI
RSY9216,RSY,9216,RSY,HEGN-UUWW
RSY9222,RSY,9222,RSY,HESH-UUWW
RSY9324,RSY,9324,RSY,LTAI-UNOO
RSY9326,RSY,9326,RSY,LTAI-UNNT
RSY9327,RSY,9327,RSY,UNKL-LTAI
RSY9328,RSY,9328,RSY,LTAI-UNKL
RSY9331,RSY,9331,RSY,USSS-LTAI
RSY9332,RSY,9332,RSY,LTAI-USSS
RSY9333,RSY,9333,RSY,ULLI-LTAI
RSY9338,RSY,9338,RSY,LTAI-UNEE
RSY9340,RSY,9340,RSY,LTAI-UIII
RSY9345,RSY,9345,RSY,URWW-LTAI
RSY9346,RSY,9346,RSY,LTAI-URWW
RSY9347,RSY,9347,RSY,URRR-LTAI
RSY9348,RSY,9348,RSY,LTAI-URRR
RSY9401,RSY,9401,RSY,UUWW-LTAI
RSY9402,RSY,9402,RSY,LTAI-UUWW
RSY9403,RSY,9403,RSY,UUWW-LTAI
RSY9404,RSY,9404,RSY,LTAI-UUWW
RSY9415,RSY,9415,RSY,UNNT-LGIR
