Callsign,Code,Number,AirlineCode,AirportCodes
RUK1013,RUK,1013,RUK,EGSS-LKPR
RUK1014,RUK,1014,RUK,LKPR-EGSS
RUK1104,RUK,1104,RUK,LEPA-EGCC
RUK1174,RUK,1174,RUK,LPPR-EGCC
RUK11DM,RUK,11DM,RUK,EGSS-GMMX
RUK126,RUK,126,RUK,LEPA-EGCC
RUK126K,RUK,126K,RUK,EGCC-LEPA
RUK12ND,RUK,12ND,RUK,EGCC-EBCI
RUK1364,RUK,1364,RUK,EGSS-GMME
RUK1365,RUK,1365,RUK,GMME-EGSS
RUK137Y,RUK,137Y,RUK,ENGM-EGSS
RUK1392,RUK,1392,RUK,EGSS-ENGM
RUK1393,RUK,1393,RUK,ENGM-EGSS
RUK1394,RUK,1394,RUK,EGSS-ENGM
RUK1395,RUK,1395,RUK,ENGM-EGSS
RUK13JH,RUK,13JH,RUK,GMMX-EGCC
RUK14QY,RUK,14QY,RUK,EKAH-EGSS
RUK1556,RUK,1556,RUK,EIDW-EGCC
RUK157N,RUK,157N,RUK,ENGM-EGSS
RUK15RD,RUK,15RD,RUK,EGCC-GMAD
RUK1642,RUK,1642,RUK,EGSS-UKLL
RUK1643,RUK,1643,RUK,UKLL-EGSS
RUK168,RUK,168,RUK,EGSS-LIPQ
RUK169,RUK,169,RUK,LIPQ-EGSS
RUK1731,RUK,1731,RUK,LBSF-EGSS
RUK1782,RUK,1782,RUK,EGSS-LFBD
RUK1783,RUK,1783,RUK,LFBD-EGSS
RUK17GQ,RUK,17GQ,RUK,EDDB-EGSS
RUK1862,RUK,1862,RUK,EICK-EGCC
RUK1863,RUK,1863,RUK,EGCC-EICK
RUK1874,RUK,1874,RUK,EGSS-LFMN
RUK1875,RUK,1875,RUK,LFMN-EGSS
RUK18PQ,RUK,18PQ,RUK,EGCC-LEIB
RUK1935,RUK,1935,RUK,EGCC-LEBL
RUK1936,RUK,1936,RUK,LEBL-EGCC
RUK19WC,RUK,19WC,RUK,GMMX-EGSS
RUK1CY,RUK,1CY,RUK,GCRR-EGCC
RUK1CZ,RUK,1CZ,RUK,EGCC-LFML
RUK1EW,RUK,1EW,RUK,EGCC-LEMI
RUK1FA,RUK,1FA,RUK,LMML-EGCC
RUK1JT,RUK,1JT,RUK,EGSS-LBSF
RUK1RK,RUK,1RK,RUK,EGCC-LIME
RUK1WH,RUK,1WH,RUK,EGCC-LCPH
RUK1XM,RUK,1XM,RUK,EPMO-EGCC
RUK1YE,RUK,1YE,RUK,EGSS-EGPH
RUK1ZN,RUK,1ZN,RUK,LKPR-EGCC
RUK2042,RUK,2042,RUK,LFLS-EGCC
RUK2088,RUK,2088,RUK,EICK-EGCC
RUK2089,RUK,2089,RUK,EGCC-EICK
RUK2131,RUK,2131,RUK,EGCC-GCRR
RUK21LN,RUK,21LN,RUK,EGCC-EINN
RUK2241,RUK,2241,RUK,LIPE-EGCC
RUK2242,RUK,2242,RUK,EGCC-LIPE
RUK226,RUK,226,RUK,EIDW-EGSS
RUK2284,RUK,2284,RUK,EPMO-EGSS
RUK22AR,RUK,22AR,RUK,EGSS-ENGM
RUK22GU,RUK,22GU,RUK,GMAD-EGCC
RUK2314,RUK,2314,RUK,EGSS-LZIB
RUK2315,RUK,2315,RUK,LZIB-EGSS
RUK2382,RUK,2382,RUK,EBCI-EGCC
RUK23VF,RUK,23VF,RUK,EGSS-LIPQ
RUK24,RUK,24,RUK,EGSS-EGCC
RUK2434,RUK,2434,RUK,EGSS-EPKK
RUK2435,RUK,2435,RUK,EPKK-EGSS
RUK2468,RUK,2468,RUK,EGSS-EPLL
RUK2469,RUK,2469,RUK,EPLL-EGSS
RUK2583,RUK,2583,RUK,EGCC-GCLP
RUK2584,RUK,2584,RUK,GCLP-EGCC
RUK2603,RUK,2603,RUK,LEVC-EGCC
RUK2627,RUK,2627,RUK,LEIB-EGCC
RUK2628,RUK,2628,RUK,EGSS-LEMD
RUK2654,RUK,2654,RUK,EGSS-GMMX
RUK2659,RUK,2659,RUK,LIBP-EGSS
RUK26KC,RUK,26KC,RUK,EPRZ-EGCC
RUK26PA,RUK,26PA,RUK,EGCC-LEMH
RUK2772,RUK,2772,RUK,EGSS-GMFF
RUK2773,RUK,2773,RUK,GMFF-EGSS
RUK2801,RUK,2801,RUK,EKBI-EGCC
RUK2A,RUK,2A,RUK,LEBL-EGCC
RUK2AK,RUK,2AK,RUK,EGCC-ENTO
RUK2DB,RUK,2DB,RUK,EGCC-LIME
RUK2DN,RUK,2DN,RUK,EINN-EGCC
RUK2EE,RUK,2EE,RUK,EGCC-LFMK
RUK2HD,RUK,2HD,RUK,EGSS-LIPH
RUK2HP,RUK,2HP,RUK,LYPG-EGSS
RUK2KB,RUK,2KB,RUK,GMAD-EGSS
RUK2LH,RUK,2LH,RUK,EGCC-GMAD
RUK2QM,RUK,2QM,RUK,ENTO-EGSS
RUK2TX,RUK,2TX,RUK,EGSS-ENTO
RUK2UU,RUK,2UU,RUK,EGAE-EGCC
RUK2UX,RUK,2UX,RUK,LYPG-EGSS
RUK2WK,RUK,2WK,RUK,EGSS-LROP
RUK2XV,RUK,2XV,RUK,EGCC-EIDW
RUK3004,RUK,3004,RUK,EGSS-LIRA
RUK3033,RUK,3033,RUK,EGSS-GMAD
RUK3034,RUK,3034,RUK,GMAD-EGSS
RUK3073,RUK,3073,RUK,LIRA-EGSS
RUK3087,RUK,3087,RUK,LFBD-EGCC
RUK3088,RUK,3088,RUK,EGCC-ESGG
RUK3089,RUK,3089,RUK,ESGG-EGCC
RUK3119,RUK,3119,RUK,LFML-EGCC
RUK3126,RUK,3126,RUK,EGCC-GMMX
RUK3127,RUK,3127,RUK,GMMX-EGCC
RUK3187,RUK,3187,RUK,EGCC-LEMD
RUK32,RUK,32,RUK,EGSS-ENTO
RUK3206,RUK,3206,RUK,EGCC-LIRA
RUK3209,RUK,3209,RUK,LEMG-EGCC
RUK3218,RUK,3218,RUK,EGCC-LIME
RUK3219,RUK,3219,RUK,LIME-EGCC
RUK3223,RUK,3223,RUK,EBCI-EGCC
RUK3226,RUK,3226,RUK,EGCC-ENTO
RUK3227,RUK,3227,RUK,ENTO-EGCC
RUK3232,RUK,3232,RUK,EGCC-LEMG
RUK3233,RUK,3233,RUK,LEMG-EGCC
RUK3243,RUK,3243,RUK,LFMU-EGCC
RUK33,RUK,33,RUK,ENTO-EGSS
RUK3446,RUK,3446,RUK,LEPA-EGCC
RUK34TB,RUK,34TB,RUK,EGSS-GMMX
RUK3556,RUK,3556,RUK,EGSS-GMMX
RUK3557,RUK,3557,RUK,GMMX-EGSS
RUK363X,RUK,363X,RUK,LFMK-EGCC
RUK3677,RUK,3677,RUK,EGSS-UKBB
RUK3678,RUK,3678,RUK,UKBB-EGSS
RUK37CG,RUK,37CG,RUK,EGSS-ENGM
RUK37VC,RUK,37VC,RUK,EGSS-LKPR
RUK38,RUK,38,RUK,EIKY-EGCC
RUK3804,RUK,3804,RUK,GCLP-EGCC
RUK3838,RUK,3838,RUK,EGSS-GMTT
RUK3839,RUK,3839,RUK,GMTT-EGSS
RUK3842,RUK,3842,RUK,EGSS-LEBL
RUK3843,RUK,3843,RUK,LEBL-EGSS
RUK3847,RUK,3847,RUK,LROP-EGSS
RUK39,RUK,39,RUK,LFBL-EGCC
RUK3952,RUK,3952,RUK,EGCC-LPPT
RUK39SQ,RUK,39SQ,RUK,LKPR-EGCC
RUK39TW,RUK,39TW,RUK,EGCC-GCLP
RUK3BX,RUK,3BX,RUK,EGSS-GMAD
RUK3DQ,RUK,3DQ,RUK,LIRA-EGSS
RUK3ED,RUK,3ED,RUK,EGCC-GCTS
RUK3EG,RUK,3EG,RUK,GMMX-EGSS
RUK3HL,RUK,3HL,RUK,GMAD-EGCC
RUK3HP,RUK,3HP,RUK,LEMH-EGCC
RUK3JG,RUK,3JG,RUK,EGCC-ENTO
RUK3NL,RUK,3NL,RUK,GMAD-EGCC
RUK3PY,RUK,3PY,RUK,LROP-EGSS
RUK3QX,RUK,3QX,RUK,LIME-EGCC
RUK3SF,RUK,3SF,RUK,EGCC-LFLS
RUK3TJ,RUK,3TJ,RUK,EGSS-GCTS
RUK3WD,RUK,3WD,RUK,EGCC-EGAE
RUK4088,RUK,4088,RUK,EGCC-LPFR
RUK4117,RUK,4117,RUK,LEMI-EGCC
RUK417V,RUK,417V,RUK,EGCC-EKBI
RUK41AA,RUK,41AA,RUK,EGCC-EPKT
RUK4331,RUK,4331,RUK,GCTS-EGCC
RUK4332,RUK,4332,RUK,EGCC-GCTS
RUK4370,RUK,4370,RUK,EGCC-ENZV
RUK4371,RUK,4371,RUK,LEZL-EGCC
RUK437Q,RUK,437Q,RUK,EGCC-LEZL
RUK4494,RUK,4494,RUK,EGSS-LICT
RUK4495,RUK,4495,RUK,LICT-EGSS
RUK44AT,RUK,44AT,RUK,EGCC-EIKN
RUK44FZ,RUK,44FZ,RUK,GMME-EGSS
RUK45QE,RUK,45QE,RUK,EGPH-EGSS
RUK46HJ,RUK,46HJ,RUK,EGSS-ENGM
RUK4776,RUK,4776,RUK,EGCC-EINN
RUK4928,RUK,4928,RUK,LCPH-EGCC
RUK4976,RUK,4976,RUK,EGSS-LIBR
RUK4977,RUK,4977,RUK,LIBR-EGSS
RUK4BH,RUK,4BH,RUK,GCTS-EGCC
RUK4CR,RUK,4CR,RUK,LPFR-EGCC
RUK4CY,RUK,4CY,RUK,EGCC-EPMO
RUK4HJ,RUK,4HJ,RUK,EGCC-LEIB
RUK4KN,RUK,4KN,RUK,GMAD-EGSS
RUK4TL,RUK,4TL,RUK,LHBP-EGCC
RUK4TX,RUK,4TX,RUK,GMMX-EGSS
RUK4XJ,RUK,4XJ,RUK,EGCC-LFMU
