Callsign,Code,Number,AirlineCode,AirportCodes
RYR80,RYR,80,RYR,EDDB-EIDW
RYR800,RYR,800,RYR,LIME-LLBG
RYR8001,RYR,8001,RYR,LICT-EDSB
RYR8002,RYR,8002,RYR,EDSB-LICT
RYR8003,RYR,8003,RYR,EPKK-LEAL
RYR8004,RYR,8004,RYR,LICT-LIPE
RYR8005,RYR,8005,RYR,LEAL-EGPD
RYR8006,RYR,8006,RYR,LOWW-EVRA
RYR8007,RYR,8007,RYR,LEMG-EGPD
RYR8008,RYR,8008,RYR,EGPD-LEMG
RYR8009,RYR,8009,RYR,EBCI-LIPE
RYR800A,RYR,800A,RYR,KBFI-EIDW
RYR800B,RYR,800B,RYR,KBFI-EIDW
RYR800C,RYR,800C,RYR,KBFI-EIDW
RYR800D,RYR,800D,RYR,KBFI-EIDW
RYR800E,RYR,800E,RYR,KBFI-EIDW
RYR800F,RYR,800F,RYR,EGGW-LIRN
RYR800G,RYR,800G,RYR,ESGG-EPGD
RYR800H,RYR,800H,RYR,KBFI-EIDW
RYR800I,RYR,800I,RYR,KBFI-EIDW
RYR800J,RYR,800J,RYR,KBFI-EIDW
RYR800K,RYR,800K,RYR,KBFI-EIDW
RYR800L,RYR,800L,RYR,KBFI-EIDW
RYR800M,RYR,800M,RYR,KBFI-EIDW
RYR800N,RYR,800N,RYR,KBFI-EIDW
RYR800P,RYR,800P,RYR,KBFI-EIDW
RYR800R,RYR,800R,RYR,KBFI-EIDW
RYR800S,RYR,800S,RYR,KBFI-EIDW
RYR800T,RYR,800T,RYR,KBFI-EIDW
RYR800U,RYR,800U,RYR,KBFI-EIDW
RYR800V,RYR,800V,RYR,EBCI-LOWW
RYR800W,RYR,800W,RYR,KBFI-EIDW
RYR800X,RYR,800X,RYR,KBFI-EIDW
RYR800Y,RYR,800Y,RYR,LMML-EGGD
RYR800Z,RYR,800Z,RYR,KBFI-EIDW
RYR801,RYR,801,RYR,LLBG-LIME
RYR8010,RYR,8010,RYR,LIPE-EBCI
RYR8011,RYR,8011,RYR,EIDW-EPWA
RYR8012,RYR,8012,RYR,EPWA-EIDW
RYR8013,RYR,8013,RYR,LICT-LIEE
RYR8014,RYR,8014,RYR,LIEE-LICT
RYR8015,RYR,8015,RYR,LICT-EDJA
RYR8016,RYR,8016,RYR,EDLV-GCFV
RYR8017,RYR,8017,RYR,LIMC-LEMD
