Callsign,Code,Number,AirlineCode,AirportCodes
SBI1,SBI,1,SBI,UUDD-UWGG
SBI10,SBI,10,SBI,USCC-UUDD
SBI1001,SBI,1001,SBI,UUDD-ULLI
SBI1002,SBI,1002,SBI,ULLI-UUDD
SBI1003,SBI,1003,SBI,UUDD-ULLI
SBI1004,SBI,1004,SBI,ULLI-UUDD
SBI1005,SBI,1005,SBI,UUDD-ULLI
SBI1006,SBI,1006,SBI,ULLI-UUDD
SBI1007,SBI,1007,SBI,UUDD-ULLI
SBI1008,SBI,1008,SBI,ULLI-UUDD
SBI1009,SBI,1009,SBI,UUDD-ULLI
SBI1010,SBI,1010,SBI,ULLI-UUDD
SBI1011,SBI,1011,SBI,UUDD-ULLI
SBI1012,SBI,1012,SBI,ULLI-UUDD
SBI1013,SBI,1013,SBI,UUDD-ULLI
SBI1014,SBI,1014,SBI,ULLI-UUDD
SBI1015,SBI,1015,SBI,UUDD-ULLI
SBI1016,SBI,1016,SBI,ULLI-UUDD
SBI1017,SBI,1017,SBI,UUDD-ULLI
SBI1018,SBI,1018,SBI,ULLI-UUDD
SBI1019,SBI,1019,SBI,UUDD-ULLI
SBI1020,SBI,1020,SBI,ULLI-UUDD
SBI1021,SBI,1021,SBI,UUDD-URSS
SBI1022,SBI,1022,SBI,URSS-UUDD
SBI1023,SBI,1023,SBI,UUDD-URSS
SBI1024,SBI,1024,SBI,ULLI-UUDD
SBI1025,SBI,1025,SBI,UUDD-URSS
SBI1026,SBI,1026,SBI,ULLI-UUDD
SBI1027,SBI,1027,SBI,UUDD-URSS
SBI1028,SBI,1028,SBI,ULLI-UUDD
SBI1029,SBI,1029,SBI,UUDD-URSS
SBI1030,SBI,1030,SBI,URSS-UUDD
SBI1031,SBI,1031,SBI,UUDD-URSS
SBI1032,SBI,1032,SBI,ULLI-UUDD
SBI1033,SBI,1033,SBI,UUDD-URSS
SBI1045,SBI,1045,SBI,UUDD-URSS
SBI1046,SBI,1046,SBI,URSS-UUDD
SBI1051,SBI,1051,SBI,UUDD-UWKD
SBI1052,SBI,1052,SBI,UWKD-UUDD
SBI1053,SBI,1053,SBI,UUDD-UWKD
SBI1054,SBI,1054,SBI,UWKD-UUDD
SBI1055,SBI,1055,SBI,UUDD-UWKD
SBI1056,SBI,1056,SBI,UWKD-UUDD
