Callsign,Code,Number,AirlineCode,AirportCodes
SDA111,SDA,111,SDA,NZWN-NZPN
SDA114,SDA,114,SDA,NZPN-NZWN
SDA117,SDA,117,SDA,NZWN-NZWB
SDA120,SDA,120,SDA,NZPN-NZWN
SDA123,SDA,123,SDA,NZWN-NZPN
SDA124,SDA,124,SDA,NZPN-NZWN
SDA128,SDA,128,SDA,NZPN-NZWN
SDA134,SDA,134,SDA,NZPN-NZWN
SDA196,SDA,196,SDA,NZPN-NZWN
SDA217,SDA,217,SDA,NZWN-NZWB
SDA251,SDA,251,SDA,NZWN-NZWB
SDA253,SDA,253,SDA,NZWN-NZWB
SDA255,SDA,255,SDA,NZWN-NZWB
SDA256,SDA,256,SDA,NZWB-NZWN
SDA262,SDA,262,SDA,NZWB-NZWN
SDA268,SDA,268,SDA,NZWB-NZWN
SDA269,SDA,269,SDA,NZWN-NZWB
SDA277,SDA,277,SDA,NZWN-NZWB
SDA278,SDA,278,SDA,NZWB-NZWN
SDA281,SDA,281,SDA,NZWN-NZWB
SDA322,SDA,322,SDA,NZNS-NZWN
SDA324,SDA,324,SDA,NZNS-NZWN
SDA327,SDA,327,SDA,NZWN-NZNS
SDA328,SDA,328,SDA,NZNS-NZWN
SDA333,SDA,333,SDA,NZWN-NZNS
SDA334,SDA,334,SDA,NZNS-NZWN
SDA341,SDA,341,SDA,NZWN-NZNS
SDA342,SDA,342,SDA,NZNS-NZWN
SDA343,SDA,343,SDA,NZWN-NZNS
SDA344,SDA,344,SDA,NZNS-NZWN
SDA345,SDA,345,SDA,NZWN-NZNS
SDA346,SDA,346,SDA,NZNS-NZWN
SDA347,SDA,347,SDA,NZWN-NZNS
SDA348,SDA,348,SDA,NZNS-NZWN
SDA356,SDA,356,SDA,NZNS-NZWN
SDA357,SDA,357,SDA,NZWN-NZNS
SDA389,SDA,389,SDA,NZWN-NZNS
SDA390,SDA,390,SDA,NZNS-NZWN
SDA391,SDA,391,SDA,NZWN-NZNS
SDA394,SDA,394,SDA,NZNS-NZWN
SDA395,SDA,395,SDA,NZWN-NZNS
SDA501,SDA,501,SDA,NZPP-NZNS
SDA502,SDA,502,SDA,NZNS-NZPP
SDA505,SDA,505,SDA,NZPP-NZNS
SDA506,SDA,506,SDA,NZNS-NZPP
SDA651,SDA,651,SDA,NZWB-NZCH
SDA652,SDA,652,SDA,NZCH-NZWB
SDA653,SDA,653,SDA,NZWB-NZCH
SDA654,SDA,654,SDA,NZCH-NZWB
SDA655,SDA,655,SDA,NZWB-NZCH
SDA657,SDA,657,SDA,NZWB-NZCH
SDA659,SDA,659,SDA,NZWB-NZCH
SDA671,SDA,671,SDA,NZWB-NZCH
SDA672,SDA,672,SDA,NZCH-NZWB
SDA673,SDA,673,SDA,NZWB-NZCH
SDA674,SDA,674,SDA,NZCH-NZWB
SDA711,SDA,711,SDA,NZCH-NZWF
SDA712,SDA,712,SDA,NZWB-NZNR
SDA713,SDA,713,SDA,NZCH-NZWF
SDA714,SDA,714,SDA,NZWF-NZCH
SDA717,SDA,717,SDA,NZCH-NZWF
SDA718,SDA,718,SDA,NZWF-NZCH
SDA719,SDA,719,SDA,NZCH-NZWF
SDA755,SDA,755,SDA,NZCH-NZWF
SDA756,SDA,756,SDA,NZWF-NZCH
SDA757,SDA,757,SDA,NZCH-NZWF
SDA801,SDA,801,SDA,NZAP-NZWN
SDA802,SDA,802,SDA,NZWN-NZAP
SDA803,SDA,803,SDA,NZAP-NZWN
SDA804,SDA,804,SDA,NZWN-NZAP
SDA805,SDA,805,SDA,NZAP-NZWN
SDA806,SDA,806,SDA,NZWN-NZAP
SDA811,SDA,811,SDA,NZAP-NZWN
SDA812,SDA,812,SDA,NZWN-NZAP
SDA813,SDA,813,SDA,NZAP-NZWN
SDA820,SDA,820,SDA,NZWB-NZWN
SDA891,SDA,891,SDA,NZAP-NZWN
SDA892,SDA,892,SDA,NZWN-NZAP
SDA896,SDA,896,SDA,NZWN-NZAP
SDA900,SDA,900,SDA,NZWS-NZWN
SDA901,SDA,901,SDA,NZWN-NZWS
SDA902,SDA,902,SDA,NZWS-NZWN
SDA903,SDA,903,SDA,NZWN-NZWS
SDA906,SDA,906,SDA,NZWS-NZWN
SDA990,SDA,990,SDA,NZWS-NZWN
SDA991,SDA,991,SDA,NZWN-NZWS
