Callsign,Code,Number,AirlineCode,AirportCodes
SDR10CL,SDR,10CL,SDR,EDDB-OLBA
SDR10EL,SDR,10EL,SDR,EDDB-OLBA
SDR10NL,SDR,10NL,SDR,EDDB-OLBA
SDR11BL,SDR,11BL,SDR,OLBA-EDDB
SDR11DL,SDR,11DL,SDR,OLBA-EDDB
SDR11ML,SDR,11ML,SDR,OLBA-EDDB
SDR12GY,SDR,12GY,SDR,LPMA-EDDB
SDR12HS,SDR,12HS,SDR,EDDB-LPMA
SDR14PH,SDR,14PH,SDR,OLBA-EDDB
SDR14YL,SDR,14YL,SDR,EDDB-OLBA
SDR15XL,SDR,15XL,SDR,OLBA-EDDB
SDR16PL,SDR,16PL,SDR,EDDB-OLBA
SDR16RY,SDR,16RY,SDR,EDDB-LIPQ
SDR17NE,SDR,17NE,SDR,EDDB-LIRF
SDR17PB,SDR,17PB,SDR,EDDL-OLBA
SDR17QL,SDR,17QL,SDR,OLBA-EDDB
SDR17RA,SDR,17RA,SDR,LIPQ-EDDB
SDR17SG,SDR,17SG,SDR,EDDB-LIPQ
SDR19BY,SDR,19BY,SDR,EDDB-OLBA
SDR19XA,SDR,19XA,SDR,DTMB-EDDW
SDR19XD,SDR,19XD,SDR,EDDB-DTMB
SDR19YB,SDR,19YB,SDR,EDDL-DTMB
SDR19YC,SDR,19YC,SDR,DTMB-EDDB
SDR20GA,SDR,20GA,SDR,EDVK-LEPA
SDR20HA,SDR,20HA,SDR,LEPA-EDVK
SDR20JW,SDR,20JW,SDR,LEPA-EDDW
SDR20KL,SDR,20KL,SDR,EDDW-OLBA
SDR20KS,SDR,20KS,SDR,EDDW-LEPA
SDR20MQ,SDR,20MQ,SDR,LEPA-EDDW
SDR20NN,SDR,20NN,SDR,EDDW-LEPA
SDR20PK,SDR,20PK,SDR,LEPA-EDDW
SDR20QC,SDR,20QC,SDR,EDDW-LEPA
SDR21BR,SDR,21BR,SDR,EDHL-LEPA
SDR21CT,SDR,21CT,SDR,LEPA-EDHL
SDR21JL,SDR,21JL,SDR,OLBA-EDDW
SDR21SM,SDR,21SM,SDR,EDDB-LEPA
SDR21XW,SDR,21XW,SDR,EDDB-LEPA
SDR21YY,SDR,21YY,SDR,LEPA-EDVK
SDR22BN,SDR,22BN,SDR,LEPA-EDDC
SDR22CH,SDR,22CH,SDR,EDDC-LEPA
SDR22WK,SDR,22WK,SDR,LEPA-EDDW
SDR23AH,SDR,23AH,SDR,EDVK-LEPA
SDR23AQ,SDR,23AQ,SDR,LEPA-EDVK
SDR23MB,SDR,23MB,SDR,LEPA-EDHL
SDR23MQ,SDR,23MQ,SDR,EDDC-LEPA
SDR23NS,SDR,23NS,SDR,EDHL-LEPA
SDR23NY,SDR,23NY,SDR,LEPA-EDDC
SDR23WW,SDR,23WW,SDR,EDHL-LEPA
SDR23XH,SDR,23XH,SDR,EDDW-LEPA
SDR23YQ,SDR,23YQ,SDR,LEPA-EDDW
SDR24ME,SDR,24ME,SDR,EDVK-LEPA
SDR24MQ,SDR,24MQ,SDR,LEPA-EDDW
SDR24NE,SDR,24NE,SDR,EDDW-LEPA
SDR24NQ,SDR,24NQ,SDR,LEPA-EDVK
SDR24PB,SDR,24PB,SDR,EDHL-LEPA
SDR24QL,SDR,24QL,SDR,EDDW-OLBA
SDR25BG,SDR,25BG,SDR,EDDW-LEPA
SDR25CT,SDR,25CT,SDR,LEPA-EDDW
SDR25PL,SDR,25PL,SDR,OLBA-EDDW
SDR25RW,SDR,25RW,SDR,LEPA-EDDB
SDR26BY,SDR,26BY,SDR,EDDC-LEPA
SDR26CP,SDR,26CP,SDR,LEPA-EDDC
SDR26MR,SDR,26MR,SDR,LEPA-EDDB
SDR2752,SDR,2752,SDR,EDLP-GCFV
SDR2753,SDR,2753,SDR,GCFV-EDLP
SDR27BN,SDR,27BN,SDR,EDVK-LEPA
SDR27CG,SDR,27CG,SDR,LEPA-EDDP
SDR27JY,SDR,27JY,SDR,EDDB-LEPA
SDR27KR,SDR,27KR,SDR,LEPA-EDDB
SDR27TE,SDR,27TE,SDR,EDDC-LEPA
SDR27WY,SDR,27WY,SDR,LEPA-EDDC
SDR27XG,SDR,27XG,SDR,LEPA-EDDW
SDR27YN,SDR,27YN,SDR,EDDW-LEPA
SDR28AK,SDR,28AK,SDR,LEPA-EDDW
SDR28AP,SDR,28AP,SDR,EDDW-LEPA
SDR28GX,SDR,28GX,SDR,EDDL-GCFV
SDR28PM,SDR,28PM,SDR,EDHL-LEPA
SDR28QH,SDR,28QH,SDR,LEPA-EDHL
SDR29HS,SDR,29HS,SDR,GCFV-EDDL
SDR29JY,SDR,29JY,SDR,EDDW-LEPA
SDR29KX,SDR,29KX,SDR,LEPA-EDDW
SDR29XN,SDR,29XN,SDR,LEPA-EDHL
SDR29YP,SDR,29YP,SDR,EDHL-LEPA
SDR30DE,SDR,30DE,SDR,GCFV-EDDL
SDR30EC,SDR,30EC,SDR,EDDL-GCFV
SDR30MH,SDR,30MH,SDR,GCLP-EDDB
SDR30NB,SDR,30NB,SDR,EDDB-GCLP
SDR30RQ,SDR,30RQ,SDR,GCRR-EDDL
SDR30SC,SDR,30SC,SDR,EDDL-GCRR
SDR30TT,SDR,30TT,SDR,GCTS-EDDB
SDR30WX,SDR,30WX,SDR,EDDB-GCTS
SDR31BJ,SDR,31BJ,SDR,EDVK-GCTS
SDR31DL,SDR,31DL,SDR,OLBA-EDDV
SDR31DT,SDR,31DT,SDR,EDDB-GCRR
SDR31EX,SDR,31EX,SDR,GCRR-EDDB
SDR31GE,SDR,31GE,SDR,GCLP-EDDP
SDR31GK,SDR,31GK,SDR,EDDP-GCLP
SDR31HC,SDR,31HC,SDR,EDDP-GCLP
SDR31HN,SDR,31HN,SDR,GCLP-EDDP
SDR31HY,SDR,31HY,SDR,GCFV-EDVK
SDR31RH,SDR,31RH,SDR,GCFV-EDDG
SDR31SE,SDR,31SE,SDR,EDDG-GCFV
SDR32RG,SDR,32RG,SDR,EDDL-GCLP
SDR32SM,SDR,32SM,SDR,GCLP-EDDL
SDR33DK,SDR,33DK,SDR,GCTS-EDDC
SDR33EC,SDR,33EC,SDR,EDDC-GCTS
SDR33GT,SDR,33GT,SDR,GCTS-EDDP
SDR33HM,SDR,33HM,SDR,EDDP-GCTS
SDR33MN,SDR,33MN,SDR,GCTS-EDDL
SDR33PQ,SDR,33PQ,SDR,GCFV-EDVK
SDR33RJ,SDR,33RJ,SDR,EDVK-GCTS
SDR33SR,SDR,33SR,SDR,GCTS-EDVK
SDR33TE,SDR,33TE,SDR,GCTS-EDDB
SDR33WX,SDR,33WX,SDR,EDDB-GCTS
SDR34AB,SDR,34AB,SDR,EDDB-GCFV
SDR34AM,SDR,34AM,SDR,GCFV-EDDB
SDR34RD,SDR,34RD,SDR,EDDC-GCLP
SDR34RJ,SDR,34RJ,SDR,GCTS-EDDB
