Callsign,Code,Number,AirlineCode,AirportCodes
SEU6121,SEU,6121,SEU,LROP-HEGN
SEU6122,SEU,6122,SEU,HEGN-LROP
SEU6241,SEU,6241,SEU,LROP-HESH
SEU6242,SEU,6242,SEU,HESH-LROP
SEU6244,SEU,6244,SEU,HESH-LRCL
SEU6245,SEU,6245,SEU,LRTR-HESH
SEU7131,SEU,7131,SEU,EYVI-HESH
SEU7132,SEU,7132,SEU,HESH-EYVI
SEU7347,SEU,7347,SEU,EPWA-HESH
SEU8323,SEU,8323,SEU,EDDB-HEGN
SEU8324,SEU,8324,SEU,HEGN-EDDB
SEU8623,SEU,8623,SEU,EPWA-HEGN
SEU8653,SEU,8653,SEU,HEGN-EPRZ
SEU8656,SEU,8656,SEU,HEGN-EPRZ
SEU8912,SEU,8912,SEU,HEGN-EVRA
SEU8945,SEU,8945,SEU,EPKT-HEGN
