Callsign,Code,Number,AirlineCode,AirportCodes
SHS120,SHS,120,SHS,UDYZ-UWGG
SHS121,SHS,121,SHS,UWGG-UDYZ
SHS150,SHS,150,SHS,UDYZ-USSS
SHS209,SHS,209,SHS,UDYZ-UUDD
SHS210,SHS,210,SHS,UUDD-UDYZ
SHS333,SHS,333,SHS,UDYZ-UUEE
SHS509,SHS,509,SHS,UDYZ-UUWW
SHS510,SHS,510,SHS,UUWW-UDYZ
SHS709,SHS,709,SHS,UDYZ-UUEE
SHS710,SHS,710,SHS,UUEE-UDYZ
SHS776,SHS,776,SHS,UDYZ-USPP
SHS777,SHS,777,SHS,USPP-UDYZ
SHS9321,SHS,9321,SHS,UDYZ-UUWW
SHS9322,SHS,9322,SHS,UUWW-UDYZ
SHS9325,SHS,9325,SHS,UDYZ-UUWW
SHS9333,SHS,9333,SHS,UDYZ-ULLI
SHS9334,SHS,9334,SHS,ULLI-UDYZ
