Callsign,Code,Number,AirlineCode,AirportCodes
SIL120,SIL,120,SIL,TJSJ-MDST
SIL121,SIL,121,SIL,KHSV-KMCO
SIL134,SIL,134,SIL,KTPA-KEYW
SIL136,SIL,136,SIL,KTPA-KEYW
SIL139,SIL,139,SIL,KEYW-KTPA
SIL144,SIL,144,SIL,KMCO-KCAE-KMCO
SIL146,SIL,146,SIL,KMCO-KGSP-KMCO
SIL3901,SIL,3901,SIL,KAFW-KDSM
SIL3902,SIL,3902,SIL,KDSM-KAFW
SIL3903,SIL,3903,SIL,KAFW-KABQ
SIL3923,SIL,3923,SIL,KAFW-KABQ
SIL3934,SIL,3934,SIL,KABQ-KAFW
SIL3943,SIL,3943,SIL,KAFW-KBFM
SIL3945,SIL,3945,SIL,KAFW-KICT
SIL3967,SIL,3967,SIL,KAFW-KOMA
SIL3978,SIL,3978,SIL,KOMA-KAFW
SIL3989,SIL,3989,SIL,KAFW-KICT
SIL3990,SIL,3990,SIL,KICT-KAFW
SIL51,SIL,51,SIL,KTPA-KTLH-KTPA
SIL52,SIL,52,SIL,KTPA-KTLH-KTPA
SIL53,SIL,53,SIL,KMCO-KFLL
SIL58,SIL,58,SIL,KFLL-KTPA-KFLL
SIL59,SIL,59,SIL,KTPA-KFLL
SIL60,SIL,60,SIL,KFLL-MYNN-KFLL
SIL61,SIL,61,SIL,KMCO-KPNS-KMCO
SIL62,SIL,62,SIL,KTPA-MYNN-KTPA
SIL64,SIL,64,SIL,KPNS-KMCO
SIL65,SIL,65,SIL,KFLL-MYAM-KFLL
SIL66,SIL,66,SIL,KFLL-KMCO-KHSV
SIL67,SIL,67,SIL,KFLL-KMCO
SIL69,SIL,69,SIL,KHSV-KMCO-KFLL
SIL70,SIL,70,SIL,KEYW-KMCO
SIL71,SIL,71,SIL,KEYW-KMCO
SIL72,SIL,72,SIL,KFLL-MYEF-KFLL
SIL74,SIL,74,SIL,KFLL-MYEF-KFLL
SIL77,SIL,77,SIL,KMCO-KFLL
SIL79,SIL,79,SIL,KFLL-KTLH-KFLL
SIL80,SIL,80,SIL,KTPA-KPNS-KTPA
SIL84,SIL,84,SIL,KTPA-KSAV-KTPA
SIL85,SIL,85,SIL,KFLL-KSAV-KFLL
SIL86,SIL,86,SIL,KFLL-MYEH-KFLL
SIL87,SIL,87,SIL,KFLL-KCHS
SIL88,SIL,88,SIL,KFLL-MYEH-KFLL
SIL90,SIL,90,SIL,KCHS-KMCO
SIL91,SIL,91,SIL,KMCO-KCHS
SIL93,SIL,93,SIL,KFLL-KEYW-KFLL
SIL94,SIL,94,SIL,KFLL-KEYW
SIL95,SIL,95,SIL,KFLL-KJAX-KMSY
SIL96,SIL,96,SIL,KMSY-KJAX-KFLL
SIL97,SIL,97,SIL,KTPA-KCHS
SIL98,SIL,98,SIL,KCHS-KTPA
