Callsign,Code,Number,AirlineCode,AirportCodes
STW1002,STW,1002,STW,UUEE-LTAI
STW1003,STW,1003,STW,LTAI-ULLI
STW1004,STW,1004,STW,ULLI-LTAI
STW1124,STW,1124,STW,USCC-LTAI
STW1126,STW,1126,STW,UNNT-LTAI
STW1652,STW,1652,STW,UMKK-LTAI
STW1713,STW,1713,STW,LTAI-USSS
STW1714,STW,1714,STW,USSS-LTAI
STW1823,STW,1823,STW,LTAI-UWKD
STW1824,STW,1824,STW,UWKD-LTAI
STW1825,STW,1825,STW,LTAI-USPP
STW1826,STW,1826,STW,USPP-LTAI
STW2001,STW,2001,STW,LTAI-UUWW
STW2003,STW,2003,STW,LTAI-ULLI
STW2004,STW,2004,STW,ULLI-LTAI
STW2606,STW,2606,STW,ULLI-LTAI
STW3001,STW,3001,STW,LTAI-EDDL
STW3002,STW,3002,STW,EDDL-LTAI
STW3003,STW,3003,STW,LTAI-EDDM
STW3007,STW,3007,STW,LTAI-EDDB
STW3008,STW,3008,STW,EDDB-LTAI
STW3010,STW,3010,STW,EDDS-LTAI
STW3013,STW,3013,STW,LTAI-EDDH
STW3014,STW,3014,STW,EDDH-LTAI
STW3015,STW,3015,STW,LTAI-EDDV
STW3016,STW,3016,STW,EDDV-LTAI
STW3019,STW,3019,STW,LTAI-EDDP
STW3020,STW,3020,STW,EDDP-LTAI
STW3401,STW,3401,STW,LTAI-LFSB
