Callsign,Code,Number,AirlineCode,AirportCodes
SUB1017,SUB,1017,SUB,KICT-KTUL
SUB1018,SUB,1018,SUB,KCHS-KATL
SUB1041,SUB,1041,SUB,KJAX-KATL
SUB1049,SUB,1049,SUB,KSAV-KMCO
SUB1291,SUB,1291,SUB,KJAX-KATL
SUB1311,SUB,1311,SUB,KATL-KPNS
SUB1317,SUB,1317,SUB,KTUL-KICT
SUB1318,SUB,1318,SUB,KATL-KCHS
SUB1341,SUB,1341,SUB,KATL-KJAX
SUB1349,SUB,1349,SUB,KATL-KSAV
SUB1402,SUB,1402,SUB,KSLC-KDEN-KSLC
SUB1591,SUB,1591,SUB,KATL-KJAX
SUB1603,SUB,1603,SUB,KGRI-KOMA
SUB1612,SUB,1612,SUB,KOMA-KEAR
SUB35,SUB,35,SUB,KFSD-KRAP-KOMA-KFSD
SUB8903,SUB,8903,SUB,KSUS-KFTY-KCLT-KORL
SUB8904,SUB,8904,SUB,KSUS-KFTY-KLCK
SUB8922,SUB,8922,SUB,CYOW-KDTW-KSDF
