Callsign,Code,Number,AirlineCode,AirportCodes
SWU1902,SWU,1902,SWU,LIPB-LICA
SWU1905,SWU,1905,SWU,LIBR-LIPB
SWU1906,SWU,1906,SWU,LIPB-LIEO
SWU1908,SWU,1908,SWU,LIPB-LICC
SWU1909,SWU,1909,SWU,LICC-LIPB
SWU1910,SWU,1910,SWU,LIPB-LIEE
SWU1911,SWU,1911,SWU,LIEE-LIPB
SWU1950,SWU,1950,SWU,LIPB-EDDB
SWU1951,SWU,1951,SWU,EDDB-LIPB
SWU1952,SWU,1952,SWU,LIPB-EDDL
SWU1953,SWU,1953,SWU,EDDL-LIPB
SWU1954,SWU,1954,SWU,LIPB-EDDH
SWU1955,SWU,1955,SWU,EDDH-LIPB
SWU1956,SWU,1956,SWU,LIPB-EDVK
SWU1957,SWU,1957,SWU,EDVK-LIPB
SWU1962,SWU,1962,SWU,LIPB-LEIB
SWU1963,SWU,1963,SWU,LEIB-LIPB
SWU1971,SWU,1971,SWU,LDSB-LIPB
SWU2301,SWU,2301,SWU,LIMC-EDDV
SWU2302,SWU,2302,SWU,EDDV-LIMC
SWU2380,SWU,2380,SWU,LIEO-LSZB
SWU2381,SWU,2381,SWU,LSZB-LIEO
SWU2390,SWU,2390,SWU,LDSB-LZIB
