Callsign,Code,Number,AirlineCode,AirportCodes
SXS1,SXS,1,SXS,LTAI-EDDF
SXS10,SXS,10,SXS,EDDK-LTAI
SXS102,SXS,102,SXS,LTAI-EHAM
SXS103,SXS,103,SXS,EHAM-LTAI
SXS11,SXS,11,SXS,EDDV-LTBJ
SXS110,SXS,110,SXS,LTAI-LFSB
SXS111,SXS,111,SXS,LFSB-LTAI
SXS112,SXS,112,SXS,LTAI-EDDK
SXS113,SXS,113,SXS,EDDK-LTAI
SXS114,SXS,114,SXS,LTAI-EDDK
SXS115,SXS,115,SXS,EDDK-LTAI
SXS116,SXS,116,SXS,LTAI-EDDK
SXS117,SXS,117,SXS,EDDK-LTAI
SXS118,SXS,118,SXS,LTAI-EDDK
SXS119,SXS,119,SXS,EDDK-LTAI
SXS11A,SXS,11A,SXS,EDDH-LTBJ
SXS11C,SXS,11C,SXS,LSZH-LTAI
SXS11D,SXS,11D,SXS,LTAI-ESMQ
SXS11E,SXS,11E,SXS,LTAI-EDDB
SXS11F,SXS,11F,SXS,LTAI-LFSB
SXS11H,SXS,11H,SXS,EDDL-LTBJ
SXS11M,SXS,11M,SXS,LTAI-EDDP
SXS11T,SXS,11T,SXS,EDDK-LTAC
SXS11W,SXS,11W,SXS,LIMC-LTBJ
SXS11Y,SXS,11Y,SXS,LTBJ-LFML
SXS12,SXS,12,SXS,EDDM-LTAI
SXS120,SXS,120,SXS,LTAI-LSZH
SXS121,SXS,121,SXS,LSZH-LTAI
SXS122,SXS,122,SXS,LTAI-LSZH
SXS123,SXS,123,SXS,LSZH-LTAI
SXS124,SXS,124,SXS,LTAI-LSZH
SXS125,SXS,125,SXS,LSZH-LTAI
SXS126,SXS,126,SXS,LTAI-EDDR
SXS127,SXS,127,SXS,LFSB-EDDR-LTAI
SXS128,SXS,128,SXS,LTAI-LSGG
SXS129,SXS,129,SXS,LSZH-LTAI
SXS12D,SXS,12D,SXS,EDDM-LTAU
SXS12G,SXS,12G,SXS,LTAC-EBBR
SXS12M,SXS,12M,SXS,LTFH-EDDS
SXS12U,SXS,12U,SXS,LTBJ-EDDL
SXS12W,SXS,12W,SXS,LSZH-LTAJ
SXS13,SXS,13,SXS,EDDK-LTAI
SXS130,SXS,130,SXS,LTAI-EDDM
SXS131,SXS,131,SXS,EDDM-LTAI
SXS132,SXS,132,SXS,LTAI-EDDM
SXS1320,SXS,1320,SXS,LTAU-EDDL
SXS1321,SXS,1321,SXS,EDDL-LTAU
SXS1326,SXS,1326,SXS,LTAN-EDDL
SXS1327,SXS,1327,SXS,EDDL-LTAN
SXS1328,SXS,1328,SXS,LTAS-EDDL
SXS133,SXS,133,SXS,EDDM-LTAI
SXS1330,SXS,1330,SXS,LTCG-EDDL
SXS1331,SXS,1331,SXS,EDDL-LTCG
SXS1335,SXS,1335,SXS,EDDL-LTCA
SXS134,SXS,134,SXS,LTAI-EDDM
SXS1348,SXS,1348,SXS,LTFD-EDDL
SXS1349,SXS,1349,SXS,EDDL-LTFD
SXS135,SXS,135,SXS,EDDM-LTAI
SXS1350,SXS,1350,SXS,LTFH-EDDL
SXS1351,SXS,1351,SXS,EDDL-LTFH
SXS1352,SXS,1352,SXS,LTAI-EDDL
SXS1353,SXS,1353,SXS,EDDL-LTFH
SXS136,SXS,136,SXS,LTAI-EDDM
SXS1361,SXS,1361,SXS,EDDL-LTCC
SXS137,SXS,137,SXS,EDDM-LTAI
SXS1380,SXS,1380,SXS,LTAF-EDDL
SXS1381,SXS,1381,SXS,EDDL-LTAF
SXS1385,SXS,1385,SXS,LOWW-LTCB
SXS13A,SXS,13A,SXS,LTBJ-EDLW
SXS13K,SXS,13K,SXS,LTAI-EDDK
SXS13N,SXS,13N,SXS,LTAU-LOWW
SXS13U,SXS,13U,SXS,LTAN-EKCH
SXS13Y,SXS,13Y,SXS,LTAI-EPWA
SXS14,SXS,14,SXS,LTAI-EDDK
SXS140,SXS,140,SXS,LTAI-EDDF
SXS141,SXS,141,SXS,EDDF-LTAI
SXS142,SXS,142,SXS,LTAI-EDDF
SXS143,SXS,143,SXS,EDDF-LTAI
SXS144,SXS,144,SXS,LTAI-EDDF
SXS145,SXS,145,SXS,EDDF-LTAI
SXS146,SXS,146,SXS,LTAI-EDDF
SXS147,SXS,147,SXS,EDDF-LTAI
SXS148,SXS,148,SXS,LTAI-EDDF
SXS14P,SXS,14P,SXS,LTAI-LFSB
SXS14Y,SXS,14Y,SXS,LTAI-EDDP
SXS15,SXS,15,SXS,EDDK-LTAI
SXS150,SXS,150,SXS,LTAI-EDDS
SXS1501,SXS,1501,SXS,OBBI-LTCG
SXS151,SXS,151,SXS,EDDS-LTAI
SXS152,SXS,152,SXS,LTAI-EDDS
SXS153,SXS,153,SXS,EDDS-LTAI
SXS154,SXS,154,SXS,LTAI-EDDS
SXS155,SXS,155,SXS,EDDS-LTAI
SXS1554,SXS,1554,SXS,LTAU-LFLL
SXS1555,SXS,1555,SXS,LFLL-LTAU
SXS156,SXS,156,SXS,LTAI-EDDS
SXS157,SXS,157,SXS,EDDS-LTAI
SXS158,SXS,158,SXS,LTAI-EDDS
SXS159,SXS,159,SXS,EDDS-LTAI
SXS15J,SXS,15J,SXS,EKYT-LTAI
SXS15N,SXS,15N,SXS,EDDM-LTBJ
SXS15U,SXS,15U,SXS,LTCC-LTBJ
SXS15Z,SXS,15Z,SXS,EDDT-LTBJ
SXS160,SXS,160,SXS,LTAI-EDDT
SXS161,SXS,161,SXS,EDDB-LTAI
SXS1610,SXS,1610,SXS,LTAF-EDDF
SXS1611,SXS,1611,SXS,EDDF-LTAF
SXS1615,SXS,1615,SXS,EDDF-LTFH
SXS162,SXS,162,SXS,LTAI-EDDN
SXS163,SXS,163,SXS,EDDN-LTAI
SXS164,SXS,164,SXS,LTAI-EDDN
SXS1640,SXS,1640,SXS,LTCG-EDDF
SXS1641,SXS,1641,SXS,EDDF-LTCG
SXS165,SXS,165,SXS,EDDN-LTAI
SXS1651,SXS,1651,SXS,EDDF-LTAU
SXS166,SXS,166,SXS,LTAI-EDDN
SXS167,SXS,167,SXS,EDDN-LTAI
SXS1670,SXS,1670,SXS,LTCA-EDDF
SXS1671,SXS,1671,SXS,EDDF-LTCA
SXS168,SXS,168,SXS,LTAI-EDDN
SXS169,SXS,169,SXS,EDDN-LTAI
SXS1691,SXS,1691,SXS,EDDF-LTAC
SXS16A,SXS,16A,SXS,EDDV-LTBJ
SXS16F,SXS,16F,SXS,LTBJ-LTAI
SXS16G,SXS,16G,SXS,LTAI-EDDG
SXS16Z,SXS,16Z,SXS,LTAI-LTCC
SXS17,SXS,17,SXS,EDDK-LTBJ
SXS170,SXS,170,SXS,LTAI-EDDH
SXS1706,SXS,1706,SXS,LTCC-EDDS
SXS1707,SXS,1707,SXS,EDDS-LTCC
SXS171,SXS,171,SXS,EDDH-LTAI
SXS172,SXS,172,SXS,LTAI-EDDH
SXS1720,SXS,1720,SXS,LTCA-EDDV
SXS1721,SXS,1721,SXS,EDDV-LTCA
SXS1722,SXS,1722,SXS,LTAU-EHRD
SXS1723,SXS,1723,SXS,EHRD-LTAU
SXS1728,SXS,1728,SXS,LTAF-EHAM
SXS1729,SXS,1729,SXS,EHAM-LTAF
SXS173,SXS,173,SXS,EDDH-LTAI
SXS1735,SXS,1735,SXS,EDDL-LTCA
SXS174,SXS,174,SXS,LTAI-LOWS
SXS1744,SXS,1744,SXS,LTCG-EHAM
SXS1745,SXS,1745,SXS,EHAM-LTCG
SXS175,SXS,175,SXS,LOWS-LTAI
SXS1751,SXS,1751,SXS,EDDS-LTFH
SXS176,SXS,176,SXS,LTAI-EDLW
SXS1760,SXS,1760,SXS,LTAU-EDDS
SXS1761,SXS,1761,SXS,EDDS-LTAU
SXS1764,SXS,1764,SXS,LTAC-EDDB
SXS1765,SXS,1765,SXS,EDDB-LTAC
SXS1766,SXS,1766,SXS,LTAJ-EDDB
SXS1767,SXS,1767,SXS,EDDB-LTAJ
SXS1768,SXS,1768,SXS,LTFH-EDDB
SXS1769,SXS,1769,SXS,EDDB-LTFH
SXS177,SXS,177,SXS,EDLW-LTAI
SXS1775,SXS,1775,SXS,EDDB-LTAF
SXS1776,SXS,1776,SXS,LTAC-LFPG
SXS178,SXS,178,SXS,LTAI-LOWG
SXS179,SXS,179,SXS,LOWG-LTAI
SXS1791,SXS,1791,SXS,EDDS-LTAC
SXS1795,SXS,1795,SXS,EDDV-LTCA
SXS17A,SXS,17A,SXS,LTBJ-UGTB
SXS17G,SXS,17G,SXS,LOWW-LTAI
SXS17H,SXS,17H,SXS,LTFH-EDDV
SXS17J,SXS,17J,SXS,LTFE-LFPG
SXS17Q,SXS,17Q,SXS,EDDL-LTAI
SXS17Y,SXS,17Y,SXS,EDDV-LTFE
SXS180,SXS,180,SXS,LTAI-EDDL
SXS181,SXS,181,SXS,EDDL-LTAI
SXS182,SXS,182,SXS,LTAI-EDDL
SXS183,SXS,183,SXS,EDDL-LTAI
SXS184,SXS,184,SXS,LTAI-EDDL
SXS185,SXS,185,SXS,EDDL-LTAI
SXS186,SXS,186,SXS,LTAI-EDDL
SXS187,SXS,187,SXS,EDDL-LTAI
SXS188,SXS,188,SXS,LTAI-EDDN
SXS189,SXS,189,SXS,EDDL-LTAI
SXS18H,SXS,18H,SXS,EDDL-LTBJ
SXS18J,SXS,18J,SXS,LSZH-LTAI
SXS18L,SXS,18L,SXS,LTBJ-EKCH
