Callsign,Code,Number,AirlineCode,AirportCodes
SYL103,SYL,103,SYL,URMM-UKFF
SYL1101,SYL,1101,SYL,UUWW-LTAI
SYL1102,SYL,1102,SYL,LTAI-UUWW
SYL1106,SYL,1106,SYL,LTAI-UUWW
SYL272,SYL,272,SYL,UKFF-UUWW-UEEE
SYL409,SYL,409,SYL,UEEE-UHMM
SYL410,SYL,410,SYL,UHMA-UHMM
SYL414,SYL,414,SYL,UIUU-UEEE
SYL441,SYL,441,SYL,UEEE-UNKL
SYL442,SYL,442,SYL,UNKL-UEEE
SYL4450,SYL,4450,SYL,UHSS-UHHH
SYL447,SYL,447,SYL,UEEE-UIBB
SYL448,SYL,448,SYL,UIBB-UEEE
SYL4485,SYL,4485,SYL,UEEE-UNNT
SYL4486,SYL,4486,SYL,UNNT-UEEE
SYL449,SYL,449,SYL,UEEE-UNKL-URKA
SYL450,SYL,450,SYL,URKA-UNKL
SYL454,SYL,454,SYL,URSS-UNOO-UEEE
SYL455,SYL,455,SYL,UEEE-UNNT-URKK
SYL456,SYL,456,SYL,URKK-UNNT-UEEE
SYL457,SYL,457,SYL,UEEE-USSS-UWKD
SYL458,SYL,458,SYL,UWKD-USSS-UEEE
SYL459,SYL,459,SYL,UEEE-UNNT-URSS
SYL460,SYL,460,SYL,UIII-UELL
SYL465,SYL,465,SYL,UEEE-UNNT-UUWW
SYL466,SYL,466,SYL,UUWW-UNNT-UEEE
SYL467,SYL,467,SYL,UEEE-USSS-ULLI
SYL468,SYL,468,SYL,ULLI-USSS-UEEE
SYL469,SYL,469,SYL,UEEE-UNOO-URKA
SYL470,SYL,470,SYL,UNOO-UEEE
SYL471,SYL,471,SYL,UEEE-UUWW-UKFF
SYL472,SYL,472,SYL,UKFF-UUWW-UEEE
SYL473,SYL,473,SYL,UEEE-UUWW-URSS
SYL474,SYL,474,SYL,URSS-UUWW-UEEE
SYL4742,SYL,4742,SYL,URSS-UUWW
SYL475,SYL,475,SYL,UEEE-UUWW
SYL476,SYL,476,SYL,UUWW-UEEE
SYL477,SYL,477,SYL,UEEE-UUWW
SYL478,SYL,478,SYL,UUWW-UEEE
SYL479,SYL,479,SYL,UEEE-UUWW-URMM
SYL480,SYL,480,SYL,URMM-UUWW-UEEE
SYL483,SYL,483,SYL,UNNT-UELL
SYL484,SYL,484,SYL,UELL-UNNT
SYL485,SYL,485,SYL,UEEE-UNNT
SYL486,SYL,486,SYL,UNNT-UEEE
SYL487,SYL,487,SYL,UEEE-ULLI
SYL488,SYL,488,SYL,ULLI-UEEE
SYL489,SYL,489,SYL,UEEE-UNNT-USSS
SYL490,SYL,490,SYL,USSS-UNNT-UEEE
SYL491,SYL,491,SYL,UEST-UHWW
SYL492,SYL,492,SYL,UHWW-UEEE
SYL493,SYL,493,SYL,UEEE-UIII
SYL494,SYL,494,SYL,UIII-UEEE
SYL500,SYL,500,SYL,UHSS-UHHH-UEEE
SYL502,SYL,502,SYL,ZYHB-UEEE
SYL505,SYL,505,SYL,UEEE-RKSI
SYL506,SYL,506,SYL,RKSI-UEEE
SYL511,SYL,511,SYL,UHHH-UHMA
SYL512,SYL,512,SYL,UHMA-UHHH
SYL529,SYL,529,SYL,UIII-UELL
SYL530,SYL,530,SYL,UELL-UIII
SYL549,SYL,549,SYL,UHSS-RJAA
SYL550,SYL,550,SYL,RJAA-UHSS
SYL5505,SYL,5505,SYL,UERR-UNNT-ULLI
SYL5506,SYL,5506,SYL,ULLI-UNNT-UERR
SYL552,SYL,552,SYL,UHMM-UHWW
SYL5525,SYL,5525,SYL,UERR-UNNT
SYL5526,SYL,5526,SYL,URKK-UNNT-UERR
SYL5527,SYL,5527,SYL,UERR-UNNT-URRR
SYL5583,SYL,5583,SYL,UUDD-URKK
SYL5584,SYL,5584,SYL,URKK-UUDD
SYL5589,SYL,5589,SYL,UERR-UNNT
SYL5590,SYL,5590,SYL,UNNT-UERR
SYL565,SYL,565,SYL,UNKL-UIUU
SYL577,SYL,577,SYL,UEEE-UUWW
SYL578,SYL,578,SYL,UUWW-UEEE
SYL581,SYL,581,SYL,UHHH-UIAA
SYL582,SYL,582,SYL,UIAA-UHHH
SYL587,SYL,587,SYL,UEEE-ULLI
SYL588,SYL,588,SYL,ULLI-UEEE
SYL591,SYL,591,SYL,UIII-UTTT
SYL592,SYL,592,SYL,UTTT-UIII
SYL593,SYL,593,SYL,UIII-UTDD
SYL594,SYL,594,SYL,UTDD-UIII
SYL597,SYL,597,SYL,UERR-UUDD
SYL635,SYL,635,SYL,UIII-UAAA
SYL636,SYL,636,SYL,UAAA-UIII
SYL688,SYL,688,SYL,UNNT-UUWW
SYL711,SYL,711,SYL,URKK-URWA
SYL712,SYL,712,SYL,URWA-URKK
SYL713,SYL,713,SYL,UUWW-UIUU
SYL714,SYL,714,SYL,UIUU-UUWW
SYL725,SYL,725,SYL,URKK-UUWW
SYL726,SYL,726,SYL,UUWW-URKK
SYL728,SYL,728,SYL,UUWW-URKK
SYL731,SYL,731,SYL,UUWW-UHMA
SYL741,SYL,741,SYL,UUWW-URML
SYL747,SYL,747,SYL,UUWW-UIBB
SYL748,SYL,748,SYL,UIBB-UUWW
SYL750,SYL,750,SYL,URSS-UKFF
