Callsign,Code,Number,AirlineCode,AirportCodes
SYR1037,SYR,1037,SYR,OSDI-LIRF
SYR1038,SYR,1038,SYR,LIRF-OSDI
SYR1059,SYR,1059,SYR,OSDI-EBBR
SYR1060,SYR,1060,SYR,EBBR-OLBA-OSAP-OSDI
SYR1061,SYR,1061,SYR,OSDI-OSAP-OLBA-EBBR
SYR1062,SYR,1062,SYR,EBBR-OSDI
SYR1179,SYR,1179,SYR,OSDI-LFPO
SYR1180,SYR,1180,SYR,LFPO-OSDI
SYR184,SYR,184,SYR,OLBA-OSDI
SYR1898,SYR,1898,SYR,EBBR-OSDI
SYR201,SYR,201,SYR,OSDI-HECA
SYR202,SYR,202,SYR,HECA-OSDI
SYR341,SYR,341,SYR,OSDI-OKKK
SYR342,SYR,342,SYR,OKKK-OSDI
SYR353,SYR,353,SYR,OSDI-DAAG
SYR358,SYR,358,SYR,HLLT-OSDI
SYR381,SYR,381,SYR,OSDI-OEJN
SYR382,SYR,382,SYR,OEJN-OSDI
SYR401,SYR,401,SYR,OSDI-LFPO
SYR402,SYR,402,SYR,LFPO-OSDI
SYR407,SYR,407,SYR,OSDI-EDDF-LFPO
SYR408,SYR,408,SYR,EDDF-LFPO-OSDI
SYR409,SYR,409,SYR,OSDI-EGLL
SYR410,SYR,410,SYR,EGLL-OSDI
SYR417,SYR,417,SYR,OSDI-LIRF
SYR418,SYR,418,SYR,LIRF-OSAP-OSDI
SYR419,SYR,419,SYR,OSDI-LEMD-EGLL
SYR420,SYR,420,SYR,LEMD-OSDI
SYR421,SYR,421,SYR,OSDI-OSAP-LIMC
SYR427,SYR,427,SYR,OSDI-OLBA-EBBR
SYR428,SYR,428,SYR,EBBR-EHAM-OSAP-OSDI
SYR432,SYR,432,SYR,LGAV-OSDI
SYR433,SYR,433,SYR,OSDI-EHAM-LEMD
SYR434,SYR,434,SYR,EHAM-OSDI
SYR438,SYR,438,SYR,UDYZ-OSAP
SYR439,SYR,439,SYR,OSDI-LOWW-EDDB
SYR440,SYR,440,SYR,EDDB-LOWW-OSDI
SYR441,SYR,441,SYR,OSDI-UUWW
SYR442,SYR,442,SYR,UUWW-OSDI
SYR443,SYR,443,SYR,OSDI-LTFM
SYR444,SYR,444,SYR,LTFM-OSDI
SYR446,SYR,446,SYR,LTFM-OSDI
SYR447,SYR,447,SYR,OSDI-OSAP-ESSA
SYR448,SYR,448,SYR,ESSA-OSKL-OSDI
SYR449,SYR,449,SYR,OSDI-EKCH-EDDB
SYR450,SYR,450,SYR,EKCH-OSDI
SYR452,SYR,452,SYR,LCLK-OSDI
SYR501,SYR,501,SYR,OSDI-OMSJ
SYR502,SYR,502,SYR,OMSJ-OSDI
SYR503,SYR,503,SYR,OSDI-OMAA
SYR504,SYR,504,SYR,OMAA-OSDI
SYR505,SYR,505,SYR,OSDI-OMSJ
SYR506,SYR,506,SYR,OMSJ-OSDI
SYR507,SYR,507,SYR,OSDI-OMAA
SYR515,SYR,515,SYR,OSDI-OMDB
SYR516,SYR,516,SYR,OMDB-OSDI
SYR517,SYR,517,SYR,OSDI-OMDB
SYR518,SYR,518,SYR,OMDB-OSDI
SYR521,SYR,521,SYR,OSDI-OTHH
SYR522,SYR,522,SYR,OTHH-OSDI
SYR524,SYR,524,SYR,OBBI-OSDI
SYR532,SYR,532,SYR,ORBI-OSDI
