Callsign,Code,Number,AirlineCode,AirportCodes
TAR1,TAR,1,TAR,DTTA-OTHH
TAR101,TAR,101,TAR,DTTA-LFML
TAR1203,TAR,1203,TAR,LFML-DTTJ
TAR1215,TAR,1215,TAR,LFRS-DTTJ
TAR1221,TAR,1221,TAR,LFLC-DTTJ
TAR1228,TAR,1228,TAR,DTTJ-LFLC
TAR1462,TAR,1462,TAR,DTMB-LFLL
TAR1714,TAR,1714,TAR,OEJN-DTTA
TAR2000,TAR,2000,TAR,LSGG-LTBA
TAR2001,TAR,2001,TAR,LFSB-DTMB
TAR2004,TAR,2004,TAR,DTTJ-LSGG
TAR2005,TAR,2005,TAR,LSGG-DTTJ
TAR2006,TAR,2006,TAR,DTTJ-LSZH
TAR2007,TAR,2007,TAR,LSZH-DTTJ
TAR2008,TAR,2008,TAR,DTMB-LSGG
TAR2009,TAR,2009,TAR,LSGG-DTMB
TAR2012,TAR,2012,TAR,DTMB-LOWS
TAR2016,TAR,2016,TAR,DTTJ-EBBR
TAR2017,TAR,2017,TAR,EBBR-DTTJ
TAR202,TAR,202,TAR,DTTA-CYUL
TAR203,TAR,203,TAR,CYUL-DTTA
TAR208,TAR,208,TAR,DTTA-LFRS
TAR209,TAR,209,TAR,LFRS-DTTA
TAR214,TAR,214,TAR,DTTA-LTFM
TAR215,TAR,215,TAR,LTFM-DTTA
TAR216,TAR,216,TAR,DTTA-LTFM
TAR2168,TAR,2168,TAR,DTTA-EDDK
TAR2169,TAR,2169,TAR,EDDK-DTTA
TAR217,TAR,217,TAR,LTFM-DTTA
TAR2172,TAR,2172,TAR,DTTA-EDDK
TAR2173,TAR,2173,TAR,EDDK-DTTA
TAR218,TAR,218,TAR,DTTA-LTFM
TAR219,TAR,219,TAR,LTFM-DTTA
TAR220,TAR,220,TAR,DTTA-LGAV
TAR2200,TAR,2200,TAR,DTTA-LFPO
TAR2201,TAR,2201,TAR,LFPO-DTTA
TAR221,TAR,221,TAR,LGAV-DTTA
TAR2210,TAR,2210,TAR,DTTA-LFPG
TAR2211,TAR,2211,TAR,LFPG-DTTA
TAR2216,TAR,2216,TAR,DTTA-LTFM
TAR225,TAR,225,TAR,LYBE-DTTA
TAR226,TAR,226,TAR,DTMB-LYBE
TAR227,TAR,227,TAR,LYBE-DTTA
TAR2300,TAR,2300,TAR,DTTA-LTBA
TAR2368,TAR,2368,TAR,DTTA-EBBR
TAR2369,TAR,2369,TAR,EBBR-DTTA
TAR2372,TAR,2372,TAR,DTMB-EBBR
TAR2373,TAR,2373,TAR,EBBR-DTMB
TAR2376,TAR,2376,TAR,DTMB-EBBR
TAR2377,TAR,2377,TAR,EBBR-DTTA
TAR2413,TAR,2413,TAR,EBBR-DTTA
TAR246,TAR,246,TAR,DTTA-LFST
TAR247,TAR,247,TAR,LFST-DTTA
TAR250,TAR,250,TAR,DTMB-LFMN
TAR2500,TAR,2500,TAR,DTTJ-LFPG
TAR2501,TAR,2501,TAR,LFPG-DTTJ
TAR2504,TAR,2504,TAR,DTTA-LFPO
TAR2505,TAR,2505,TAR,LFPG-DTTA
TAR2507,TAR,2507,TAR,LFLL-DTTA
TAR251,TAR,251,TAR,LFMN-DTMB
TAR2516,TAR,2516,TAR,DTMB-LFPG
TAR2517,TAR,2517,TAR,LFPG-DTMB
TAR2524,TAR,2524,TAR,DTTA-LFPG
TAR2525,TAR,2525,TAR,LFPO-DTTA
TAR2526,TAR,2526,TAR,DTTJ-LFPG
TAR2527,TAR,2527,TAR,LFPO-DTTA
TAR2528,TAR,2528,TAR,DTTA-LFPG
TAR2529,TAR,2529,TAR,LFPG-DTMB
TAR2530,TAR,2530,TAR,DTTJ-LFPG
TAR2531,TAR,2531,TAR,LFPG-DTTA
TAR2532,TAR,2532,TAR,DTTJ-LFPG
TAR2533,TAR,2533,TAR,LFPG-DTTJ
TAR2535,TAR,2535,TAR,LFPG-DTTA
TAR2538,TAR,2538,TAR,DTTJ-LFPG
TAR2539,TAR,2539,TAR,LFPG-DTTX
TAR2550,TAR,2550,TAR,DTTJ-LFPG
TAR2557,TAR,2557,TAR,LFPG-DTTJ
TAR2560,TAR,2560,TAR,DTTJ-LFPG
TAR2562,TAR,2562,TAR,DTTJ-LFPG
TAR2563,TAR,2563,TAR,LFPG-DTMB
TAR2565,TAR,2565,TAR,LFPG-DTTA
TAR2570,TAR,2570,TAR,DTTJ-LFPG
TAR2574,TAR,2574,TAR,DTTJ-LFPG
TAR2580,TAR,2580,TAR,DTMB-LFPG
TAR2595,TAR,2595,TAR,LFPG-DTTA
TAR2597,TAR,2597,TAR,LFPG-DTTA
TAR2600,TAR,2600,TAR,DTTJ-LFPG
TAR2601,TAR,2601,TAR,LFPG-DTMB
TAR2610,TAR,2610,TAR,DTTJ-LFPG
TAR2611,TAR,2611,TAR,LFPG-DTMB
TAR2619,TAR,2619,TAR,LFPG-DTTJ
TAR262,TAR,262,TAR,DTMB-UUEE
TAR2622,TAR,2622,TAR,DTTA-LFPG
