Callsign,Code,Number,AirlineCode,AirportCodes
TBA2007,TBA,2007,TBA,ZLXN-ZLGL
TBA2008,TBA,2008,TBA,ZLGL-ZLXN
TBA2009,TBA,2009,TBA,ZLXN-ZLYS
TBA2010,TBA,2010,TBA,ZLYS-ZLXN
TBA6001,TBA,6001,TBA,ZPMS-ZGSZ
TBA6002,TBA,6002,TBA,ZGSZ-ZPMS
TBA6005,TBA,6005,TBA,ZLXN-ZWSH-ZUAL
TBA6006,TBA,6006,TBA,ZUAL-ZWSH-ZLXN
TBA6007,TBA,6007,TBA,ZUAL-ZULS-ZLXY
TBA6008,TBA,6008,TBA,ZLXY-ZULS-ZUAL
TBA6009,TBA,6009,TBA,ZLXN-ZLYS
TBA6010,TBA,6010,TBA,ZLYS-ZLXN
TBA6011,TBA,6011,TBA,ZLXY-ZPDL
TBA6012,TBA,6012,TBA,ZPDL-ZLXY
TBA6013,TBA,6013,TBA,ZLXY-ZURK
TBA6014,TBA,6014,TBA,ZURK-ZLXY
TBA6015,TBA,6015,TBA,ZLXY-ZSJN
TBA6016,TBA,6016,TBA,ZSJN-ZLXY
TBA6017,TBA,6017,TBA,ZPDL-ZSHC
TBA6018,TBA,6018,TBA,ZSHC-ZPDL
TBA6019,TBA,6019,TBA,ZLXY-ZPZT-ZPSM
TBA6020,TBA,6020,TBA,ZPSM-ZPZT-ZLXY
TBA6021,TBA,6021,TBA,ZLXY-ZSJN
TBA6022,TBA,6022,TBA,ZSJN-ZLXY
TBA6025,TBA,6025,TBA,ZPDL-ZSNJ
TBA6026,TBA,6026,TBA,ZSNJ-ZPDL
TBA6027,TBA,6027,TBA,ZPLJ-ZGSZ
TBA6028,TBA,6028,TBA,ZGSZ-ZPLJ
TBA6029,TBA,6029,TBA,ZLXN-ZLYS
TBA6030,TBA,6030,TBA,ZLYS-ZLXN
TBA6031,TBA,6031,TBA,ZLXY-ZPLJ
TBA6032,TBA,6032,TBA,ZPLJ-ZLXY
TBA6033,TBA,6033,TBA,ZPPP-ZBYC
TBA6034,TBA,6034,TBA,ZBYC-ZPPP
TBA6037,TBA,6037,TBA,ZLXN-ZWSC-ZUAL
TBA6038,TBA,6038,TBA,ZUAL-ZWSC-ZLXN
TBA6039,TBA,6039,TBA,ZLXY-ZGSZ
TBA6040,TBA,6040,TBA,ZGSZ-ZLXY
TBA6041,TBA,6041,TBA,ZPDL-ZUMY-ZSCG
TBA6042,TBA,6042,TBA,ZSCG-ZUMY-ZPDL
TBA6043,TBA,6043,TBA,ZLXN-ZBYC
TBA6044,TBA,6044,TBA,ZBYC-ZLXN
TBA6045,TBA,6045,TBA,ZUMY-ZSNJ
TBA6046,TBA,6046,TBA,ZSNJ-ZUMY
TBA6047,TBA,6047,TBA,ZLXY-ZPZT-ZPSM
TBA6048,TBA,6048,TBA,ZPSM-ZPZT-ZLXY
TBA6049,TBA,6049,TBA,ZLXN-ZSNJ
TBA6050,TBA,6050,TBA,ZSNJ-ZLXN
TBA6051,TBA,6051,TBA,ZLXY-ZULS
TBA6052,TBA,6052,TBA,ZULS-ZLXY
TBA6053,TBA,6053,TBA,ZLXY-ZUBD
TBA6054,TBA,6054,TBA,ZUBD-ZLXY
TBA6055,TBA,6055,TBA,ZLXY-ZUNZ
TBA6056,TBA,6056,TBA,ZUNZ-ZLXY
TBA6057,TBA,6057,TBA,ZLXN-ZULS
TBA6058,TBA,6058,TBA,ZULS-ZLXN
TBA6059,TBA,6059,TBA,ZLXY-ZURK
TBA6060,TBA,6060,TBA,ZURK-ZLXY
TBA6061,TBA,6061,TBA,ZLXY-ZULS
TBA6062,TBA,6062,TBA,ZULS-ZLXY
TBA6063,TBA,6063,TBA,ZULS-ZLXY
TBA6064,TBA,6064,TBA,ZLXY-ZULS
TBA6069,TBA,6069,TBA,ZSJN-ZPPP
TBA6070,TBA,6070,TBA,ZPPP-ZSJN
TBA6071,TBA,6071,TBA,ZLXY-ZPDL
TBA6072,TBA,6072,TBA,ZPDL-ZLXY
TBA6073,TBA,6073,TBA,ZBYC-VHHH
TBA6074,TBA,6074,TBA,VHHH-ZBYC
TBA6078,TBA,6078,TBA,ZYHB-ZBTJ-ZSAM
TBA6079,TBA,6079,TBA,ZLXY-ZJQH
TBA6080,TBA,6080,TBA,ZJQH-ZLXY
TBA6081,TBA,6081,TBA,ZUMY-ZSWZ
TBA6082,TBA,6082,TBA,ZSWZ-ZUMY
TBA6083,TBA,6083,TBA,ZSJN-ZLXN
TBA6084,TBA,6084,TBA,ZLXN-ZSJN
TBA6085,TBA,6085,TBA,ZLXY-ZGBH
TBA6086,TBA,6086,TBA,ZGBH-ZLXY
TBA6089,TBA,6089,TBA,ZLXN-ZURK
TBA6090,TBA,6090,TBA,ZURK-ZLXN
TBA6091,TBA,6091,TBA,ZLXN-ZLGM
TBA6092,TBA,6092,TBA,ZLGM-ZLXN
TBA6093,TBA,6093,TBA,ZLXN-ZULS
TBA6094,TBA,6094,TBA,ZULS-ZLXN
TBA6095,TBA,6095,TBA,ZLXY-ZGNN
TBA6096,TBA,6096,TBA,ZGNN-ZLXY
TBA6105,TBA,6105,TBA,ZPJH-ZLXY
TBA6106,TBA,6106,TBA,ZLXY-ZPJH
TBA6107,TBA,6107,TBA,ZLXN-ZWWW
TBA6108,TBA,6108,TBA,ZWWW-ZLXN
TBA6119,TBA,6119,TBA,ZBYC-VHHH
TBA6120,TBA,6120,TBA,VHHH-ZBYC
TBA6371,TBA,6371,TBA,OIIE-LTBA
TBA9701,TBA,9701,TBA,ZULS-ZUTF-VHHH
TBA9702,TBA,9702,TBA,VHHH-ZUTF-ZULS
TBA9703,TBA,9703,TBA,ZUUU-ZBYC
TBA9704,TBA,9704,TBA,ZBYC-ZUUU
TBA9705,TBA,9705,TBA,ZULS-ZUPL
TBA9706,TBA,9706,TBA,ZUPL-ZULS
TBA9707,TBA,9707,TBA,ZUUU-ZGBH
TBA9708,TBA,9708,TBA,ZGBH-ZUUU
TBA9711,TBA,9711,TBA,ZUTF-ZUNZ
TBA9712,TBA,9712,TBA,ZUNZ-ZUTF
TBA9715,TBA,9715,TBA,ZUTF-ZULS
TBA9716,TBA,9716,TBA,ZULS-ZUTF
TBA9717,TBA,9717,TBA,ZUUU-ZUXC
TBA9718,TBA,9718,TBA,ZUXC-ZUUU
TBA9719,TBA,9719,TBA,ZUCK-ZULS
TBA9720,TBA,9720,TBA,ZULS-ZUCK
TBA9725,TBA,9725,TBA,ZURK-ZUTF-ZBSJ
TBA9726,TBA,9726,TBA,ZBSJ-ZUTF-ZURK
TBA9727,TBA,9727,TBA,ZUTF-ZULS
TBA9728,TBA,9728,TBA,ZULS-ZUTF
TBA9729,TBA,9729,TBA,ZUNZ-ZUUU-ZSOF
TBA9730,TBA,9730,TBA,ZSOF-ZUUU-ZUNZ
TBA9735,TBA,9735,TBA,ZUCK-ZJQH
TBA9736,TBA,9736,TBA,ZJQH-ZUCK
TBA9753,TBA,9753,TBA,ZUUU-ZUNZ
TBA9754,TBA,9754,TBA,ZUNZ-ZUUU
TBA9759,TBA,9759,TBA,ZPPP-ZUUU
TBA9760,TBA,9760,TBA,ZUUU-ZPPP
TBA9761,TBA,9761,TBA,ZUCK-ZURK
TBA9762,TBA,9762,TBA,ZURK-ZUCK
TBA9765,TBA,9765,TBA,ZULS-ZUUU-ZGGG
TBA9766,TBA,9766,TBA,ZGGG-ZUUU-ZULS
TBA9775,TBA,9775,TBA,ZULS-ZPPP
TBA9776,TBA,9776,TBA,ZPPP-ZULS
TBA9779,TBA,9779,TBA,ZULS-ZUYB-ZSCG
TBA9780,TBA,9780,TBA,ZSCG-ZUYB-ZULS
TBA9781,TBA,9781,TBA,ZUTF-VVPQ
TBA9782,TBA,9782,TBA,VVPQ-ZUTF
TBA9783,TBA,9783,TBA,ZULS-ZUGU-ZSNJ
TBA9784,TBA,9784,TBA,ZSNJ-ZUGU-ZULS
TBA9802,TBA,9802,TBA,ZSSS-ZUCK-ZULS
TBA9803,TBA,9803,TBA,ZUUU-ZULS
TBA9804,TBA,9804,TBA,ZULS-ZUUU
TBA9805,TBA,9805,TBA,ZUUU-ZJSY
TBA9806,TBA,9806,TBA,ZJSY-ZUUU
TBA9809,TBA,9809,TBA,ZUCK-ZPDL
TBA9810,TBA,9810,TBA,ZPDL-ZUCK
TBA9811,TBA,9811,TBA,ZUUU-ZPLJ
TBA9812,TBA,9812,TBA,ZPLJ-ZUUU
TBA9813,TBA,9813,TBA,ZUCK-ZULS
TBA9814,TBA,9814,TBA,ZULS-ZUCK
TBA9815,TBA,9815,TBA,ZULS-ZBAA
TBA9816,TBA,9816,TBA,ZBAA-ZULS
TBA9817,TBA,9817,TBA,ZUUU-ZJSY
TBA9818,TBA,9818,TBA,ZJSY-ZUUU
TBA9819,TBA,9819,TBA,ZUUU-ZULS
TBA9820,TBA,9820,TBA,ZULS-ZUUU
TBA9821,TBA,9821,TBA,ZUUU-ZJSY
TBA9822,TBA,9822,TBA,ZJSY-ZUUU
TBA9823,TBA,9823,TBA,ZUUU-ZULS
TBA9824,TBA,9824,TBA,ZULS-ZUUU
TBA9825,TBA,9825,TBA,ZUUU-ZPJH
TBA9826,TBA,9826,TBA,ZPJH-ZUUU
TBA9827,TBA,9827,TBA,ZULS-ZUYB-ZSHC
TBA9828,TBA,9828,TBA,ZSHC-ZUYB-ZULS
TBA9829,TBA,9829,TBA,ZULS-ZUGU-ZSNJ
TBA9830,TBA,9830,TBA,ZSNJ-ZUGU-ZULS
TBA9831,TBA,9831,TBA,ZUUU-ZBYN-ZYHB
TBA9832,TBA,9832,TBA,ZYHB-ZBYN-ZUUU
TBA9835,TBA,9835,TBA,ZUUU-ZSQD
TBA9836,TBA,9836,TBA,ZSQD-ZUUU
TBA9837,TBA,9837,TBA,ZULS-ZUUU-ZSSM
TBA9838,TBA,9838,TBA,ZSSM-ZUUU-ZULS
TBA9839,TBA,9839,TBA,ZUUU-ZLXN-ZLGM
