Callsign,Code,Number,AirlineCode,AirportCodes
TFX103,TFX,103,TFX,YBTL-YBRK-YBBN
TFX11,TFX,11,TFX,YBBN-YSBK
TFX12,TFX,12,TFX,YMML-YPPH
TFX132,TFX,132,TFX,YBBN-YBMK-YBMA
TFX133,TFX,133,TFX,YBMA-YBRK-YBBN
TFX143,TFX,143,TFX,YBBN-YSBK
TFX144,TFX,144,TFX,YSBK-YBBN
TFX147,TFX,147,TFX,YBBN-YSBK
TFX148,TFX,148,TFX,YSBK-YBBN
TFX15,TFX,15,TFX,YSBK-YMML
TFX16,TFX,16,TFX,YMML-YSBK
TFX162,TFX,162,TFX,YBBN-YBRK-YBMK
TFX163,TFX,163,TFX,YBMK-YBRK-YBBN
TFX202,TFX,202,TFX,YSSY-YMML
TFX203,TFX,203,TFX,YMML-YBBN
TFX21,TFX,21,TFX,YBBN-YSSY
TFX22,TFX,22,TFX,YSSY-YMML
TFX3,TFX,3,TFX,YSBK-YMML-YPAD
TFX34,TFX,34,TFX,YPAD-YSSY
TFX36,TFX,36,TFX,YMML-YPAD
TFX4,TFX,4,TFX,YPAD-YMML-YSBK
TFX41,TFX,41,TFX,YSSY-YBBN
TFX48,TFX,48,TFX,YSSY-YBBN
TFX5,TFX,5,TFX,YBTL-YBBN
TFX51,TFX,51,TFX,YPDN-YBBN
TFX52,TFX,52,TFX,YBBN-YBCS
TFX53,TFX,53,TFX,YBCS-YPDN
TFX6,TFX,6,TFX,YBBN-YBTL
TFX66,TFX,66,TFX,YPAD-YMML
TFX67,TFX,67,TFX,YSBK-YPAD
TFX703,TFX,703,TFX,YBBN-YSBK
TFX704,TFX,704,TFX,YSBK-YBBN
TFX705,TFX,705,TFX,YBBN-YSBK
TFX8,TFX,8,TFX,YSBK-YBBN
TFX9,TFX,9,TFX,YBBN-YSBK
