Callsign,Code,Number,AirlineCode,AirportCodes
TGU120,TGU,120,TGU,MGGT-MGTK
TGU121,TGU,121,TGU,MGTK-MGGT
TGU124,TGU,124,TGU,MGGT-MMMD
TGU125,TGU,125,TGU,MMMD-MGGT
TGU140,TGU,140,TGU,MGGT-MGTK
TGU141,TGU,141,TGU,MGTK-MGGT
TGU150,TGU,150,TGU,MGGT-MGTK
TGU151,TGU,151,TGU,MGTK-MGGT
TGU160,TGU,160,TGU,MGGT-MGTK
TGU161,TGU,161,TGU,MGTK-MGGT
TGU319,TGU,319,TGU,MHLM-MGGT
TGU320,TGU,320,TGU,MGGT-MHLM
TGU321,TGU,321,TGU,MHLM-MGGT
TGU322,TGU,322,TGU,MGGT-MHLM
TGU413,TGU,413,TGU,MGGT-MHRO
TGU414,TGU,414,TGU,MHRO-MGGT
TGU803,TGU,803,TGU,MZBZ-MGGT
TGU804,TGU,804,TGU,MGGT-MZBZ
