Callsign,Code,Number,AirlineCode,AirportCodes
THA10,THA,10,THA,VTBS-VTUD
THA100,THA,100,THA,VTBS-VTCC
THA101,THA,101,THA,VTCC-VTBS
THA102,THA,102,THA,VTBS-VTCC
THA103,THA,103,THA,VTCC-VTBS
THA104,THA,104,THA,VTBS-VTCC
THA105,THA,105,THA,VTCC-VTBS
THA106,THA,106,THA,VTBS-VTCC
THA107,THA,107,THA,VTCC-VTBS
THA11,THA,11,THA,VTUD-VTBS
THA110,THA,110,THA,VTBS-VTCC
THA111,THA,111,THA,VTCC-VTBS
THA112,THA,112,THA,VTBS-VTCC
THA113,THA,113,THA,VTCC-VTBS
THA114,THA,114,THA,VTBS-VTCC
THA115,THA,115,THA,VTCC-VTBS
THA116,THA,116,THA,VTBS-VTCC
THA117,THA,117,THA,VTCC-VTBS
THA120,THA,120,THA,VTBS-VTCC
THA121,THA,121,THA,VTCC-VTBS
THA122,THA,122,THA,VTBS-VTCC
THA123,THA,123,THA,VTCC-VTBS
THA129,THA,129,THA,VTCC-VTSP
THA130,THA,130,THA,VTBS-VTCT
THA131,THA,131,THA,VTCT-VTBS
THA132,THA,132,THA,VTBS-VTCT
THA133,THA,133,THA,VTCT-VTBS
THA134,THA,134,THA,VTBS-VTCT
THA135,THA,135,THA,VTCT-VTBS
THA136,THA,136,THA,VTBS-VTCT
THA137,THA,137,THA,VTCT-VTBS
THA14,THA,14,THA,VTBS-VTUD
THA140,THA,140,THA,VTBS-VTCT
THA141,THA,141,THA,VTCT-VTBS
THA15,THA,15,THA,VTUD-VTBS
THA164,THA,164,THA,VTBS-VTCC
THA165,THA,165,THA,VTCC-VTBS
THA2,THA,2,THA,VTBS-VTUD
THA20,THA,20,THA,VTBS-VTUU
THA201,THA,201,THA,VTBS-VTSP
THA202,THA,202,THA,VTSP-VTBS
THA203,THA,203,THA,VTBS-VTSP
THA204,THA,204,THA,VTSP-VTBS
THA205,THA,205,THA,VTBS-VTSP
THA206,THA,206,THA,VTSP-VTBS
THA207,THA,207,THA,VTBS-VTSP
THA208,THA,208,THA,VTSP-VTBS
THA21,THA,21,THA,VTUU-VTBS
THA211,THA,211,THA,VTBS-VTSP
THA212,THA,212,THA,VTSP-VTBS
THA214,THA,214,THA,VTSP-VTBS
THA215,THA,215,THA,VTBS-VTSP
THA216,THA,216,THA,VTSP-VTBS
THA217,THA,217,THA,VTBS-VTSP
THA218,THA,218,THA,VTSP-VTBS
THA219,THA,219,THA,VTBS-VTSP
THA221,THA,221,THA,VTBS-VTSP
THA222,THA,222,THA,VTSP-VTBS
THA223,THA,223,THA,VTBS-VTSP
THA224,THA,224,THA,VTSP-VTBS
THA225,THA,225,THA,VTBS-VTSP
THA226,THA,226,THA,VTSP-VTBS
THA2281,THA,2281,THA,VTBS-VTSP
THA231,THA,231,THA,VTBS-VTSS
THA232,THA,232,THA,VTSS-VTBS
THA233,THA,233,THA,VTBS-VTSS
THA234,THA,234,THA,VTSS-VTBS
THA235,THA,235,THA,VTBS-VTSS
THA236,THA,236,THA,VTSS-VTBS
THA237,THA,237,THA,VTBS-VTSS
THA238,THA,238,THA,VTSS-VTBS
THA241,THA,241,THA,VTBS-VTSG
THA242,THA,242,THA,VTSG-VTBS
THA245,THA,245,THA,VTBS-VTSG
THA246,THA,246,THA,VTSG-VTBS
THA249,THA,249,THA,VTBS-VTSG
THA250,THA,250,THA,VTSG-VTBS
THA254,THA,254,THA,VTSB-VTBS
THA257,THA,257,THA,VTBS-VTSB
THA258,THA,258,THA,VTSB-VTBS
THA259,THA,259,THA,VTBS-VTSS
THA260,THA,260,THA,VTSS-VTBS
THA263,THA,263,THA,VTBS-VTSS
THA264,THA,264,THA,VTSS-VTBS
THA267,THA,267,THA,VTBS-VTSS
THA2671,THA,2671,THA,VMMC-VTBS
THA268,THA,268,THA,VTSS-VTBS
THA28,THA,28,THA,VTBS-VTUU
THA281,THA,281,THA,VTBS-VTSM
THA282,THA,282,THA,VTSM-VTBS
THA283,THA,283,THA,VTBS-VTSP
THA284,THA,284,THA,VTSP-VTBS
THA285,THA,285,THA,VTBS-VTSP
THA286,THA,286,THA,VTSP-VTBS
THA287,THA,287,THA,VTBS-VTSM
THA288,THA,288,THA,VTSM-VTBS
THA289,THA,289,THA,VTBS-VTSP
THA29,THA,29,THA,VTUU-VTBS
THA290,THA,290,THA,VTSP-VTBS
THA292,THA,292,THA,VTSC-VTBS
