Callsign,Code,Number,AirlineCode,AirportCodes
THY3,THY,3,THY,LTFM-KJFK
THY30,THY,30,THY,KIAD-LTBA
THY3000,THY,3000,THY,LTAI-UAAA
THY3001,THY,3001,THY,UAAA-LTAI
THY3002,THY,3002,THY,LTAI-UACC
THY3003,THY,3003,THY,LTAF-LTAI
THY3004,THY,3004,THY,LTAI-UAKK
THY3005,THY,3005,THY,UAKK-LTAI
THY3008,THY,3008,THY,LTBY-EBBR
THY3009,THY,3009,THY,EBBR-LTBY
THY3010,THY,3010,THY,LTBY-LFLL
THY3011,THY,3011,THY,LFLL-LTBY
THY3015,THY,3015,THY,LTBJ-ZGCD
THY3019,THY,3019,THY,LTBJ-LIPZ
THY3020,THY,3020,THY,LTAI-EVRA
THY3021,THY,3021,THY,LTAI-LFPG
THY3022,THY,3022,THY,LTAI-EYVI
THY3024,THY,3024,THY,LTAI-EETN
THY3025,THY,3025,THY,EETN-LTAI
THY3026,THY,3026,THY,EYVI-LTFE
THY3028,THY,3028,THY,LFPG-LTAI
THY3029,THY,3029,THY,LTAI-LFPG
THY3030,THY,3030,THY,LTFM-DAOO
THY3031,THY,3031,THY,EBBR-LTBY
THY3032,THY,3032,THY,EBBR-LTBY
THY3033,THY,3033,THY,LTBY-EBBR
THY3034,THY,3034,THY,LTBY-LFLL
THY3035,THY,3035,THY,LFLL-LTBY
THY3036,THY,3036,THY,LTBY-EBBR
THY3037,THY,3037,THY,EBBR-LTBY
THY3038,THY,3038,THY,LTCG-EDDL
THY3039,THY,3039,THY,EDDL-LTDA
THY3040,THY,3040,THY,LTBA-LIPE
THY3041,THY,3041,THY,LTAI-LFLL
THY3042,THY,3042,THY,LFLL-LTAU
THY3043,THY,3043,THY,LTAU-LFLL
THY3044,THY,3044,THY,EDDL-LTCG
THY3045,THY,3045,THY,LTCG-EDDL
THY3046,THY,3046,THY,LFPG-LTBJ
THY3047,THY,3047,THY,LFLL-LTAN
THY3048,THY,3048,THY,LTAI-UUWW
THY3049,THY,3049,THY,UUWW-LTAI
THY3050,THY,3050,THY,EHRD-LTAU
THY3051,THY,3051,THY,LTAU-EHRD
THY3052,THY,3052,THY,EDDL-LTBJ
THY3054,THY,3054,THY,EHRD-LTAU
THY3055,THY,3055,THY,UAAA-LTAI
THY3058,THY,3058,THY,LTAI-UUWW
THY3059,THY,3059,THY,UUWW-LTAI
THY3060,THY,3060,THY,LTAI-UACC
THY3062,THY,3062,THY,LTAI-LTAF
THY3067,THY,3067,THY,LEMD-LTFM
THY3072,THY,3072,THY,LTFO-OBBI
THY3076,THY,3076,THY,EDDL-LTCB
THY3078,THY,3078,THY,LTAI-UUWW
THY3079,THY,3079,THY,UUWW-LTAI
THY3084,THY,3084,THY,LTFM-GLRB
THY3090,THY,3090,THY,LTAI-UUWW
THY3091,THY,3091,THY,UUWW-LTAI
THY3092,THY,3092,THY,LTAI-EDDH
THY3093,THY,3093,THY,EDDH-LTAI
THY3094,THY,3094,THY,LTAJ-LTBH
THY3095,THY,3095,THY,LTBH-LTAJ
THY3096,THY,3096,THY,LTAI-EDDH
THY3097,THY,3097,THY,EDDH-LTAI
THY3098,THY,3098,THY,LTAI-EDDH
THY30A,THY,30A,THY,LTFM-LTFO
THY30AE,THY,30AE,THY,LTFJ-LTAY
THY30B,THY,30B,THY,LTFM-EIDW
THY30C,THY,30C,THY,LTFJ-LTAF
THY30D,THY,30D,THY,EYVI-LTFM
THY30DG,THY,30DG,THY,OLBA-LTFM
THY30DH,THY,30DH,THY,LTFM-LTBS
THY30E,THY,30E,THY,LTAJ-LTAC
THY30F,THY,30F,THY,LTFM-LTDB
THY30G,THY,30G,THY,LTCG-LTFJ
THY30H,THY,30H,THY,LTFM-YARM
THY30J,THY,30J,THY,LTFM-EGLL
THY30K,THY,30K,THY,LTAR-LTFJ
THY30LN,THY,30LN,THY,LTFM-LTCG
THY30M,THY,30M,THY,LTFM-OITT
THY30P,THY,30P,THY,LCEN-LTFM
THY30Q,THY,30Q,THY,LTBS-LTFM
THY30R,THY,30R,THY,LTFM-LSZH
THY30S,THY,30S,THY,LTFM-LTCO
THY30T,THY,30T,THY,EDDK-LTFM
THY30UR,THY,30UR,THY,LTFM-LTCE
THY30W,THY,30W,THY,LTFM-LFBO
THY30X,THY,30X,THY,LTFM-LHBP
THY3100,THY,3100,THY,LTAI-LTFM
THY3101,THY,3101,THY,EDDB-LTAI
THY3102,THY,3102,THY,LTAI-EDDB
THY3103,THY,3103,THY,LBWN-LTAI
THY3104,THY,3104,THY,LTBS-UUWW
THY3105,THY,3105,THY,UUWW-LTBS
THY3106,THY,3106,THY,LTAI-EDDN
THY3107,THY,3107,THY,EDDK-LTAI
THY3108,THY,3108,THY,LTAI-EDDS
THY3109,THY,3109,THY,EDDS-LTAI
THY3111,THY,3111,THY,EDDV-LTAI
THY3112,THY,3112,THY,LTAI-EDDH
THY3113,THY,3113,THY,EDDH-LTAI
THY3114,THY,3114,THY,LTAI-EDDH
THY3115,THY,3115,THY,EDDH-LTAI
THY3116,THY,3116,THY,LTAI-EDDP
THY3117,THY,3117,THY,EDDP-LTAI
THY3118,THY,3118,THY,LTAI-EDDP
THY3119,THY,3119,THY,EDDP-LTAI
THY3120,THY,3120,THY,LTAI-EDDH
THY3121,THY,3121,THY,EDDB-LTAI
THY3122,THY,3122,THY,LTAI-UUWW
THY3123,THY,3123,THY,EDDP-LTAI
THY3124,THY,3124,THY,LTAI-EDDN
THY3125,THY,3125,THY,EDDK-LTAI
THY3127,THY,3127,THY,EDDP-LTAI
THY3130,THY,3130,THY,LTAI-UAAA
THY3131,THY,3131,THY,UAAA-LTAI
THY3132,THY,3132,THY,LTAI-UACC
THY3133,THY,3133,THY,UUWW-LTAI
THY3134,THY,3134,THY,LTAI-UAKK
THY3135,THY,3135,THY,UAKK-LTAI
THY3136,THY,3136,THY,LTAI-UUWW
THY3137,THY,3137,THY,UUWW-LTAI
THY3138,THY,3138,THY,LTAI-UUWW
