Callsign,Code,Number,AirlineCode,AirportCodes
TJK106,TJK,106,TJK,OIIE-UTDD
TJK4702,TJK,4702,TJK,UUDD-UTDT
TJK4801,TJK,4801,TJK,UADD-USSS
TJK4805,TJK,4805,TJK,UTDD-USRR
TJK4806,TJK,4806,TJK,USRR-UTDD
TJK4849,TJK,4849,TJK,UTDD-UCFM
TJK4850,TJK,4850,TJK,UCFM-UTDD
TJK4852,TJK,4852,TJK,ULLI-UTDD
TJK4863,TJK,4863,TJK,UTDD-UNNT
TJK4864,TJK,4864,TJK,UNNT-UTDD
TJK4897,TJK,4897,TJK,UTDD-UAAA
TJK4898,TJK,4898,TJK,UAAA-UTDD
TJK4911,TJK,4911,TJK,UTDL-USRR
TJK4912,TJK,4912,TJK,USRR-UTDL
TJK4923,TJK,4923,TJK,UADD-USNN
TJK4929,TJK,4929,TJK,UTDL-UNNT
TJK4930,TJK,4930,TJK,UNNT-UTDL
TJK4952,TJK,4952,TJK,ULLI-UTDL
TJK627,TJK,627,TJK,UTDD-UUDD
TJK628,TJK,628,TJK,UUDD-UTDD
TJK629,TJK,629,TJK,UTDD-UUDD
TJK645,TJK,645,TJK,UTDL-UUDD
TJK646,TJK,646,TJK,UTDD-UTDL
