Callsign,Code,Number,AirlineCode,AirportCodes
TLM100,TLM,100,TLM,VTBD-WSSS
TLM101,TLM,101,TLM,WSSS-VTBD
TLM104,TLM,104,TLM,VTBD-WSSS
TLM105,TLM,105,TLM,WSSS-VTBD
TLM112,TLM,112,TLM,VTBD-WIII
TLM114,TLM,114,TLM,VTBD-WIII
TLM116,TLM,116,TLM,VTBD-WIII
TLM117,TLM,117,TLM,WIII-VTBD
TLM132,TLM,132,TLM,VTBD-WMKP
TLM133,TLM,133,TLM,WMKP-VTBD
TLM1507,TLM,1507,TLM,VTCC-VTBD
TLM1508,TLM,1508,TLM,VTCC-VTBD
TLM1516,TLM,1516,TLM,VTBD-VTCC
TLM1518,TLM,1518,TLM,VTBD-VTCC
TLM1519,TLM,1519,TLM,VTCC-VTBD
TLM1534,TLM,1534,TLM,VTBD-VTCT
TLM1535,TLM,1535,TLM,VTCT-VTBD
TLM1540,TLM,1540,TLM,VTBD-VTCT
TLM1541,TLM,1541,TLM,VTCT-VTBD
TLM1641,TLM,1641,TLM,VTUK-VTBD
TLM1762,TLM,1762,TLM,VTBD-VTSP
TLM1765,TLM,1765,TLM,VTSP-VTBD
TLM1768,TLM,1768,TLM,VTBD-VTSP
TLM1800,TLM,1800,TLM,VTBD-VTSG
TLM1812,TLM,1812,TLM,VTBD-VTSG
TLM1816,TLM,1816,TLM,VTBD-VTSG
TLM184,TLM,184,TLM,VTBD-VVNB
TLM1920,TLM,1920,TLM,VTBD-ZSHC
TLM1921,TLM,1921,TLM,ZSHC-VTBD
TLM1922,TLM,1922,TLM,VTBD-ZSHC
TLM1923,TLM,1923,TLM,ZSHC-VTBD
TLM1928,TLM,1928,TLM,VTBD-ZSPD
TLM1929,TLM,1929,TLM,ZSPD-VTBD
TLM1932,TLM,1932,TLM,VTBD-ZUTF
TLM1933,TLM,1933,TLM,ZUTF-VTBD
TLM1994,TLM,1994,TLM,VTCC-VTBU
TLM1995,TLM,1995,TLM,VTBU-VTCC
TLM200,TLM,200,TLM,VTBD-VYYY
