Callsign,Code,Number,AirlineCode,AirportCodes
TMT1806,TMT,1806,TMT,EDDK-LIMC-LIRN
TMT1807,TMT,1807,TMT,LIRN-LIMC-EDDK
TMT1828,TMT,1828,TMT,EDDK-EDDB
TMT1YM,TMT,1YM,TMT,LKTB-EDDP
TMT2231,TMT,2231,TMT,LIPZ-EDDK
TMT2410,TMT,2410,TMT,EDDK-LIPZ
TMT2411,TMT,2411,TMT,LIPZ-EDDK
TMT2KK,TMT,2KK,TMT,EDDP-LKTB
TMT4126,TMT,4126,TMT,EDDP-LOWL
TMT4127,TMT,4127,TMT,LOWL-EDDP
TMT5569,TMT,5569,TMT,LKTB-EDDP
TMT5916,TMT,5916,TMT,EDDP-EPKT
TMT5917,TMT,5917,TMT,EPKT-EDDP
TMT72,TMT,72,TMT,EDDF-EIDW
TMT7511,TMT,7511,TMT,LIPO-EDDP
TMT7808,TMT,7808,TMT,EDDK-LIME
TMT7827,TMT,7827,TMT,EDDB-EDDK
TMT7828,TMT,7828,TMT,EDDK-EDDB
