Callsign,Code,Number,AirlineCode,AirportCodes
TOK101,TOK,101,TOK,RJSN-RJCO
TOK102,TOK,102,TOK,RJCO-RJSN
TOK103,TOK,103,TOK,RJSN-RJCO
TOK104,TOK,104,TOK,RJCO-RJSN
TOK201,TOK,201,TOK,RJSN-RJSS
TOK202,TOK,202,TOK,RJSS-RJSN
TOK203,TOK,203,TOK,RJSN-RJSS
TOK204,TOK,204,TOK,RJSS-RJSN
TOK393,TOK,393,TOK,LTAI-EDDP
TOK3MV,TOK,3MV,TOK,EGCC-LEIB
TOK401,TOK,401,TOK,RJSN-RJGG
TOK402,TOK,402,TOK,RJGG-RJSN
TOK403,TOK,403,TOK,RJSN-RJGG
TOK404,TOK,404,TOK,RJGG-RJSN
TOK501,TOK,501,TOK,RJSN-RJBE
TOK502,TOK,502,TOK,RJBE-RJSN
TOK503,TOK,503,TOK,RJSN-RJBE
TOK504,TOK,504,TOK,RJBE-RJSN
TOK950,TOK,950,TOK,YBCS-AYKY
TOK951,TOK,951,TOK,EGPE-EGPE
