Callsign,Code,Number,AirlineCode,AirportCodes
TVF100,TVF,100,TVF,LFPO-LFMP
TVF101,TVF,101,TVF,CYUL-LFPO
TVF1020,TVF,1020,TVF,LFLL-LGRP
TVF103,TVF,103,TVF,EDDB-LFLL
TVF1053,TVF,1053,TVF,LTAI-LFPO
TVF1055,TVF,1055,TVF,LGBL-LFPO
TVF1057,TVF,1057,TVF,LPFR-LFPO
TVF1059,TVF,1059,TVF,LTAI-LFPO
TVF105P,TVF,105P,TVF,EGPH-LFPO
TVF1060,TVF,1060,TVF,LFPO-LGBL
TVF1061,TVF,1061,TVF,LGBL-LFPO
TVF1066,TVF,1066,TVF,LFPO-LICA
TVF1067,TVF,1067,TVF,LICB-LFPO
TVF107,TVF,107,TVF,EFIV-LFPO
TVF1071,TVF,1071,TVF,LICB-LFPO
TVF1073,TVF,1073,TVF,LGBL-LFPO
TVF107E,TVF,107E,TVF,LFPO-LICC
TVF108,TVF,108,TVF,LFPO-LZIB
TVF1083,TVF,1083,TVF,LICB-LFPO
TVF1090,TVF,1090,TVF,LFML-HETB
TVF1094,TVF,1094,TVF,LFPO-GOGS
TVF1095,TVF,1095,TVF,GMMX-LFPO
TVF1097,TVF,1097,TVF,LTFE-LFPO
TVF10AH,TVF,10AH,TVF,LFPO-EFRO
TVF10AN,TVF,10AN,TVF,LFRS-LFQQ
TVF10AT,TVF,10AT,TVF,LFPO-LGIR
TVF10AW,TVF,10AW,TVF,LFPO-LEVC
TVF10BB,TVF,10BB,TVF,LFPO-ESSA
TVF10BE,TVF,10BE,TVF,LEVC-LFPO
TVF10BR,TVF,10BR,TVF,GMFO-LFPO
TVF10CG,TVF,10CG,TVF,LFPO-LIEO
TVF10CH,TVF,10CH,TVF,LFPO-LPFR
TVF10CQ,TVF,10CQ,TVF,LFBZ-LFPO
TVF10CR,TVF,10CR,TVF,LFPO-LEMG
TVF10DD,TVF,10DD,TVF,LFPO-LDSP
TVF10DH,TVF,10DH,TVF,LFMT-LFPO
TVF10DR,TVF,10DR,TVF,LFPO-LEPA
TVF10EB,TVF,10EB,TVF,LFBZ-LFPO
TVF10EE,TVF,10EE,TVF,LFPO-LIBR
TVF10EH,TVF,10EH,TVF,LPPR-LFPO
TVF10EQ,TVF,10EQ,TVF,LOWW-LFPO
TVF10FF,TVF,10FF,TVF,LFPO-LFMP
TVF10FY,TVF,10FY,TVF,LEAL-LFPO
TVF10FZ,TVF,10FZ,TVF,LEBL-LFPO
TVF10GG,TVF,10GG,TVF,LFPO-GCFV
TVF10GN,TVF,10GN,TVF,LFLL-GMFF
TVF10GT,TVF,10GT,TVF,LEZL-LFPO
TVF10HN,TVF,10HN,TVF,LFPO-LEMH
TVF10JN,TVF,10JN,TVF,LPMA-LFPO
TVF10LQ,TVF,10LQ,TVF,LFPO-DAAG
TVF10ME,TVF,10ME,TVF,LFBZ-LFPO
TVF10NC,TVF,10NC,TVF,LFPO-LFBZ
TVF10PC,TVF,10PC,TVF,LFLL-LEZL
TVF10QA,TVF,10QA,TVF,LLBG-LFPO
TVF10QP,TVF,10QP,TVF,LFLL-GMMN
TVF10RL,TVF,10RL,TVF,LFRS-LPFR
TVF10SH,TVF,10SH,TVF,LEIB-LFPO
TVF10SL,TVF,10SL,TVF,LFPO-LGSA
TVF10TN,TVF,10TN,TVF,LEVC-LFPO
TVF10TR,TVF,10TR,TVF,LFRS-GMMX
TVF10TU,TVF,10TU,TVF,LFPO-LPPR
TVF10UD,TVF,10UD,TVF,LFPO-LDZD
TVF10UK,TVF,10UK,TVF,GMAD-LFRS
TVF10UR,TVF,10UR,TVF,LFPO-LICC
TVF10VJ,TVF,10VJ,TVF,LKPR-LFPO
TVF10VP,TVF,10VP,TVF,LFLL-LEZL
TVF10WF,TVF,10WF,TVF,LFPO-EKCH
TVF10WM,TVF,10WM,TVF,LGKR-LFPO
TVF10WN,TVF,10WN,TVF,LFRS-LPPR
TVF10XD,TVF,10XD,TVF,LFPO-LEVC
TVF10XQ,TVF,10XQ,TVF,LEZL-LFRS
TVF10XT,TVF,10XT,TVF,LPMA-LFRS
TVF10XX,TVF,10XX,TVF,LICC-LFPO
TVF10XY,TVF,10XY,TVF,LFPO-LPPR
TVF10YE,TVF,10YE,TVF,LPFR-LFPO
TVF110,TVF,110,TVF,LFPO-LZIB
TVF112,TVF,112,TVF,LFPO-EGHH
TVF1152,TVF,1152,TVF,LFPO-LTFE
TVF115R,TVF,115R,TVF,LFPO-LICJ
TVF1172,TVF,1172,TVF,LFRS-LTAI
TVF1173,TVF,1173,TVF,LFPO-LFRS
TVF119N,TVF,119N,TVF,LGSA-LFPO
