Callsign,Code,Number,AirlineCode,AirportCodes
TVJ100,TVJ,100,TVJ,VTBS-VTCC
TVJ101,TVJ,101,TVJ,VTCC-VTBS
TVJ1019,TVJ,1019,TVJ,WIII-VTBS
TVJ102,TVJ,102,TVJ,VTBS-VTCC
TVJ103,TVJ,103,TVJ,VTCC-VTBS
TVJ104,TVJ,104,TVJ,VTBS-VTCC
TVJ105,TVJ,105,TVJ,VTCC-VTBS
TVJ106,TVJ,106,TVJ,VTBS-VTCC
TVJ107,TVJ,107,TVJ,VTCC-VTBS
TVJ108,TVJ,108,TVJ,VTBS-VTCC
TVJ109,TVJ,109,TVJ,VTCC-VTBS
TVJ110,TVJ,110,TVJ,VTBS-VTCC
TVJ111,TVJ,111,TVJ,VTCC-VTBS
TVJ114,TVJ,114,TVJ,VTBS-VTCC
TVJ115,TVJ,115,TVJ,VTCC-VTBS
TVJ116,TVJ,116,TVJ,VTBS-VTCC
TVJ117,TVJ,117,TVJ,VTCC-VTBS
TVJ118,TVJ,118,TVJ,VTBS-VTCC
TVJ119,TVJ,119,TVJ,VTCC-VTBS
TVJ120,TVJ,120,TVJ,VTBS-VTCC
TVJ121,TVJ,121,TVJ,VTCC-VTBS
TVJ122,TVJ,122,TVJ,VTBS-VTCC
TVJ123,TVJ,123,TVJ,VTCC-VTBS
TVJ130,TVJ,130,TVJ,VTBS-VTCT
TVJ131,TVJ,131,TVJ,VTCT-VTBS
TVJ132,TVJ,132,TVJ,VTBS-VTCT
TVJ133,TVJ,133,TVJ,VTCT-VTBS
TVJ134,TVJ,134,TVJ,VTBS-VTCT
TVJ135,TVJ,135,TVJ,VTCT-VTBS
TVJ136,TVJ,136,TVJ,VTBS-VTCT
TVJ137,TVJ,137,TVJ,VTCT-VTBS
TVJ138,TVJ,138,TVJ,VTBS-VTCT
TVJ139,TVJ,139,TVJ,VTCT-VTBS
TVJ200,TVJ,200,TVJ,VTBS-VTUD
TVJ201,TVJ,201,TVJ,VTUD-VTBS
TVJ202,TVJ,202,TVJ,VTBS-VTUD
TVJ203,TVJ,203,TVJ,VTUD-VTBS
TVJ204,TVJ,204,TVJ,VTBS-VTUD
TVJ205,TVJ,205,TVJ,VTUD-VTBS
TVJ206,TVJ,206,TVJ,VTBS-VTUD
TVJ207,TVJ,207,TVJ,VTUD-VTBS
TVJ208,TVJ,208,TVJ,VTBS-VTUD
TVJ209,TVJ,209,TVJ,VTUD-VTBS
TVJ210,TVJ,210,TVJ,VTBS-VTUK
TVJ2104,TVJ,2104,TVJ,VTBS-VTCC
TVJ2105,TVJ,2105,TVJ,VTCC-VTBS
TVJ2106,TVJ,2106,TVJ,VTBS-VTCC
TVJ2107,TVJ,2107,TVJ,VTCC-VTBS
TVJ2108,TVJ,2108,TVJ,VTBS-VTCC
TVJ211,TVJ,211,TVJ,VTUK-VTBS
TVJ2111,TVJ,2111,TVJ,VTCC-VTBS
TVJ2114,TVJ,2114,TVJ,VTBS-VTCC
TVJ2115,TVJ,2115,TVJ,VTCC-VTBS
TVJ212,TVJ,212,TVJ,VTBS-VTUK
TVJ2123,TVJ,2123,TVJ,VTCC-VTBS
TVJ213,TVJ,213,TVJ,VTUK-VTBS
TVJ2135,TVJ,2135,TVJ,VTCT-VTBS
TVJ214,TVJ,214,TVJ,VTBS-VTUK
TVJ215,TVJ,215,TVJ,VTUK-VTBS
TVJ216,TVJ,216,TVJ,VTBS-VTUK
TVJ217,TVJ,217,TVJ,VTUK-VTBS
TVJ220,TVJ,220,TVJ,VTBS-VTUU
TVJ221,TVJ,221,TVJ,VTUU-VTBS
TVJ224,TVJ,224,TVJ,VTBS-VTUU
TVJ225,TVJ,225,TVJ,VTUU-VTBS
TVJ2300,TVJ,2300,TVJ,VTBS-VTSP
TVJ2301,TVJ,2301,TVJ,VTSP-VTBS
TVJ2303,TVJ,2303,TVJ,VTSP-VTBS
TVJ2304,TVJ,2304,TVJ,VTBS-VTSP
TVJ2305,TVJ,2305,TVJ,VTSP-VTBS
TVJ2306,TVJ,2306,TVJ,VTBS-VTSP
TVJ2307,TVJ,2307,TVJ,VTSP-VTBS
TVJ2308,TVJ,2308,TVJ,VTBS-VTSP
TVJ2311,TVJ,2311,TVJ,VTSP-VTBS
TVJ2315,TVJ,2315,TVJ,VTSP-VTBS
TVJ2324,TVJ,2324,TVJ,VTBS-VTSS
TVJ2325,TVJ,2325,TVJ,VTSS-VTBS
TVJ2340,TVJ,2340,TVJ,VTBS-VTSG
TVJ2343,TVJ,2343,TVJ,VTSG-VTBS
TVJ300,TVJ,300,TVJ,VTBS-VTSP
TVJ301,TVJ,301,TVJ,VTSP-VTBS
TVJ302,TVJ,302,TVJ,VTBS-VTSP
TVJ303,TVJ,303,TVJ,VTSP-VTBS
TVJ304,TVJ,304,TVJ,VTBS-VTSP
TVJ305,TVJ,305,TVJ,VTSP-VTBS
TVJ306,TVJ,306,TVJ,VTBS-VTSP
TVJ307,TVJ,307,TVJ,VTSP-VTBS
TVJ308,TVJ,308,TVJ,VTBS-VTSP
TVJ309,TVJ,309,TVJ,VTSP-VTBS
TVJ310,TVJ,310,TVJ,VTBS-VTSP
TVJ311,TVJ,311,TVJ,VTSP-VTBS
TVJ312,TVJ,312,TVJ,VTBS-VTSP
TVJ313,TVJ,313,TVJ,VTSP-VTBS
TVJ314,TVJ,314,TVJ,VTBS-VTSP
TVJ315,TVJ,315,TVJ,VTSP-VTBS
TVJ316,TVJ,316,TVJ,VTBS-VTSP
TVJ317,TVJ,317,TVJ,VTSP-VTBS
TVJ320,TVJ,320,TVJ,VTBS-VTSS
TVJ321,TVJ,321,TVJ,VTSS-VTBS
TVJ322,TVJ,322,TVJ,VTBS-VTSS
TVJ323,TVJ,323,TVJ,VTSS-VTBS
TVJ324,TVJ,324,TVJ,VTBS-VTSS
TVJ325,TVJ,325,TVJ,VTSS-VTBS
TVJ326,TVJ,326,TVJ,VTBS-VTSS
TVJ327,TVJ,327,TVJ,VTSS-VTBS
TVJ328,TVJ,328,TVJ,VTBS-VTSS
TVJ329,TVJ,329,TVJ,VTSS-VTBS
TVJ331,TVJ,331,TVJ,VTSF-VTBS
TVJ334,TVJ,334,TVJ,VTBS-VTSF
TVJ335,TVJ,335,TVJ,VTSF-VTBS
TVJ338,TVJ,338,TVJ,VTBS-VTSF
TVJ339,TVJ,339,TVJ,VTSF-VTBS
TVJ340,TVJ,340,TVJ,VTBS-VTSG
TVJ341,TVJ,341,TVJ,VTSG-VTBS
TVJ342,TVJ,342,TVJ,VTBS-VTSG
TVJ343,TVJ,343,TVJ,VTSG-VTBS
TVJ344,TVJ,344,TVJ,VTBS-VTSG
TVJ345,TVJ,345,TVJ,VTSG-VTBS
TVJ346,TVJ,346,TVJ,VTBS-VTSG
TVJ347,TVJ,347,TVJ,VTSG-VTBS
TVJ350,TVJ,350,TVJ,VTBS-VTSB
TVJ3500,TVJ,3500,TVJ,VTBS-ZSNB
TVJ3501,TVJ,3501,TVJ,ZSNB-VTBS
TVJ351,TVJ,351,TVJ,VTSB-VTBS
TVJ3518,TVJ,3518,TVJ,VTBS-ZBHH
TVJ352,TVJ,352,TVJ,VTBS-VTSB
TVJ3524,TVJ,3524,TVJ,VTBS-ZSPD
TVJ3525,TVJ,3525,TVJ,ZSPD-VTBS
TVJ3526,TVJ,3526,TVJ,VTBS-ZSNJ
TVJ3528,TVJ,3528,TVJ,VTBS-ZSOF
TVJ353,TVJ,353,TVJ,VTSB-VTBS
TVJ3530,TVJ,3530,TVJ,VTBS-ZSWX
TVJ3536,TVJ,3536,TVJ,VTBS-ZSHC
TVJ3537,TVJ,3537,TVJ,ZSHC-VTBS
TVJ3548,TVJ,3548,TVJ,VTBS-ZHCC
TVJ3549,TVJ,3549,TVJ,ZHCC-VTBS
TVJ355,TVJ,355,TVJ,VTSB-VTBS
TVJ356,TVJ,356,TVJ,VTBS-VTSB
TVJ357,TVJ,357,TVJ,VTSB-VTBS
TVJ3590,TVJ,3590,TVJ,VTBS-ZSCG
TVJ3591,TVJ,3591,TVJ,ZSCG-VTBS
TVJ3604,TVJ,3604,TVJ,VTBS-ZGHA
TVJ3605,TVJ,3605,TVJ,ZGHA-VTBS
TVJ362,TVJ,362,TVJ,VTBS-VTSS
TVJ3662,TVJ,3662,TVJ,ZBHH-VTBS
TVJ3680,TVJ,3680,TVJ,VTBS-ZUTF
TVJ3681,TVJ,3681,TVJ,ZUTF-VTBS
TVJ3690,TVJ,3690,TVJ,VTBS-ZLXN
TVJ3691,TVJ,3691,TVJ,ZLXN-VTBS
TVJ3692,TVJ,3692,TVJ,VTBS-ZSXZ
TVJ3693,TVJ,3693,TVJ,ZSXZ-VTBS
TVJ3694,TVJ,3694,TVJ,VTBS-ZGDY
TVJ3695,TVJ,3695,TVJ,ZGDY-VTBS
TVJ3698,TVJ,3698,TVJ,VTBS-ZGKL
TVJ3699,TVJ,3699,TVJ,ZGKL-VTBS
TVJ3703,TVJ,3703,TVJ,ZSCN-VTBS
TVJ3718,TVJ,3718,TVJ,VTBS-ZBAD
TVJ3719,TVJ,3719,TVJ,ZBAD-VTBS
TVJ3720,TVJ,3720,TVJ,VTBS-ZGGG
TVJ3721,TVJ,3721,TVJ,ZGGG-VTBS
TVJ3732,TVJ,3732,TVJ,VTBS-VMMC
TVJ3733,TVJ,3733,TVJ,VMMC-VTBS
TVJ3742,TVJ,3742,TVJ,VTBS-ZGOW
TVJ3743,TVJ,3743,TVJ,ZGOW-VTBS
TVJ3800,TVJ,3800,TVJ,VTBS-ROAH
TVJ3801,TVJ,3801,TVJ,ROAH-VTBS
TVJ3820,TVJ,3820,TVJ,VTBS-RCTP-RJSS
TVJ3821,TVJ,3821,TVJ,RJSS-RCTP-VTBS
TVJ3970,TVJ,3970,TVJ,VTBS-VVTS
TVJ3971,TVJ,3971,TVJ,VVTS-VTBS
TVJ400,TVJ,400,TVJ,VTSP-VTCT
TVJ401,TVJ,401,TVJ,VTCT-VTSP
TVJ408,TVJ,408,TVJ,VTSS-VTCT
TVJ414,TVJ,414,TVJ,VTCC-VTSP
TVJ415,TVJ,415,TVJ,VTSP-VTCC
TVJ416,TVJ,416,TVJ,VTCC-VTSP
TVJ417,TVJ,417,TVJ,VTSP-VTCC
TVJ452,TVJ,452,TVJ,VTUD-VTSP
TVJ561,TVJ,561,TVJ,RCMQ-VTBS
TVJ562,TVJ,562,TVJ,VTBS-RCTP
TVJ563,TVJ,563,TVJ,RCTP-VTBS
TVJ564,TVJ,564,TVJ,VTBS-RCTP
TVJ565,TVJ,565,TVJ,RCTP-VTBS
TVJ566,TVJ,566,TVJ,VTBS-RCTP-RJBB
TVJ567,TVJ,567,TVJ,RJBB-RCTP-VTBS
TVJ568,TVJ,568,TVJ,VTBS-RCTP-ROAH
TVJ569,TVJ,569,TVJ,ROAH-RCTP-VTBS
TVJ570,TVJ,570,TVJ,VTBS-RCTP-RJCC
TVJ571,TVJ,571,TVJ,RJCC-RCTP-VTBS
TVJ620,TVJ,620,TVJ,VTBS-WSSS
TVJ621,TVJ,621,TVJ,WSSS-VTBS
TVJ624,TVJ,624,TVJ,VTBS-WSSS
TVJ625,TVJ,625,TVJ,WSSS-VTBS
TVJ626,TVJ,626,TVJ,VTBS-WSSS
TVJ627,TVJ,627,TVJ,WSSS-VTBS
TVJ628,TVJ,628,TVJ,VTBS-WSSS
TVJ629,TVJ,629,TVJ,WSSS-VTBS
TVJ720,TVJ,720,TVJ,VTBS-VDTI
TVJ721,TVJ,721,TVJ,VDTI-VTBS
TVJ722,TVJ,722,TVJ,VTBS-VDTI
TVJ723,TVJ,723,TVJ,VDTI-VTBS
TVJ750,TVJ,750,TVJ,VTBS-VAAH
TVJ760,TVJ,760,TVJ,VTBS-VABB
TVJ761,TVJ,761,TVJ,VABB-VTBS
TVJ762,TVJ,762,TVJ,VTSP-VABB
TVJ810,TVJ,810,TVJ,VTBS-RJFF
TVJ8100,TVJ,8100,TVJ,VTSP-ZGGG
TVJ811,TVJ,811,TVJ,RJFF-VTBS
TVJ8202,TVJ,8202,TVJ,VTBS-ZGGG
TVJ822,TVJ,822,TVJ,VTCC-RJBB
TVJ823,TVJ,823,TVJ,RJBB-VTCC
TVJ850,TVJ,850,TVJ,VTBS-RKSI
TVJ851,TVJ,851,TVJ,RKSI-VTBS
TVJ8702,TVJ,8702,TVJ,VTBS-VYYY
TVJ8934,TVJ,8934,TVJ,VTBS-VVPQ
TVJ940,TVJ,940,TVJ,VTBS-VVDL
TVJ941,TVJ,941,TVJ,VVDL-VTBS
TVJ960,TVJ,960,TVJ,VTBS-VVDN
TVJ961,TVJ,961,TVJ,VVDN-VTBS
TVJ962,TVJ,962,TVJ,VTBS-VVDN
TVJ963,TVJ,963,TVJ,VVDN-VTBS
TVJ964,TVJ,964,TVJ,VTBS-VVDN
TVJ965,TVJ,965,TVJ,VVDN-VTBS
TVJ966,TVJ,966,TVJ,VTBS-VVDN
TVJ970,TVJ,970,TVJ,VTBS-VVTS
TVJ971,TVJ,971,TVJ,VVTS-VTBS
TVJ972,TVJ,972,TVJ,VTBS-VVTS
TVJ974,TVJ,974,TVJ,VTBS-VVTS
TVJ975,TVJ,975,TVJ,VVTS-VTBS
TVJ980,TVJ,980,TVJ,VTBS-VVPQ
TVJ981,TVJ,981,TVJ,VVPQ-VTBS
TVJ982,TVJ,982,TVJ,VTBS-VVPQ
TVJ983,TVJ,983,TVJ,VVPQ-VTBS
