Callsign,Code,Number,AirlineCode,AirportCodes
TYA101,TYA,101,TYA,UUDD-UOOO
TYA102,TYA,102,TYA,UOOO-UUDD
TYA1021,TYA,1021,TYA,UUDD-URMM
TYA1022,TYA,1022,TYA,URMM-UUDD
TYA103,TYA,103,TYA,UUDD-URSS
TYA1031,TYA,1031,TYA,UUDD-URSS
TYA1032,TYA,1032,TYA,URSS-UUDD
TYA1034,TYA,1034,TYA,URSS-UUDD
TYA104,TYA,104,TYA,UOOO-UUDD
TYA1040,TYA,1040,TYA,URSS-UOOO
TYA1041,TYA,1041,TYA,UUDD-URML
TYA1042,TYA,1042,TYA,URML-UUDD
TYA105,TYA,105,TYA,UUDD-UOOO
TYA1051,TYA,1051,TYA,UUDD-URKA
TYA1052,TYA,1052,TYA,URKA-UUDD
TYA106,TYA,106,TYA,UOOO-UUDD
TYA1061,TYA,1061,TYA,UUDD-ULLI
TYA1062,TYA,1062,TYA,ULLI-UUDD
TYA107,TYA,107,TYA,UUDD-UNKL
TYA1071,TYA,1071,TYA,UUDD-URKG
TYA1072,TYA,1072,TYA,URKG-UUDD
TYA108,TYA,108,TYA,UNKL-UUDD
TYA1081,TYA,1081,TYA,UUDD-URMM
TYA109,TYA,109,TYA,UUDD-UOOO
TYA1092,TYA,1092,TYA,USUU-UUDD
TYA1094,TYA,1094,TYA,USUU-UUDD
TYA117,TYA,117,TYA,UUDD-UNKL
TYA118,TYA,118,TYA,UNKL-UUDD
TYA119,TYA,119,TYA,UUDD-UNKL
TYA120,TYA,120,TYA,UNKL-UUDD
TYA16,TYA,16,TYA,HECA-URRP
TYA181,TYA,181,TYA,URMM-HECA
TYA192,TYA,192,TYA,HECA-URRP
TYA207,TYA,207,TYA,UNKL-UOOO
TYA217,TYA,217,TYA,UNKL-UOOO
TYA2324,TYA,2324,TYA,URSS-UNKL
TYA237,TYA,237,TYA,UNKL-UOOO
TYA301,TYA,301,TYA,UNKL-ULLI
TYA321,TYA,321,TYA,UNKL-URSS
TYA322,TYA,322,TYA,URSS-UNKL
TYA323,TYA,323,TYA,UNKL-URSS
TYA324,TYA,324,TYA,URSS-UNKL
TYA325,TYA,325,TYA,UNKL-URKA
TYA326,TYA,326,TYA,URKA-UNKL
TYA328,TYA,328,TYA,URKA-UNKL
TYA329,TYA,329,TYA,UNKL-URKK
TYA330,TYA,330,TYA,URKK-UNKL
TYA332,TYA,332,TYA,URKK-UNKL
TYA333,TYA,333,TYA,UNKL-URKG
TYA334,TYA,334,TYA,URKG-UNKL
TYA351,TYA,351,TYA,UNKL-URKA
TYA352,TYA,352,TYA,URKA-UNKL
TYA373,TYA,373,TYA,UNKL-URKK
TYA374,TYA,374,TYA,URKK-UNKL
TYA38,TYA,38,TYA,UNIS-UNNT
TYA400,TYA,400,TYA,UOOO-URSS
TYA401,TYA,401,TYA,URSS-UUDD-UOOO
TYA402,TYA,402,TYA,UOOO-UUDD-URSS
TYA403,TYA,403,TYA,URMM-UUDD-UOOO
TYA404,TYA,404,TYA,UOOO-UUDD-URMM
TYA405,TYA,405,TYA,ULLI-UOOO
TYA406,TYA,406,TYA,UOOO-ULLI
TYA427,TYA,427,TYA,ULLI-UTDL
TYA428,TYA,428,TYA,UTDL-ULLI
TYA4431,TYA,4431,TYA,UNOO-UIII
TYA4452,TYA,4452,TYA,UECT-UUDD
