Callsign,Code,Number,AirlineCode,AirportCodes
UBG101,UBG,101,UBG,VGHS-VGEG
UBG102,UBG,102,UBG,VGEG-VGHS
UBG103,UBG,103,UBG,VGHS-VGEG
UBG104,UBG,104,UBG,VGEG-VGHS
UBG105,UBG,105,UBG,VGHS-VGEG
UBG106,UBG,106,UBG,VGEG-VGHS
UBG107,UBG,107,UBG,VGHS-VGEG
UBG108,UBG,108,UBG,VGEG-VGHS
UBG109,UBG,109,UBG,VGHS-VGEG
UBG110,UBG,110,UBG,VGEG-VGHS
UBG111,UBG,111,UBG,VGHS-VGEG
UBG112,UBG,112,UBG,VGEG-VGHS
UBG115,UBG,115,UBG,VGHS-VGEG
UBG116,UBG,116,UBG,VGEG-VGHS
UBG119,UBG,119,UBG,VGHS-VGEG
UBG120,UBG,120,UBG,VGEG-VGHS
UBG121,UBG,121,UBG,VGHS-VGJR
UBG122,UBG,122,UBG,VGJR-VGHS
UBG123,UBG,123,UBG,VGHS-VGJR
UBG124,UBG,124,UBG,VGJR-VGHS
UBG125,UBG,125,UBG,VGHS-VGJR
UBG126,UBG,126,UBG,VGJR-VGHS
UBG127,UBG,127,UBG,VGHS-VGJR
UBG129,UBG,129,UBG,VGHS-VGJR
UBG130,UBG,130,UBG,VGJR-VGHS
UBG131,UBG,131,UBG,VGHS-VGJR
UBG132,UBG,132,UBG,VGJR-VGHS
UBG133,UBG,133,UBG,VGHS-VGJR
UBG134,UBG,134,UBG,VGJR-VGHS
UBG135,UBG,135,UBG,VGHS-VGJR
UBG136,UBG,136,UBG,VGJR-VGHS
UBG141,UBG,141,UBG,VGHS-VGCB
UBG142,UBG,142,UBG,VGCB-VGHS
UBG143,UBG,143,UBG,VGHS-VGCB
UBG144,UBG,144,UBG,VGCB-VGHS
UBG145,UBG,145,UBG,VGHS-VGCB
UBG146,UBG,146,UBG,VGCB-VGHS
UBG147,UBG,147,UBG,VGHS-VGCB
UBG148,UBG,148,UBG,VGCB-VGHS
UBG149,UBG,149,UBG,VGHS-VGCB
UBG150,UBG,150,UBG,VGCB-VGHS
UBG151,UBG,151,UBG,VGHS-VGCB
UBG152,UBG,152,UBG,VGCB-VGHS
UBG153,UBG,153,UBG,VGHS-VGCB
UBG154,UBG,154,UBG,VGCB-VGHS
UBG155,UBG,155,UBG,VGHS-VGCB
UBG156,UBG,156,UBG,VGCB-VGHS
UBG157,UBG,157,UBG,VGHS-VGCB
UBG158,UBG,158,UBG,VGCB-VGHS
UBG159,UBG,159,UBG,VGHS-VGCB
UBG160,UBG,160,UBG,VGCB-VGHS
UBG161,UBG,161,UBG,VGHS-VGRJ
UBG162,UBG,162,UBG,VGRJ-VGHS
UBG164,UBG,164,UBG,VGRJ-VGHS
UBG165,UBG,165,UBG,VGHS-VGRJ
UBG166,UBG,166,UBG,VGRJ-VGHS
UBG167,UBG,167,UBG,VGHS-VGRJ
UBG168,UBG,168,UBG,VGRJ-VGHS
UBG171,UBG,171,UBG,VGHS-VGBR
UBG172,UBG,172,UBG,VGBR-VGHS
UBG173,UBG,173,UBG,VGHS-VGBR
UBG174,UBG,174,UBG,VGBR-VGHS
UBG175,UBG,175,UBG,VGHS-VGBR
UBG176,UBG,176,UBG,VGBR-VGHS
UBG181,UBG,181,UBG,VGHS-VGSD
UBG182,UBG,182,UBG,VGSD-VGHS
UBG183,UBG,183,UBG,VGHS-VGSD
UBG184,UBG,184,UBG,VGSD-VGHS
UBG185,UBG,185,UBG,VGHS-VGSD
UBG186,UBG,186,UBG,VGSD-VGHS
UBG187,UBG,187,UBG,VGHS-VGSD
UBG188,UBG,188,UBG,VGSD-VGHS
UBG189,UBG,189,UBG,VGHS-VGSD
UBG190,UBG,190,UBG,VGSD-VGHS
UBG191,UBG,191,UBG,VGHS-VGSD
UBG192,UBG,192,UBG,VGSD-VGHS
UBG193,UBG,193,UBG,VGHS-VGSD
UBG194,UBG,194,UBG,VGSD-VGHS
UBG195,UBG,195,UBG,VGHS-VGSD
UBG196,UBG,196,UBG,VGSD-VGHS
UBG198,UBG,198,UBG,VGSD-VGHS
UBG201,UBG,201,UBG,VGHS-VECC
UBG202,UBG,202,UBG,VECC-VGHS
UBG203,UBG,203,UBG,VGHS-VECC
UBG204,UBG,204,UBG,VECC-VGHS
UBG205,UBG,205,UBG,VGHS-VOMM
UBG205A,UBG,205A,UBG,VGHS-VGEG-VOMM
UBG206,UBG,206,UBG,VOMM-VGHS
UBG206A,UBG,206A,UBG,VOMM-VGEG-VGHS
UBG207,UBG,207,UBG,VGEG-VECC
UBG208,UBG,208,UBG,VECC-VGEG
UBG213,UBG,213,UBG,VGHS-VTBS
UBG214,UBG,214,UBG,VTBS-VGHS
UBG215,UBG,215,UBG,VGHS-VOMM
UBG217,UBG,217,UBG,VGHS-VTBS
UBG218,UBG,218,UBG,VTBS-VGHS
UBG307,UBG,307,UBG,VGHS-WSSS
UBG308,UBG,308,UBG,WSSS-VGHS
UBG309,UBG,309,UBG,VGHS-WSSS
UBG310,UBG,310,UBG,WSSS-VGHS
UBG313,UBG,313,UBG,VGHS-WMKK
UBG314,UBG,314,UBG,WMKK-VGHS
UBG315,UBG,315,UBG,VGHS-WMKK
UBG316,UBG,316,UBG,WMKK-VGHS
UBG317,UBG,317,UBG,VGHS-WMKK
UBG318,UBG,318,UBG,WMKK-VGHS
UBG319,UBG,319,UBG,VGHS-WMKK
UBG320,UBG,320,UBG,WMKK-VGHS
