Callsign,Code,Number,AirlineCode,AirportCodes
UEA1801,UEA,1801,UEA,ZUUU-ZGHA
UEA1802,UEA,1802,UEA,ZGHA-ZUUU
UEA1803,UEA,1803,UEA,ZUTF-ZUDA-ZSAM
UEA1804,UEA,1804,UEA,ZSAM-ZUDA-ZUTF
UEA1805,UEA,1805,UEA,ZUTF-ZUYI-ZSFZ
UEA1806,UEA,1806,UEA,ZSFZ-ZUYI-ZUTF
UEA1807,UEA,1807,UEA,ZUTF-ZPJH
UEA1808,UEA,1808,UEA,ZPJH-ZUTF
UEA1809,UEA,1809,UEA,ZUTF-ZPJH
UEA1810,UEA,1810,UEA,ZPJH-ZUTF
UEA1811,UEA,1811,UEA,ZPLJ-ZGHY-ZSNB
UEA1812,UEA,1812,UEA,ZSNB-ZGHY-ZPLJ
UEA1813,UEA,1813,UEA,ZUUU-ZBHH
UEA1814,UEA,1814,UEA,ZBHH-ZUUU
UEA1815,UEA,1815,UEA,ZUTF-ZWTC
UEA1816,UEA,1816,UEA,ZWTC-ZUTF
UEA1817,UEA,1817,UEA,ZUTF-ZWTC
UEA1818,UEA,1818,UEA,ZWTC-ZUTF
UEA1819,UEA,1819,UEA,ZUCK-ZSFZ
UEA1820,UEA,1820,UEA,ZSFZ-ZUCK
UEA1821,UEA,1821,UEA,ZUTF-ZSQD
UEA1822,UEA,1822,UEA,ZSQD-ZUTF
UEA1823,UEA,1823,UEA,ZUTF-ZBOW-ZYTL
UEA1824,UEA,1824,UEA,ZYTL-ZBOW-ZUTF
UEA1825,UEA,1825,UEA,ZPPP-ZSNJ
UEA1826,UEA,1826,UEA,ZSNJ-ZPPP
UEA1827,UEA,1827,UEA,ZUTF-ZSJN-ZYCC
UEA1828,UEA,1828,UEA,ZYCC-ZSJN-ZUTF
UEA1829,UEA,1829,UEA,ZUUU-ZGHY-ZSWZ
UEA1830,UEA,1830,UEA,ZSWZ-ZGHY-ZUUU
UEA1831,UEA,1831,UEA,ZUUU-ZGYY-ZSQZ
UEA1832,UEA,1832,UEA,ZSQZ-ZGYY-ZUUU
UEA1833,UEA,1833,UEA,ZUUU-ZGBH-ZGSZ
UEA1834,UEA,1834,UEA,ZGSZ-ZGBH-ZUUU
UEA1835,UEA,1835,UEA,ZUUU-ZULS
UEA1836,UEA,1836,UEA,ZULS-ZUUU
UEA1837,UEA,1837,UEA,ZUTF-ZHCC-ZWTS
UEA1838,UEA,1838,UEA,ZWTS-ZHCC-ZUTF
UEA1839,UEA,1839,UEA,ZPPP-ZGHA
UEA1840,UEA,1840,UEA,ZGHA-ZPPP
UEA1842,UEA,1842,UEA,ZGHA-ZPJH-ZPPP
UEA1844,UEA,1844,UEA,ZSFZ-ZHCC-ZGNN
UEA1847,UEA,1847,UEA,ZPPP-ZPJH
UEA1848,UEA,1848,UEA,ZPJH-ZPPP
UEA1850,UEA,1850,UEA,ZSQZ-ZGYY
UEA1851,UEA,1851,UEA,ZUTF-ZUYI-ZSQZ
UEA1852,UEA,1852,UEA,ZSQZ-ZUYI-ZUTF
UEA1855,UEA,1855,UEA,ZUUU-ZWSH
UEA1856,UEA,1856,UEA,ZWSH-ZUUU
UEA1857,UEA,1857,UEA,ZYTX-ZHHH-ZGBH
UEA1858,UEA,1858,UEA,ZGBH-ZHHH-ZYTX
UEA1859,UEA,1859,UEA,ZUUU-ZUDA-ZGOW
UEA1860,UEA,1860,UEA,ZGOW-ZUDA-ZUUU
UEA1861,UEA,1861,UEA,ZUTF-ZUDA-ZBYN
UEA1862,UEA,1862,UEA,ZBYN-ZUDA-ZUTF
UEA1863,UEA,1863,UEA,ZUTF-ZGCZ-ZSNB
UEA1864,UEA,1864,UEA,ZSNB-ZGCZ-ZUTF
UEA1865,UEA,1865,UEA,ZUTF-ZYHB
