Callsign,Code,Number,AirlineCode,AirportCodes
USA1001,USA,1001,USA,UTTT-UTTZ
USA1002,USA,1002,USA,UTTZ-UTTT
USA1021,USA,1021,USA,UTNN-UTNM
USA1022,USA,1022,USA,UTNM-UTNN
USA130,USA,130,USA,UTTT-UCFL
USA131,USA,131,USA,UTTT-UCFL
USA132,USA,132,USA,UCFL-UTTT
USA303,USA,303,USA,UTTT-UTSS
USA304,USA,304,USA,UTSS-UTTT
USA401,USA,401,USA,UTTT-UTFF
USA402,USA,402,USA,UTFF-UTTT
USA431,USA,431,USA,UTFF-UTSS
USA432,USA,432,USA,UTSS-UTFF
USA501,USA,501,USA,UTTT-UTFN
USA502,USA,502,USA,UTFN-UTTT
USA701,USA,701,USA,UTTT-UTSL
USA702,USA,702,USA,UTSL-UTTT
USA721,USA,721,USA,UTTT-UTSH
USA722,USA,722,USA,UTSH-UTTT
USA751,USA,751,USA,UTTT-UTST
USA752,USA,752,USA,UTST-UTTT
USA753,USA,753,USA,UTTT-UTST
USA754,USA,754,USA,UTST-UTTT
USA755,USA,755,USA,UTTT-UTST
USA756,USA,756,USA,UTST-UTTT
USA801,USA,801,USA,UTTT-UTSB
USA802,USA,802,USA,UTSB-UTTT
USA803,USA,803,USA,UTTT-UTSB
USA804,USA,804,USA,UTSB-UTTT
USA805,USA,805,USA,UTTT-UTSB
USA806,USA,806,USA,UTSB-UTTT
USA807,USA,807,USA,UTTT-UTSB
USA808,USA,808,USA,UTSB-UTTT
USA851,USA,851,USA,UTTT-UTSA
USA852,USA,852,USA,UTSA-UTTT
USA903,USA,903,USA,UTTT-UTNU
USA904,USA,904,USA,UTNU-UTTT
