Callsign,Code,Number,AirlineCode,AirportCodes
VAG1121,VAG,1121,VAG,VVTS-VTBS
VAG1182,VAG,1182,VAG,VVPQ-RCTP
VAG120,VAG,120,VAG,VTBS-VVTS
VAG121,VAG,121,VAG,VVTS-VTBS
VAG126,VAG,126,VAG,VTBS-VVNB
VAG127,VAG,127,VAG,VVNB-VTBS
VAG130,VAG,130,VAG,VTBS-VVTS
VAG131,VAG,131,VAG,VVTS-VTBS
VAG1334,VAG,1334,VAG,VVDN-VMMC
VAG1335,VAG,1335,VAG,VMMC-VVDN
VAG1336,VAG,1336,VAG,VVCR-VMMC
VAG1337,VAG,1337,VAG,VMMC-VVCR
VAG136,VAG,136,VAG,VTBS-VVNB
VAG137,VAG,137,VAG,VVNB-VTBS
VAG1417,VAG,1417,VAG,ZJSY-VVNB
VAG1418,VAG,1418,VAG,VVNB-ZJSY
VAG2131,VAG,2131,VAG,VVTS-VTBS
VAG224,VAG,224,VAG,VVCR-VVNB
VAG225,VAG,225,VAG,VVNB-VVCR
VAG240,VAG,240,VAG,VVCR-VVNB
VAG241,VAG,241,VAG,VVNB-VVCR
VAG302,VAG,302,VAG,VVPQ-VVTS
VAG303,VAG,303,VAG,VVTS-VVPQ
VAG304,VAG,304,VAG,VVPQ-VVTS
VAG305,VAG,305,VAG,VVTS-VVPQ
VAG450,VAG,450,VAG,VVTS-VVPC
VAG451,VAG,451,VAG,VVPC-VVTS
VAG625,VAG,625,VAG,VVNB-VVDN
VAG628,VAG,628,VAG,VVDN-VVNB
VAG629,VAG,629,VAG,VVNB-VVDN
VAG630,VAG,630,VAG,VVDN-VVNB
VAG631,VAG,631,VAG,VVNB-VVDN
VAG635,VAG,635,VAG,VVNB-VVDN
VAG638,VAG,638,VAG,VVDN-VVNB
VAG639,VAG,639,VAG,VVNB-VVDN
VAG641,VAG,641,VAG,VVNB-VVDN
VAG648,VAG,648,VAG,VVDN-VVNB
VAG658,VAG,658,VAG,VVDN-VVNB
VAG659,VAG,659,VAG,VVNB-VVDN
VAG660,VAG,660,VAG,VVDN-VVNB
VAG670,VAG,670,VAG,VVTS-VVDN
VAG671,VAG,671,VAG,VVDN-VVTS
VAG672,VAG,672,VAG,VVTS-VVDN
VAG673,VAG,673,VAG,VVDN-VVTS
VAG674,VAG,674,VAG,VVTS-VVDN
VAG675,VAG,675,VAG,VVDN-VVTS
VAG677,VAG,677,VAG,VVDN-VVTS
VAG678,VAG,678,VAG,VVTS-VVDN
VAG679,VAG,679,VAG,VVDN-VVTS
VAG680,VAG,680,VAG,VVTS-VVDN
VAG681,VAG,681,VAG,VVDN-VVTS
VAG718,VAG,718,VAG,VVTS-VVNB
VAG720,VAG,720,VAG,VVTS-VVNB
VAG727,VAG,727,VAG,VVNB-VVTS
VAG750,VAG,750,VAG,VVTS-VVNB
VAG751,VAG,751,VAG,VVNB-VVTS
VAG752,VAG,752,VAG,VVTS-VVNB
VAG753,VAG,753,VAG,VVNB-VVTS
VAG755,VAG,755,VAG,VVNB-VVTS
VAG761,VAG,761,VAG,VVNB-VVTS
VAG770,VAG,770,VAG,VVTS-VVNB
VAG771,VAG,771,VAG,VVNB-VVTS
VAG780,VAG,780,VAG,VVTS-VVNB
VAG781,VAG,781,VAG,VVNB-VVTS
VAG782,VAG,782,VAG,VVTS-VVNB
VAG784,VAG,784,VAG,VVTS-VVNB
VAG787,VAG,787,VAG,VVNB-VVTS
VAG791,VAG,791,VAG,VVNB-VVTS
VAG792,VAG,792,VAG,VVTS-VVNB
VAG793,VAG,793,VAG,VVNB-VVTS
VAG794,VAG,794,VAG,VVTS-VVNB
VAG796,VAG,796,VAG,VVTS-VVNB
VAG797,VAG,797,VAG,VVNB-VVTS
VAG798,VAG,798,VAG,VVTS-VVNB
