Callsign,Code,Number,AirlineCode,AirportCodes
VCV1009,VCV,1009,VCV,SVMG-SVMI
VCV1021,VCV,1021,VCV,SVMG-SVMI
VCV1024,VCV,1024,VCV,SVMI-SVMG
VCV1029,VCV,1029,VCV,SVMG-SVMI
VCV1128,VCV,1128,VCV,SVCN-SVMI
VCV1130,VCV,1130,VCV,SVMI-SVCN
VCV1131,VCV,1131,VCV,SVCN-SVMI
VCV1132,VCV,1132,VCV,SVMI-SVCN
VCV1133,VCV,1133,VCV,SVCN-SVMI
VCV130,VCV,130,VCV,SVMI-SVCN
VCV194,VCV,194,VCV,OIIE-SVMI
VCV196,VCV,196,VCV,OIIE-LYBE-SVMI
VCV197,VCV,197,VCV,OIIE-LYBE-SVMI
VCV2028,VCV,2028,VCV,SVMI-SVMT
VCV2029,VCV,2029,VCV,SVMT-SVMI
VCV2101,VCV,2101,VCV,SVMC-SVMI
VCV2102,VCV,2102,VCV,SVMI-SVMC
VCV2103,VCV,2103,VCV,SVMC-SVMI
VCV2104,VCV,2104,VCV,SVMI-SVMC
VCV2108,VCV,2108,VCV,SVMI-SVMC
VCV2109,VCV,2109,VCV,SVMC-SVMI
VCV2113,VCV,2113,VCV,SVMC-SVMI
VCV2114,VCV,2114,VCV,SVMI-SVMC
VCV2120,VCV,2120,VCV,SVMI-SVVG
VCV2126,VCV,2126,VCV,SVMI-SVVG
VCV2127,VCV,2127,VCV,SVVG-SVMI
VCV2132,VCV,2132,VCV,SVMI-SVBI
VCV2133,VCV,2133,VCV,SVBI-SVMI
VCV2142,VCV,2142,VCV,SVMI-SVJC
VCV2143,VCV,2143,VCV,SVJC-SVMI
VCV2148,VCV,2148,VCV,SVMI-SVJC
VCV2149,VCV,2149,VCV,SVJC-SVMI
VCV2160,VCV,2160,VCV,SVMC-SVMG
VCV2161,VCV,2161,VCV,SVMG-SVMC
VCV2162,VCV,2162,VCV,SVMC-SVMG
VCV2165,VCV,2165,VCV,SVMG-SVMC
VCV2172,VCV,2172,VCV,SVMI-SVSO
VCV2173,VCV,2173,VCV,SVSO-SVMI
VCV2174,VCV,2174,VCV,SVMI-SVSO
VCV2175,VCV,2175,VCV,SVSO-SVMI
VCV2190,VCV,2190,VCV,SVMI-SVCR
VCV2191,VCV,2191,VCV,SVCR-SVMI
VCV2202,VCV,2202,VCV,SVMI-SVPA
VCV2203,VCV,2203,VCV,SVPA-SVMI
VCV2230,VCV,2230,VCV,SVMI-SVBM
VCV2235,VCV,2235,VCV,SVBM-SVMI
VCV2253,VCV,2253,VCV,SVBM-SVMG
VCV2254,VCV,2254,VCV,SVMG-SVBM
VCV2286,VCV,2286,VCV,SVMG-SVBM
VCV2305,VCV,2305,VCV,SVMC-SVMG
VCV2320,VCV,2320,VCV,SVMG-SVMT
VCV2321,VCV,2321,VCV,SVMT-SVMG
VCV2352,VCV,2352,VCV,SVMG-SVPR
VCV2353,VCV,2353,VCV,SVPR-SVMG
VCV2358,VCV,2358,VCV,SVMG-SVPR
VCV2359,VCV,2359,VCV,SVPR-SVMG
VCV2360,VCV,2360,VCV,SVPR-SVCN
VCV2361,VCV,2361,VCV,SVMG-SVVG
VCV2362,VCV,2362,VCV,SVVG-SVMG
VCV2363,VCV,2363,VCV,SVMG-SVVG
VCV2370,VCV,2370,VCV,SVMG-SVVG
VCV2371,VCV,2371,VCV,SVVG-SVMG
VCV2372,VCV,2372,VCV,SVMG-SVSO
VCV2373,VCV,2373,VCV,SVSO-SVMG
VCV2380,VCV,2380,VCV,SVMI-SVPR
VCV2381,VCV,2381,VCV,SVPR-SVMI
VCV2386,VCV,2386,VCV,SVMI-SVPR
VCV2387,VCV,2387,VCV,SVPR-SVMI
VCV2484,VCV,2484,VCV,SVMG-SVCN
VCV286,VCV,286,VCV,SVMG-SVBM
VCV3012,VCV,3012,VCV,SVMI-LEMD
VCV3013,VCV,3013,VCV,LEMD-SVMI
VCV31,VCV,31,VCV,SVMT-SVMI
VCV321,VCV,321,VCV,SVPR-SVMG
VCV332,VCV,332,VCV,SVMC-SVPR
VCV333,VCV,333,VCV,SVPR-SVMC
VCV334,VCV,334,VCV,SVMG-SVSO
VCV336,VCV,336,VCV,SVMG-SVSO
VCV346,VCV,346,VCV,SVMG-SVLF
VCV348,VCV,348,VCV,SVMG-SVLF
VCV350,VCV,350,VCV,SVMG-SVVA
VCV3702,VCV,3702,VCV,SVMI-TBPB
VCV3703,VCV,3703,VCV,TBPB-SVMI
VCV3726,VCV,3726,VCV,SVMI-MMSM
VCV3727,VCV,3727,VCV,MMSM-SVMI
VCV3736,VCV,3736,VCV,SVMI-MMUN
VCV3739,VCV,3739,VCV,MMUN-SVMI
VCV3742,VCV,3742,VCV,SVMI-MMTO
VCV3745,VCV,3745,VCV,MMTO-SVMI
VCV3749,VCV,3749,VCV,MMTO-SVMI
