Callsign,Code,Number,AirlineCode,AirportCodes
VIR0,VIR,0,VIR,LOWW-LSZH
VIR1,VIR,1,VIR,EGLL-KEWR
VIR10,VIR,10,VIR,KJFK-EGLL
VIR1024,VIR,1024,VIR,KLAX-EGLL
VIR103,VIR,103,VIR,EGLL-KATL
VIR103J,VIR,103J,VIR,EGPH-EGLL
VIR103K,VIR,103K,VIR,EGPH-EGLL
VIR103M,VIR,103M,VIR,EGLL-KATL
VIR104,VIR,104,VIR,KATL-EGLL
VIR104L,VIR,104L,VIR,KATL-EGLL
VIR105,VIR,105,VIR,EGLL-KSEA
VIR106,VIR,106,VIR,KSEA-EGLL
VIR106F,VIR,106F,VIR,KSEA-EGLL
VIR107,VIR,107,VIR,EGLL-KDTW
VIR107K,VIR,107K,VIR,EGLL-KDTW
VIR107X,VIR,107X,VIR,EGLL-MYNN
VIR108,VIR,108,VIR,KDTW-EGLL
VIR108A,VIR,108A,VIR,MYNN-EGLL
VIR108B,VIR,108B,VIR,MYNN-EGLL
VIR109,VIR,109,VIR,EGCC-KATL
VIR109V,VIR,109V,VIR,EGCC-KATL
VIR10G,VIR,10G,VIR,KJFK-EGLL
VIR10H,VIR,10H,VIR,KJFK-EGLL
VIR10K,VIR,10K,VIR,KJFK-EGLL
VIR10P,VIR,10P,VIR,KJFK-EGLL
VIR11,VIR,11,VIR,EGLL-KBOS
VIR110,VIR,110,VIR,KATL-EGCC
VIR1100,VIR,1100,VIR,KJFK-EGLL
VIR110A,VIR,110A,VIR,KATL-EGCC
VIR111,VIR,111,VIR,EGLL-KJFK
VIR111L,VIR,111L,VIR,EGLL-KJFK
VIR111M,VIR,111M,VIR,EGLL-KJFK
VIR112,VIR,112,VIR,KJFK-EGLL
VIR115,VIR,115,VIR,EGLL-KATL
VIR115E,VIR,115E,VIR,EGLL-KATL
VIR116,VIR,116,VIR,KATL-EGLL
VIR116F,VIR,116F,VIR,KATL-EGLL
VIR117,VIR,117,VIR,EGLL-KMIA
VIR117F,VIR,117F,VIR,EGLL-KMIA
VIR118,VIR,118,VIR,KMIA-EGLL
VIR11B,VIR,11B,VIR,EGLL-KBOS
VIR12,VIR,12,VIR,KBOS-EGLL
VIR120,VIR,120,VIR,MUVR-EGKK
VIR121,VIR,121,VIR,EGCC-KBOS
VIR122,VIR,122,VIR,KBOS-EGCC
VIR125,VIR,125,VIR,EGCC-KSFO
VIR126,VIR,126,VIR,KSFO-EGCC
VIR127,VIR,127,VIR,EGCC-KJFK
VIR127C,VIR,127C,VIR,EGCC-KJFK
VIR128,VIR,128,VIR,KJFK-EGCC
VIR128K,VIR,128K,VIR,KJFK-EGCC
VIR129R,VIR,129R,VIR,EGLL-KTPA
VIR12E,VIR,12E,VIR,KBOS-EGLL
VIR12R,VIR,12R,VIR,KBOS-EGLL
VIR12Y,VIR,12Y,VIR,KBOS-EGLL
VIR130C,VIR,130C,VIR,KTPA-EGLL
VIR131,VIR,131,VIR,EGLL-TBPB
VIR132,VIR,132,VIR,TBPB-EGLL
VIR132K,VIR,132K,VIR,TBPB-EGLL
VIR133,VIR,133,VIR,EGLL-TAPA
VIR133V,VIR,133V,VIR,EGLL-TAPA
VIR134,VIR,134,VIR,TAPA-EGLL
VIR134B,VIR,134B,VIR,TAPA-EGLL
VIR134E,VIR,134E,VIR,TAPA-EGLL
VIR135G,VIR,135G,VIR,EGLL-KMCO
VIR136,VIR,136,VIR,KMCO-EGLL
VIR136P,VIR,136P,VIR,KMCO-EGLL
VIR137,VIR,137,VIR,EGLL-KJFK
VIR137Y,VIR,137Y,VIR,EGLL-KJFK
VIR138,VIR,138,VIR,KJFK-EGLL
VIR138M,VIR,138M,VIR,KJFK-EGLL
VIR141,VIR,141,VIR,EGLL-KLAX
VIR142,VIR,142,VIR,KLAX-EGLL
VIR15,VIR,15,VIR,EGKK-KMCO
VIR150,VIR,150,VIR,KMCO-EGLL
VIR151,VIR,151,VIR,EGLL-KLAS
VIR152,VIR,152,VIR,KLAS-EGLL
VIR153,VIR,153,VIR,EGLL-KJFK
VIR154,VIR,154,VIR,KJFK-EGLL
VIR155M,VIR,155M,VIR,EGLL-KLAS
