Callsign,Code,Number,AirlineCode,AirportCodes
VLG8,VLG,8,VLG,LEMG-LFPO
VLG80,VLG,80,VLG,LEMG-LFPO
VLG8002,VLG,8002,VLG,LEBL-LFPO
VLG8003,VLG,8003,VLG,LFPO-LEBL
VLG8004,VLG,8004,VLG,LEBL-LFPO
VLG8005,VLG,8005,VLG,LFPO-LEBL
VLG8006,VLG,8006,VLG,LEBL-LFPO
VLG8007,VLG,8007,VLG,LFPO-LEBL
VLG8008,VLG,8008,VLG,LEBL-LFPO
VLG8009,VLG,8009,VLG,LFPO-LEBL
VLG8010,VLG,8010,VLG,LEBL-LFPO
VLG8011,VLG,8011,VLG,LEBL-LFPO
VLG8012,VLG,8012,VLG,LEBL-LFPO
VLG8013,VLG,8013,VLG,LFPO-LEBL
VLG8014,VLG,8014,VLG,LEBL-LFPO
VLG8016,VLG,8016,VLG,LEBL-LFPO
VLG8017,VLG,8017,VLG,LFPO-LEBL
VLG8018,VLG,8018,VLG,LFPO-LEBL
VLG8019,VLG,8019,VLG,LERS-LFPO
VLG801C,VLG,801C,VLG,EKYT-LEBL
VLG801I,VLG,801I,VLG,LKMT-LEBL
VLG802,VLG,802,VLG,LEBL-LFPO
VLG8020,VLG,8020,VLG,LEBL-LFPO
VLG8021,VLG,8021,VLG,OJAI-LFPO
VLG8022,VLG,8022,VLG,LEBL-LFPO
VLG8023,VLG,8023,VLG,LFPO-LEBL
VLG8025,VLG,8025,VLG,LFPO-LEBL
VLG8026,VLG,8026,VLG,LFPO-LERS
VLG8027,VLG,8027,VLG,LFPO-GCFV
VLG8031,VLG,8031,VLG,LFPG-LEBL
VLG8032,VLG,8032,VLG,LEBL-LFPG
VLG8033,VLG,8033,VLG,LFPO-LEBL
VLG8034,VLG,8034,VLG,LFPO-LEBL
VLG8036,VLG,8036,VLG,LEBL-LFPO
VLG8037,VLG,8037,VLG,LFPO-LEBL
VLG8038,VLG,8038,VLG,LEBL-LFPO
VLG8039,VLG,8039,VLG,LFPO-LEBL
VLG803E,VLG,803E,VLG,LEBL-LFPO
VLG8044,VLG,8044,VLG,LEBL-LFPO
VLG8045,VLG,8045,VLG,LFPO-LEBL
VLG8046,VLG,8046,VLG,LFPO-LEBL
VLG8047,VLG,8047,VLG,LEBL-LFPO
VLG8048,VLG,8048,VLG,LFPO-LEBL
VLG804M,VLG,804M,VLG,LEPA-LEBL
VLG8050,VLG,8050,VLG,LEBL-LFPO
VLG8055,VLG,8055,VLG,LEBL-LFPO
