Callsign,Code,Number,AirlineCode,AirportCodes
VOZ1,VOZ,1,VOZ,YSSY-KLAX
VOZ100,VOZ,100,VOZ,NSFA-YSSY
VOZ1003,VOZ,1003,VOZ,YMHB-YBBN
VOZ1006,VOZ,1006,VOZ,YBBN-YMHB
VOZ1007,VOZ,1007,VOZ,YMHB-YBBN
VOZ101,VOZ,101,VOZ,YBBN-NZWN
VOZ1011,VOZ,1011,VOZ,YPPH-YPBO
VOZ1017,VOZ,1017,VOZ,YPPH-YPBO
VOZ101A,VOZ,101A,VOZ,YSSY-YNBR
VOZ102,VOZ,102,VOZ,NZWN-YBBN
VOZ1023,VOZ,1023,VOZ,YBBN-YBAS
VOZ1024,VOZ,1024,VOZ,YBAS-YBBN
VOZ1026,VOZ,1026,VOZ,YBAS-YBBN
VOZ1029,VOZ,1029,VOZ,YMML-YBSU
VOZ102A,VOZ,102A,VOZ,YNBR-YSSY
VOZ103,VOZ,103,VOZ,NZHN-YSSY
VOZ1030,VOZ,1030,VOZ,YBSU-YMML
VOZ1031,VOZ,1031,VOZ,YMML-YBSU
VOZ1032,VOZ,1032,VOZ,YBSU-YMML
VOZ1033,VOZ,1033,VOZ,YMML-YBSU
VOZ1034,VOZ,1034,VOZ,YBSU-YMML
VOZ1035,VOZ,1035,VOZ,YMML-YBSU
VOZ1036,VOZ,1036,VOZ,YBSU-YMML
VOZ1037,VOZ,1037,VOZ,YMML-YBSU
VOZ1038,VOZ,1038,VOZ,YBSU-YMML
VOZ1039,VOZ,1039,VOZ,YMML-YBSU
VOZ103A,VOZ,103A,VOZ,YSSY-YNBR
VOZ104,VOZ,104,VOZ,NZWN-YBBN
VOZ1040,VOZ,1040,VOZ,YBSU-YMML
VOZ1041,VOZ,1041,VOZ,YMML-YBSU
VOZ1042,VOZ,1042,VOZ,YBSU-YMML
VOZ1043,VOZ,1043,VOZ,YMML-YBSU
VOZ1044,VOZ,1044,VOZ,YBSU-YMML
VOZ1045,VOZ,1045,VOZ,YMML-YBSU
VOZ1046,VOZ,1046,VOZ,YBSU-YMML
VOZ1047,VOZ,1047,VOZ,YMML-YBSU
VOZ1048,VOZ,1048,VOZ,YBSU-YMML
VOZ104A,VOZ,104A,VOZ,YNBR-YSSY
VOZ105,VOZ,105,VOZ,YBBN-NZWN
VOZ1052,VOZ,1052,VOZ,YBPN-YSSY
VOZ1053,VOZ,1053,VOZ,YMML-YBTL
VOZ1057,VOZ,1057,VOZ,YBCG-YBCS
VOZ1058,VOZ,1058,VOZ,YBCS-YBCG
VOZ107,VOZ,107,VOZ,NZWN-YBBN
VOZ108,VOZ,108,VOZ,YBBN-NZWN
VOZ1084,VOZ,1084,VOZ,YSTW-YSSY
VOZ1086,VOZ,1086,VOZ,YSSY-YMLT
VOZ1089,VOZ,1089,VOZ,YMLT-YSSY
VOZ109,VOZ,109,VOZ,YPAD-WADD
VOZ1090,VOZ,1090,VOZ,YSSY-YMLT
VOZ1091,VOZ,1091,VOZ,YMLT-YSSY
VOZ1092,VOZ,1092,VOZ,YSSY-YMLT
VOZ1093,VOZ,1093,VOZ,YMLT-YSSY
VOZ1094,VOZ,1094,VOZ,YSSY-YMLT
VOZ1095,VOZ,1095,VOZ,YMLT-YSSY
VOZ1097,VOZ,1097,VOZ,YMLT-YSSY
VOZ1099,VOZ,1099,VOZ,YWLM-YBBN
VOZ110,VOZ,110,VOZ,NZAA-YBCG
VOZ1100,VOZ,1100,VOZ,YBBN-YWLM
VOZ1101,VOZ,1101,VOZ,YWLM-YBBN
VOZ1102,VOZ,1102,VOZ,YBBN-YWLM
VOZ1103,VOZ,1103,VOZ,YWLM-YBBN
VOZ1104,VOZ,1104,VOZ,YBBN-YWLM
VOZ1105,VOZ,1105,VOZ,YWLM-YBBN
VOZ1106,VOZ,1106,VOZ,YBBN-YWLM
VOZ1107,VOZ,1107,VOZ,YWLM-YBBN
VOZ1108,VOZ,1108,VOZ,YBBN-YWLM
VOZ1109,VOZ,1109,VOZ,YWLM-YBBN
VOZ111,VOZ,111,VOZ,NZAA-YBCG
VOZ1113,VOZ,1113,VOZ,YBBN-YBPN
VOZ1114,VOZ,1114,VOZ,YBPN-YBBN
VOZ1116,VOZ,1116,VOZ,YBPN-YBBN
VOZ1117,VOZ,1117,VOZ,YBBN-YBPN
VOZ1118,VOZ,1118,VOZ,YBPN-YBBN
VOZ112,VOZ,112,VOZ,YSSY-NZQN
VOZ1126,VOZ,1126,VOZ,YCFS-YMML
VOZ1127,VOZ,1127,VOZ,YMML-YCFS
VOZ1128,VOZ,1128,VOZ,YCFS-YMML
VOZ1129,VOZ,1129,VOZ,YMML-YCFS
VOZ113,VOZ,113,VOZ,YPAD-WADD
VOZ1130,VOZ,1130,VOZ,YCFS-YMML
VOZ1132,VOZ,1132,VOZ,YCFS-YMML
VOZ1137,VOZ,1137,VOZ,YSSY-YBNA
VOZ1138,VOZ,1138,VOZ,YBNA-YSSY
VOZ1139,VOZ,1139,VOZ,YSSY-YBNA
VOZ114,VOZ,114,VOZ,WADD-YPAD
VOZ1140,VOZ,1140,VOZ,YBNA-YSSY
VOZ1141,VOZ,1141,VOZ,YSSY-YBNA
VOZ1142,VOZ,1142,VOZ,YBNA-YSSY
VOZ1143,VOZ,1143,VOZ,YSSY-YBNA
VOZ1144,VOZ,1144,VOZ,YBNA-YSSY
VOZ1146,VOZ,1146,VOZ,YBNA-YSSY
VOZ1148,VOZ,1148,VOZ,YSTW-YSSY
VOZ1149,VOZ,1149,VOZ,YMLT-YSSY
VOZ115,VOZ,115,VOZ,YBBN-NZQN
VOZ1150,VOZ,1150,VOZ,YSSY-YMLT
