Callsign,Code,Number,AirlineCode,AirportCodes
VSB1,VSB,1,VSB,EGNL-EGLF-EGNL
VSB1B,VSB,1B,VSB,EGNL-EGLF-EGNL
VSB2,VSB,2,VSB,EGNL-EGGD-EGNL
VSB2B,VSB,2B,VSB,EGNL-EGGD-EGNL
VSB3,VSB,3,VSB,EGNL-EGNX-EGNL
VSB4,VSB,4,VSB,EGNL-EGGD-EGNL
VSB6,VSB,6,VSB,EGNL-EGLF-EGNL
VSB7,VSB,7,VSB,EGNL-EGGD-EGNL
VSB8,VSB,8,VSB,EGNL-EGNX-EGNL
VSB91,VSB,91,VSB,EGNL-EGLF-EGNL
VSB92,VSB,92,VSB,EGNL-EGGD-EGNL
VSB92A,VSB,92A,VSB,EGNL-EGGD-EGNL
VSB94,VSB,94,VSB,EGNL-EGGD-EGNL
VSB96,VSB,96,VSB,EGNL-EGLF-EGNL
VSB97,VSB,97,VSB,EGNL-EGGD-EGNL
