Callsign,Code,Number,AirlineCode,AirportCodes
VTM1101,VTM,1101,VTM,MMHO-MMQT
VTM1102,VTM,1102,VTM,MMQT-MMHO
VTM125,VTM,125,VTM,MMIO-KLRD-KTOL-MMIO
VTM202,VTM,202,VTM,MMVA-MMQT
VTM207,VTM,207,VTM,MMIO-MMQT-MMVA-MMUN-MMQT
VTM2202,VTM,2202,VTM,MMUN-MMQT
VTM2203,VTM,2203,VTM,MMQT-MMMD-MMUN
VTM2207,VTM,2207,VTM,MMHO-MMQT
VTM2208,VTM,2208,VTM,MMQT-MMTC-MMHO-MMCU
VTM2687,VTM,2687,VTM,MMHO-KPHX-MMHO
VTM2807,VTM,2807,VTM,MMHO-KPHX-MMHO
VTM289,VTM,289,VTM,MMIO-MMSP-KLRD-KANB-MMIO
VTM292,VTM,292,VTM,CYQG-KDTW-KELP-CYQG
VTM302,VTM,302,VTM,MMQT-MMUN
VTM303,VTM,303,VTM,MMUN-MMVA
VTM3303,VTM,3303,VTM,MMQT-MMUN-MMVA
VTM4401,VTM,4401,VTM,MMTJ-MMQT
VTM4402,VTM,4402,VTM,MMQT-MMCL-MMTJ
VTM4404,VTM,4404,VTM,MMCS-MMMY-MMQT
VTM4405,VTM,4405,VTM,MMQT-MMMY-MMCS
VTM5001,VTM,5001,VTM,MMCU-MMMY-MMQT
VTM5002,VTM,5002,VTM,MMQT-MMCS-MMCU
VTM5218,VTM,5218,VTM,MGGT-MMSM
VTM529,VTM,529,VTM,MMIO-KLRD-KTOL-MMIO
VTM558,VTM,558,VTM,MNMG-KLRD
VTM659,VTM,659,VTM,KMIA-MMUN-MMMD-MMUN-KMIA
VTM6602,VTM,6602,VTM,MMQT-MMHO-MMLP
VTM6603,VTM,6603,VTM,MMMD-KMIA
VTM6604,VTM,6604,VTM,KMIA-MMUN-MMMD
VTM662,VTM,662,VTM,KMIA-MMMD
VTM663,VTM,663,VTM,MMQT-MMVA-MMUN
VTM6657,VTM,6657,VTM,MMMD-MMQT
VTM710,VTM,710,VTM,MMVA-MMSP
VTM7520,VTM,7520,VTM,MMTO-MMMY-MMCU-MMCS
VTM7521,VTM,7521,VTM,MMCS-MMCU-MMMY-MMTO
VTM756,VTM,756,VTM,MMQT-MMMD
VTM762,VTM,762,VTM,MMSP-MMVA
VTM7701,VTM,7701,VTM,MMTJ-MMCS-MMQT
VTM7702,VTM,7702,VTM,MMQT-MMCL-MMTJ
VTM773,VTM,773,VTM,MMMD-KMIA
VTM774,VTM,774,VTM,MMMD-KMIA
VTM7756,VTM,7756,VTM,MMQT-MMMD
VTM802,VTM,802,VTM,MMQT-MMUN-MMVA
VTM8301,VTM,8301,VTM,MMTO-MMUN-MMMD
VTM8302,VTM,8302,VTM,MMMD-MMTO
VTM939,VTM,939,VTM,MMHO-KELP
VTM940,VTM,940,VTM,KELP-MMHO-KELP
VTM9727,VTM,9727,VTM,MMTJ-MMHO-MMGL-MMTO
VTM9728,VTM,9728,VTM,MMTO-MMGL-MMHO-MMTJ
VTM9901,VTM,9901,VTM,MMUN-MMMD-MMQT
VTM9902,VTM,9902,VTM,MMQT-MMMD-MMUN-MMMD
VTM9904,VTM,9904,VTM,MMMD-MMQT
VTM9905,VTM,9905,VTM,MMQT-MMMD
VTM9987,VTM,9987,VTM,MMHO-KPHX-MMHO
