Callsign,Code,Number,AirlineCode,AirportCodes
VVC299,VVC,299,VVC,SKRG-SAEZ
VVC300,VVC,300,VVC,SKRG-MMMX
VVC301,VVC,301,VVC,MMMX-SKRG
VVC316,VVC,316,VVC,SKBO-SPJC
VVC317,VVC,317,VVC,SPJC-SKBO
VVC320,VVC,320,VVC,SKRG-KMIA
VVC328,VVC,328,VVC,SKBO-SPJC
VVC329,VVC,329,VVC,SKBO-SAEZ
VVC352,VVC,352,VVC,SKRG-KMIA
VVC355,VVC,355,VVC,SPJC-SKBO
VVC357,VVC,357,VVC,SEQM-SKBO
VVC358,VVC,358,VVC,SKRG-SPJC
VVC359,VVC,359,VVC,SPJC-SKRG
VVC360,VVC,360,VVC,SPJC-SKRG
VVC361,VVC,361,VVC,SKRG-SPJC
VVC459,VVC,459,VVC,MDPC-SKRG
VVC460,VVC,460,VVC,SBGR-SKRG
VVC461,VVC,461,VVC,SKRG-MMMX
VVC464,VVC,464,VVC,SKRG-MMUN
VVC468,VVC,468,VVC,SKRG-KMCO
VVC470,VVC,470,VVC,SPJC-SKBO
VVC472,VVC,472,VVC,SKBO-MMMX
VVC473,VVC,473,VVC,MMMX-SKBO
VVC474,VVC,474,VVC,SKBO-MMMX
VVC475,VVC,475,VVC,MMMX-SKBO
VVC476,VVC,476,VVC,SKRG-MMMX
VVC477,VVC,477,VVC,MMMX-SKRG
VVC4905,VVC,4905,VVC,MMMX-SKBO
VVC5511,VVC,5511,VVC,SKSP-SKRG
VVC5512,VVC,5512,VVC,SKRG-SKSP
VVC5514,VVC,5514,VVC,SKRG-SKSP
VVC5515,VVC,5515,VVC,SKSP-SKRG
VVC5517,VVC,5517,VVC,SKSP-SKRG
VVC5518,VVC,5518,VVC,SKRG-SKSP
VVC5519,VVC,5519,VVC,SKSP-SKRG
VVC5522,VVC,5522,VVC,SKRG-SKSP
VVC5527,VVC,5527,VVC,SKSP-SKRG
VVC5528,VVC,5528,VVC,SKRG-SKSP
VVC5530,VVC,5530,VVC,SKCL-SKSP
VVC5534,VVC,5534,VVC,SKCL-SKSP
VVC5538,VVC,5538,VVC,SKCL-SKSP
VVC5546,VVC,5546,VVC,SKCG-SKSP
VVC5547,VVC,5547,VVC,SKSP-SKCG
VVC5548,VVC,5548,VVC,SKBO-SKBQ
VVC5549,VVC,5549,VVC,SKBQ-SKBO
VVC5551,VVC,5551,VVC,SKBQ-SKBO
VVC5553,VVC,5553,VVC,SKBQ-SKBO
VVC5555,VVC,5555,VVC,SKBO-SKLT
VVC5559,VVC,5559,VVC,SKBO-SKLT
VVC5560,VVC,5560,VVC,SKBO-SKRG
VVC5561,VVC,5561,VVC,SKBO-SKRG
VVC5563,VVC,5563,VVC,SKRG-SKBO
VVC5565,VVC,5565,VVC,SKRG-SKBO
VVC5566,VVC,5566,VVC,SKBO-SKRG
VVC5567,VVC,5567,VVC,SKRG-SKBO
VVC5569,VVC,5569,VVC,SKRG-SKBO
VVC5572,VVC,5572,VVC,SKBO-SKRG
VVC5574,VVC,5574,VVC,SKBO-SKRG
VVC5576,VVC,5576,VVC,SKBO-SKRG
VVC5577,VVC,5577,VVC,SKRG-SKBO
VVC5578,VVC,5578,VVC,SKBO-SKRG
VVC5579,VVC,5579,VVC,SKRG-SKBO
VVC5581,VVC,5581,VVC,SKBO-SKRG
VVC5583,VVC,5583,VVC,SKRG-SKBO
VVC5587,VVC,5587,VVC,SKBO-SKRG
VVC5588,VVC,5588,VVC,SKBO-SKSM
VVC5589,VVC,5589,VVC,SKSM-SKBO
VVC5592,VVC,5592,VVC,SKBO-SKSM
VVC5593,VVC,5593,VVC,SKSM-SKBO
VVC5594,VVC,5594,VVC,SKBO-SKSM
VVC5595,VVC,5595,VVC,SKSM-SKBO
VVC5596,VVC,5596,VVC,SKBO-SKSM
VVC5598,VVC,5598,VVC,SKBO-SKSM
VVC5600,VVC,5600,VVC,SKBO-SKSM
VVC5602,VVC,5602,VVC,SKBO-SKSM
VVC5604,VVC,5604,VVC,SKBO-SKSM
VVC5607,VVC,5607,VVC,SKSP-SKRG
VVC5608,VVC,5608,VVC,SKRG-SKSP
VVC5609,VVC,5609,VVC,SKSM-SKBO
VVC5610,VVC,5610,VVC,SKBO-SKSP
VVC5611,VVC,5611,VVC,SKSP-SKBO
VVC5612,VVC,5612,VVC,SKBO-SKSP
VVC5613,VVC,5613,VVC,SKSP-SKBO
VVC5614,VVC,5614,VVC,SKBO-SKSP
VVC5617,VVC,5617,VVC,SKSP-SKBO
VVC5619,VVC,5619,VVC,SKSP-SKBO
VVC5620,VVC,5620,VVC,SKBO-SKBQ
VVC5621,VVC,5621,VVC,SKBQ-SKBO
VVC5623,VVC,5623,VVC,SKSP-SKBO
VVC5624,VVC,5624,VVC,SKBO-SKSP
VVC5625,VVC,5625,VVC,SKBQ-SKBO
VVC5628,VVC,5628,VVC,SKBO-SKSP
VVC5630,VVC,5630,VVC,SKRG-SKBQ
VVC5631,VVC,5631,VVC,SKBQ-SKRG
VVC5632,VVC,5632,VVC,SKRG-SKBQ
VVC5636,VVC,5636,VVC,SKRG-SKCG
VVC5638,VVC,5638,VVC,SKRG-SKCG
VVC5640,VVC,5640,VVC,SKBO-SKMR
VVC5644,VVC,5644,VVC,SKRG-SKCG
VVC5646,VVC,5646,VVC,SKRG-SKCG
VVC5648,VVC,5648,VVC,SKRG-SKCG
VVC5652,VVC,5652,VVC,SKRG-SKCG
VVC5654,VVC,5654,VVC,SKRG-SKCG
VVC5660,VVC,5660,VVC,SKBO-SKRH
VVC5661,VVC,5661,VVC,SKRH-SKBO
VVC5662,VVC,5662,VVC,SKBO-SKRH
VVC5663,VVC,5663,VVC,SKPE-SKBO
VVC5664,VVC,5664,VVC,SKCL-SKSM
VVC5668,VVC,5668,VVC,SKCL-SKSM
VVC5669,VVC,5669,VVC,SKSM-SKCL
VVC5671,VVC,5671,VVC,SKRH-SKBO
VVC5672,VVC,5672,VVC,SKPE-SKCG
VVC5673,VVC,5673,VVC,SKCG-SKPE
VVC5675,VVC,5675,VVC,SKCG-SKPE
VVC5678,VVC,5678,VVC,SKPE-SKCG
VVC5682,VVC,5682,VVC,SKRG-SKCC
VVC5683,VVC,5683,VVC,SKCC-SKRG
VVC5686,VVC,5686,VVC,SKRG-SKMR
VVC5687,VVC,5687,VVC,SKMR-SKRG
VVC5689,VVC,5689,VVC,SKMR-SKRG
VVC5690,VVC,5690,VVC,SKRG-SKMR
VVC5691,VVC,5691,VVC,SKMR-SKRG
VVC5692,VVC,5692,VVC,SKPE-SKCG
VVC5695,VVC,5695,VVC,SKSM-SKRG
VVC5696,VVC,5696,VVC,SKRG-SKSM
VVC5697,VVC,5697,VVC,SKSM-SKRG
VVC5698,VVC,5698,VVC,SKRG-SKSM
VVC5700,VVC,5700,VVC,SKRG-SKSM
VVC5701,VVC,5701,VVC,SKCG-SKBO
