Callsign,Code,Number,AirlineCode,AirportCodes
WBA120,WBA,120,WBA,EFPO-EFHK
WBA121,WBA,121,WBA,EFHK-EFPO
WBA121P,WBA,121P,WBA,EFHK-EFPO
WBA122,WBA,122,WBA,EFPO-EFHK
WBA123,WBA,123,WBA,EFHK-EFPO
WBA123P,WBA,123P,WBA,EFHK-EFPO
WBA124,WBA,124,WBA,EFPO-EFHK
WBA124P,WBA,124P,WBA,EFPO-EFHK
WBA125,WBA,125,WBA,EFHK-EFPO
WBA126,WBA,126,WBA,EFPO-EFHK
WBA126P,WBA,126P,WBA,EFPO-EFHK
WBA127,WBA,127,WBA,EFHK-EFPO
WBA127P,WBA,127P,WBA,EFHK-EFPO
WBA128,WBA,128,WBA,EFPO-EFHK
WBA128P,WBA,128P,WBA,EFPO-EFHK
WBA129,WBA,129,WBA,EFHK-EFPO
WBA129P,WBA,129P,WBA,EFHK-EFPO
WBA133,WBA,133,WBA,EFHK-EFPO
WBA133P,WBA,133P,WBA,EFHK-EFPO
WBA134,WBA,134,WBA,EFPO-EFHK
WBA134P,WBA,134P,WBA,EFPO-EFHK
WBA145J,WBA,145J,WBA,EFHK-EFJY
WBA148J,WBA,148J,WBA,EFJY-EFHK
WBA153,WBA,153,WBA,EFHK-EFJY
WBA155J,WBA,155J,WBA,EFHK-EFJY
WBA156,WBA,156,WBA,EFJY-EFHK
WBA156J,WBA,156J,WBA,EFJY-EFHK
WBA157J,WBA,157J,WBA,EFHK-EFJY
WBA161,WBA,161,WBA,EFHK-EFVR-EFSA-EFHK
WBA163,WBA,163,WBA,EFHK-EFSA
WBA163S,WBA,163S,WBA,EFHK-EFSA
WBA164,WBA,164,WBA,EFSA-EFHK
WBA164S,WBA,164S,WBA,EFSA-EFHK
WBA167,WBA,167,WBA,EFHK-EFVR-EFSA-EFHK
WBA167S,WBA,167S,WBA,EFSA-EFHK
WBA168S,WBA,168S,WBA,EFSA-EFHK
WBA171,WBA,171,WBA,EFHK-EFSA
WBA1ET,WBA,1ET,WBA,EFHK-LOWW
WBA1RM,WBA,1RM,WBA,EPKK-EFHK
WBA200,WBA,200,WBA,EFSI-EFHK
WBA201,WBA,201,WBA,EFHK-EFSI
WBA201S,WBA,201S,WBA,EFHK-EFSI
WBA202,WBA,202,WBA,EFSI-EFHK
WBA202S,WBA,202S,WBA,EFSI-EFHK
WBA203,WBA,203,WBA,EFHK-EFSI-EFKK-EFHK
WBA204,WBA,204,WBA,EFSI-EFHK
WBA205,WBA,205,WBA,EFHK-EFSI-EFPO-EFHK
WBA205S,WBA,205S,WBA,EFHK-EFSI
WBA206,WBA,206,WBA,EFSI-EFHK
WBA206S,WBA,206S,WBA,EFSI-EFHK
WBA207,WBA,207,WBA,EFHK-EFSI
WBA207S,WBA,207S,WBA,EFHK-EFSI
WBA209,WBA,209,WBA,EFHK-EFSI
WBA209S,WBA,209S,WBA,EFHK-EFSI
WBA223V,WBA,223V,WBA,EFHK-EFVA
WBA225V,WBA,225V,WBA,EFHK-EFKU
WBA227V,WBA,227V,WBA,EFHK-EFVA
WBA228,WBA,228,WBA,EFVA-EFHK
WBA233,WBA,233,WBA,EFHK-EFVA
WBA233V,WBA,233V,WBA,EFHK-EFVA
WBA234,WBA,234,WBA,EFVA-EFHK
WBA236V,WBA,236V,WBA,EFVA-EFHK
WBA243,WBA,243,WBA,EFHK-EFKU
WBA244,WBA,244,WBA,EFKU-EFHK
WBA249K,WBA,249K,WBA,EFHK-EFKU
WBA253K,WBA,253K,WBA,EFHK-EFKU
WBA255K,WBA,255K,WBA,EFHK-EFKU
WBA257,WBA,257,WBA,EFHK-EFKU
WBA257K,WBA,257K,WBA,EFHK-EFKU
WBA258,WBA,258,WBA,EFKU-EFHK
WBA267,WBA,267,WBA,EFHK-EFJO
WBA267J,WBA,267J,WBA,EFHK-EFJO
WBA268,WBA,268,WBA,EFJO-EFHK
WBA268J,WBA,268J,WBA,EFJO-EFHK
WBA273,WBA,273,WBA,EFHK-EFJO
WBA274,WBA,274,WBA,EFJO-EFHK
WBA275J,WBA,275J,WBA,EFHK-EFJO
WBA276,WBA,276,WBA,EFJO-EFHK
WBA280,WBA,280,WBA,EFKK-EFHK
