Callsign,Code,Number,AirlineCode,AirportCodes
WIA3002,WIA,3002,WIA,TNCE-TNCM
WIA305,WIA,305,WIA,TNCM-TKPN-TKPK-TNCM
WIA315,WIA,315,WIA,TNCM-TAPA
WIA316,WIA,316,WIA,TAPA-TNCM
WIA317,WIA,317,WIA,TNCM-TAPA
WIA318,WIA,318,WIA,TAPA-TNCM
WIA355,WIA,355,WIA,TNCM-TKPK
WIA358,WIA,358,WIA,TKPK-TNCM
WIA401,WIA,401,WIA,TNCM-TNCS
WIA41,WIA,41,WIA,TNCM-TUPJ
WIA411,WIA,411,WIA,TNCM-TNCS
WIA46,WIA,46,WIA,TUPJ-TNCM
WIA502,WIA,502,WIA,TNCE-TNCM
WIA615,WIA,615,WIA,TNCM-TFFJ
WIA623,WIA,623,WIA,TNCM-TFFJ
WIA671,WIA,671,WIA,TNCM-TFFJ
WIA804,WIA,804,WIA,TNCB-TNCC-TNCM
WIA805,WIA,805,WIA,TNCA-TNCC-TNCM
WIA806,WIA,806,WIA,TNCA-TNCC-TNCM
WIA809,WIA,809,WIA,WBKH-MTPP
WIA818,WIA,818,WIA,MDSD-TNCM-TFFR
WIA821,WIA,821,WIA,TNCM-TNCA-TNCC-TNCM
WIA857,WIA,857,WIA,TNCM-TDPD
