Callsign,Code,Number,AirlineCode,AirportCodes
WLM10A,WLM,10A,WLM,EGLC-EBAW
WLM171,WLM,171,WLM,EBAW-EGPD
WLM1A,WLM,1A,WLM,EBAW-EGLC
WLM31AM,WLM,31AM,WLM,ESSA-EDDM
WLM32MA,WLM,32MA,WLM,EDDN-EBAW
WLM36MA,WLM,36MA,WLM,LJMB-EDDM-EBAW
WLM37AM,WLM,37AM,WLM,EBAW-EDDM
WLM38MA,WLM,38MA,WLM,EDDM-EBAW
WLM3A,WLM,3A,WLM,EBAW-EGLC
WLM42ZA,WLM,42ZA,WLM,LSZH-EBAW
WLM47AZ,WLM,47AZ,WLM,EBAW-LSZH
WLM47ZA,WLM,47ZA,WLM,LSZH-EBAW
WLM48ZA,WLM,48ZA,WLM,LSZH-EBAW
WLM4LA,WLM,4LA,WLM,EGLC-EBAW
WLM63AB,WLM,63AB,WLM,EBAW-EGBB
WLM6LA,WLM,6LA,WLM,EGLC-EBAW
WLM70,WLM,70,WLM,LFST-EBBR
WLM7028,WLM,7028,WLM,EBAW-EDDM
WLM7029,WLM,7029,WLM,EDDM-EBAW
WLM7040,WLM,7040,WLM,EDRZ-EHBK
WLM7046,WLM,7046,WLM,EDTL-EBBR
WLM71AA,WLM,71AA,WLM,EBAW-EGPD
WLM85AC,WLM,85AC,WLM,EBAW-EDDK-ETNL
WLM9A,WLM,9A,WLM,EBAW-EGLC
WLM9AL,WLM,9AL,WLM,EBAW-EGLC
