Callsign,Code,Number,AirlineCode,AirportCodes
WMT0AN,WMT,0AN,WMT,EDJA-LROP
WMT0BB,WMT,0BB,WMT,EGKK-LOWW
WMT0BV,WMT,0BV,WMT,LRCL-LFMN
WMT0E,WMT,0E,WMT,LIPZ-LRIA
WMT0EB,WMT,0EB,WMT,LIMC-LEMD
WMT0FJ,WMT,0FJ,WMT,LIMC-EGKK
WMT0FL,WMT,0FL,WMT,LDSP-LIRF
WMT0JY,WMT,0JY,WMT,LGAV-LATI
WMT0LN,WMT,0LN,WMT,LATI-EBCI
WMT0PT,WMT,0PT,WMT,LRCL-LEMD
WMT0PW,WMT,0PW,WMT,EGBB-LROP
WMT0QS,WMT,0QS,WMT,UDYZ-LOWW
WMT0QV,WMT,0QV,WMT,LIPZ-LIRN
WMT0RE,WMT,0RE,WMT,LGKR-LIMC
WMT0RG,WMT,0RG,WMT,LROP-LECH
WMT0SK,WMT,0SK,WMT,LATI-LIBD
WMT0SL,WMT,0SL,WMT,LRIA-LIMF
WMT0VS,WMT,0VS,WMT,LROP-LIPH
WMT0WS,WMT,0WS,WMT,EDJA-LICC
WMT0WZ,WMT,0WZ,WMT,EDLW-LRTR
WMT0XT,WMT,0XT,WMT,LROP-LIPH
WMT0YR,WMT,0YR,WMT,LIRF-LFLL
WMT1002,WMT,1002,WMT,LEAL-LRCL
WMT1006,WMT,1006,WMT,LRCL-EDFH
WMT101,WMT,101,WMT,LATI-LIMC
WMT1010,WMT,1010,WMT,LROP-LEMD
WMT1017,WMT,1017,WMT,LEVC-LROP
WMT1018,WMT,1018,WMT,LIPH-LROP
WMT1019,WMT,1019,WMT,LROP-LFOB
WMT102,WMT,102,WMT,LROP-EKAH
WMT1024,WMT,1024,WMT,LROP-LEMD
WMT1025,WMT,1025,WMT,HESX-LIRF
WMT1026,WMT,1026,WMT,LGSR-LIRN
WMT104,WMT,104,WMT,EPRZ-LIRF
WMT1045,WMT,1045,WMT,LATI-LIRI
WMT1049,WMT,1049,WMT,EPKT-LIRN
WMT1050,WMT,1050,WMT,LIRN-EPKT
WMT106,WMT,106,WMT,EGBB-LROP
WMT107,WMT,107,WMT,EGGW-LRTR
WMT109,WMT,109,WMT,LGIR-LRCL
WMT10PQ,WMT,10PQ,WMT,GCTS-LOWW
WMT10SP,WMT,10SP,WMT,LGBL-LIRF
WMT10ZC,WMT,10ZC,WMT,LROP-LEVC
WMT11,WMT,11,WMT,LEMD-LIRF
WMT1105,WMT,1105,WMT,LRCL-EDDN
WMT112,WMT,112,WMT,LRIA-EBCI
WMT1127,WMT,1127,WMT,LFLL-LROP
WMT1129,WMT,1129,WMT,LATI-LIPE
WMT113,WMT,113,WMT,LIPQ-LATI
WMT1130,WMT,1130,WMT,EDDN-LATI
WMT114,WMT,114,WMT,LFSB-LATI
WMT1146,WMT,1146,WMT,LLBG-LIRF
WMT1147,WMT,1147,WMT,LRCV-LEMD
WMT1155,WMT,1155,WMT,LIMC-LLBG
WMT1162,WMT,1162,WMT,LEMD-LIMC
WMT118,WMT,118,WMT,LYPG-LIMC
WMT119,WMT,119,WMT,LATI-LIRF
WMT1193,WMT,1193,WMT,LYPG-EDJA
WMT121,WMT,121,WMT,EHEH-LIRF
WMT1211,WMT,1211,WMT,LCLK-LIRF
WMT123,WMT,123,WMT,EDSB-LRTR
WMT1231,WMT,1231,WMT,LEBL-LRCV
WMT1238,WMT,1238,WMT,EDDN-LRCL
WMT124,WMT,124,WMT,LATI-LIPY
WMT1246,WMT,1246,WMT,LIPZ-LGAV
WMT126,WMT,126,WMT,LIMC-LICC
