Callsign,Code,Number,AirlineCode,AirportCodes
WOW1,WOW,1,WOW,BIKF-LFPG
WOW1011,WOW,1011,WOW,EGBB-EHAM
WOW1012,WOW,1012,WOW,EHAM-EGBB
WOW1013,WOW,1013,WOW,EGBB-EHAM
WOW1014,WOW,1014,WOW,EHAM-EGBB
WOW1021,WOW,1021,WOW,EGBB-EGAA
WOW1022,WOW,1022,WOW,EGAA-EGBB
WOW1023,WOW,1023,WOW,EGBB-EGAA
WOW1024,WOW,1024,WOW,EGAA-EGBB
WOW1025,WOW,1025,WOW,EGBB-EGAA
WOW1026,WOW,1026,WOW,EGAA-EGBB
WOW103,WOW,103,WOW,BIKF-KEWR
WOW1031,WOW,1031,WOW,EGBB-LEMG
WOW1032,WOW,1032,WOW,LEMG-EGBB
WOW1033,WOW,1033,WOW,EGBB-LEMG
WOW104,WOW,104,WOW,KEWR-BIKF
WOW1041,WOW,1041,WOW,EGBB-LEAL
WOW1042,WOW,1042,WOW,LEAL-EGBB
WOW1044,WOW,1044,WOW,LEAL-EGBB
WOW1081,WOW,1081,WOW,EGBB-LKPR
WOW1082,WOW,1082,WOW,LKPR-EGBB
WOW1091,WOW,1091,WOW,EGBB-EIKN
WOW1092,WOW,1092,WOW,EIKN-EGBB
WOW10F,WOW,10F,WOW,EGPH-EGFF
WOW1103,WOW,1103,WOW,EGBB-LSGG
WOW1104,WOW,1104,WOW,LSGG-EGBB
WOW1105,WOW,1105,WOW,EGBB-LSGG
WOW1106,WOW,1106,WOW,LSGG-EGBB
WOW1107,WOW,1107,WOW,EGBB-LSGG
WOW1108,WOW,1108,WOW,LSGG-EGBB
WOW117,WOW,117,WOW,BIKF-KBWI
WOW118,WOW,118,WOW,KBWI-BIKF
WOW121,WOW,121,WOW,BIKF-EDDB
WOW123,WOW,123,WOW,BIKF-EDDB
WOW124,WOW,124,WOW,EDDB-BIKF
WOW125,WOW,125,WOW,YFDF-KBOS
WOW126,WOW,126,WOW,KBOS-BIKF
WOW131,WOW,131,WOW,BIKF-KMIA
WOW135,WOW,135,WOW,BIKF-CYUL
WOW136,WOW,136,WOW,CYUL-BIKF
WOW13P,WOW,13P,WOW,EGBB-EHAM
WOW13Y,WOW,13Y,WOW,EGBB-EHAM
WOW145,WOW,145,WOW,BIKF-CYYZ
WOW1452,WOW,1452,WOW,EGPF-EGBB
WOW1453,WOW,1453,WOW,EGBB-EGPF
WOW1454,WOW,1454,WOW,EGPF-EGBB
WOW147,WOW,147,WOW,BIKF-KPIT
WOW148,WOW,148,WOW,KPIT-BIKF
WOW14K,WOW,14K,WOW,EHAM-EGBB
WOW14P,WOW,14P,WOW,EHAM-EGBB
WOW1529,WOW,1529,WOW,EGBB-LFMN
WOW153,WOW,153,WOW,BIKF-EDDL
WOW1530,WOW,1530,WOW,LFMN-EGBB
WOW154,WOW,154,WOW,EDDL-BIKF
WOW161,WOW,161,WOW,BIKF-KSFO
WOW162,WOW,162,WOW,KSFO-BIKF
WOW163P,WOW,163P,WOW,BIKF-LPFR
WOW16S,WOW,16S,WOW,EGCC-EICK
WOW172,WOW,172,WOW,LSZH-BIKF
WOW1723,WOW,1723,WOW,EGBB-LPFR
WOW1724,WOW,1724,WOW,LPFR-EGBB
WOW1725,WOW,1725,WOW,EGBB-LPFR
WOW1726,WOW,1726,WOW,LPFR-EGBB
WOW173,WOW,173,WOW,BIKF-KLAX
WOW175,WOW,175,WOW,BIKF-LSZH
WOW1757,WOW,1757,WOW,EGBB-LELC
WOW1758,WOW,1758,WOW,LELC-EGBB
WOW183,WOW,183,WOW,BIKF-LOWS
WOW184,WOW,184,WOW,LOWS-BIKF
WOW1843,WOW,1843,WOW,EGBB-LEPA
WOW1844,WOW,1844,WOW,LEPA-EGBB
WOW18T,WOW,18T,WOW,EGCC-EGAA
WOW1991,WOW,1991,WOW,EGBB-LEBL
WOW1992,WOW,1992,WOW,LEBL-EGBB
WOW19C,WOW,19C,WOW,EGAA-EGCC
WOW1A,WOW,1A,WOW,LFPG-BIKF
WOW1AJ,WOW,1AJ,WOW,EIDW-BIKF
WOW1BC,WOW,1BC,WOW,BIKF-LEAL
WOW1CL,WOW,1CL,WOW,EDDF-BIKF
WOW1CP,WOW,1CP,WOW,EGKK-BIKF
WOW1JD,WOW,1JD,WOW,BIKF-EIDW
WOW1SA,WOW,1SA,WOW,BIKF-EGKK
WOW1SJ,WOW,1SJ,WOW,EGKK-BIKF
WOW1WA,WOW,1WA,WOW,LEAL-BIKF
WOW1ZZ,WOW,1ZZ,WOW,BIKF-EDDF
WOW2,WOW,2,WOW,BIKF-EGKK
WOW2001,WOW,2001,WOW,EGFF-EGPH
WOW2003,WOW,2003,WOW,EGFF-EGPH
WOW2004,WOW,2004,WOW,EGPH-EGFF
WOW205,WOW,205,WOW,BIKF-EGKK
WOW206,WOW,206,WOW,EGKK-BIKF
WOW213,WOW,213,WOW,BIKF-CYYZ
WOW214,WOW,214,WOW,CYYZ-BIKF
WOW2185,WOW,2185,WOW,EGFF-LEMH
WOW2186,WOW,2186,WOW,LEMH-EGFF
WOW2201,WOW,2201,WOW,EGFF-LEMG
WOW2202,WOW,2202,WOW,LEMG-EGFF
WOW2331,WOW,2331,WOW,EGFF-EGAA
WOW2333,WOW,2333,WOW,EGFF-EGAA
WOW2334,WOW,2334,WOW,EGAA-EGFF
WOW24F,WOW,24F,WOW,EGNX-EGJJ
WOW24N,WOW,24N,WOW,EGPH-EGNX
WOW24V,WOW,24V,WOW,EGPH-EGNX
WOW251,WOW,251,WOW,BIKF-CYUL
WOW252,WOW,252,WOW,CYUL-BIKF
WOW25D,WOW,25D,WOW,EGJJ-EGNX
WOW25H,WOW,25H,WOW,BIKF-CYUL
WOW2641,WOW,2641,WOW,EGFF-LEAL
WOW2642,WOW,2642,WOW,LEAL-EGFF
WOW2643,WOW,2643,WOW,EGFF-LEAL
WOW2644,WOW,2644,WOW,LEAL-EGFF
WOW2735,WOW,2735,WOW,EGFF-LPFR
WOW2736,WOW,2736,WOW,LPFR-EGFF
WOW2737,WOW,2737,WOW,EGFF-LPFR
WOW2738,WOW,2738,WOW,LPFR-EGFF
WOW27D,WOW,27D,WOW,EGNX-LEMG
WOW2811,WOW,2811,WOW,EGFF-LEIB
WOW2861,WOW,2861,WOW,EGFF-LSGG
WOW2862,WOW,2862,WOW,LSGG-EGFF
WOW28P,WOW,28P,WOW,LEMG-EGNX
WOW2901,WOW,2901,WOW,EGFF-EGJJ
WOW2902,WOW,2902,WOW,EGJJ-EGFF
WOW2935,WOW,2935,WOW,EGFF-LEPA
WOW2936,WOW,2936,WOW,LEPA-EGFF
WOW2937,WOW,2937,WOW,EGFF-LEPA
WOW2938,WOW,2938,WOW,LEPA-EGFF
WOW2967,WOW,2967,WOW,EGFF-LELC
WOW2968,WOW,2968,WOW,LELC-EGFF
WOW2AA,WOW,2AA,WOW,BIKF-EGPH
WOW2B,WOW,2B,WOW,EGKK-BIKF
WOW2BM,WOW,2BM,WOW,EGPH-BIKF
WOW2CK,WOW,2CK,WOW,EBBR-BIKF
WOW2DL,WOW,2DL,WOW,LFPG-BIKF
WOW2JU,WOW,2JU,WOW,BIKF-KCVG
WOW2LE,WOW,2LE,WOW,BIKF-LFPG
WOW2MV,WOW,2MV,WOW,BIKF-LFPG
WOW2ND,WOW,2ND,WOW,BIKF-EBBR
WOW2PA,WOW,2PA,WOW,EHAM-BIKF
WOW2PQ,WOW,2PQ,WOW,CYUL-BIKF
WOW2Q,WOW,2Q,WOW,EGPF-EGNX
WOW2VB,WOW,2VB,WOW,BIKF-CYUL
WOW300,WOW,300,WOW,BIKF-EGNX
WOW303,WOW,303,WOW,BIKF-EKCH
WOW304,WOW,304,WOW,EKCH-BIKF
WOW30A,WOW,30A,WOW,LFPG-EGNX
WOW3111,WOW,3111,WOW,EGCC-EHAM
WOW3112,WOW,3112,WOW,EHAM-EGCC
WOW3113,WOW,3113,WOW,EGCC-EHAM
WOW3114,WOW,3114,WOW,EHAM-EGCC
WOW320P,WOW,320P,WOW,BIKF-LJLJ
WOW321,WOW,321,WOW,EGSH-BIKF
WOW3211,WOW,3211,WOW,EGCC-LPPT
WOW3212,WOW,3212,WOW,LPPT-EGCC
WOW321P,WOW,321P,WOW,EGSH-BIKF
WOW3227,WOW,3227,WOW,EGCC-LFBO
WOW3228,WOW,3228,WOW,LFBO-EGCC
WOW3231,WOW,3231,WOW,EGCC-LFMP
WOW3232,WOW,3232,WOW,LFMP-EGCC
WOW330,WOW,330,WOW,CYMX-BIKF
WOW33C,WOW,33C,WOW,EGNX-LFPG
WOW3501,WOW,3501,WOW,EGCC-EGAA
WOW3502,WOW,3502,WOW,EGAA-EGCC
WOW3503,WOW,3503,WOW,EGCC-EGAA
WOW3504,WOW,3504,WOW,EGAA-EGCC
WOW3545,WOW,3545,WOW,EGCC-LEPA
WOW3546,WOW,3546,WOW,LEPA-EGCC
WOW3572,WOW,3572,WOW,LKPR-EGCC
WOW3573,WOW,3573,WOW,EGCC-LKPR
WOW3574,WOW,3574,WOW,LKPR-EGCC
WOW3691,WOW,3691,WOW,EGCC-LFBT
WOW3692,WOW,3692,WOW,LFBT-EGCC
WOW3709,WOW,3709,WOW,EGCC-LFMT
WOW3710,WOW,3710,WOW,LFMT-EGCC
WOW37E,WOW,37E,WOW,LEMG-EGFF
WOW3881,WOW,3881,WOW,EGCC-LFBD
WOW3882,WOW,3882,WOW,LFBD-EGCC
WOW3885,WOW,3885,WOW,EGCC-LSGG
WOW3886,WOW,3886,WOW,LSGG-EGCC
WOW38A,WOW,38A,WOW,EGAA-EGBB
WOW38M,WOW,38M,WOW,EGAA-EGBB
WOW3901,WOW,3901,WOW,EGCC-EIKN
WOW3905,WOW,3905,WOW,EGCC-EGJJ
WOW3906,WOW,3906,WOW,EGJJ-EGCC
WOW39M,WOW,39M,WOW,EGBB-EGPF
WOW39R,WOW,39R,WOW,EGAA-EGBB
WOW3C,WOW,3C,WOW,EKCH-BIKF
WOW3JT,WOW,3JT,WOW,EDDB-BIKF
WOW3KN,WOW,3KN,WOW,KLAX-BIKF
WOW3MW,WOW,3MW,WOW,BIKF-EHAM
WOW3SA,WOW,3SA,WOW,KSTL-BIKF
WOW3TX,WOW,3TX,WOW,BIKF-EDDB
WOW4,WOW,4,WOW,BIKF-EDDB
WOW403,WOW,403,WOW,BIKF-LFPG
WOW404,WOW,404,WOW,BIKF-LFPG
WOW405,WOW,405,WOW,LFPG-BIKF
WOW406,WOW,406,WOW,BIKF-LFPG
WOW407,WOW,407,WOW,LFPG-BIKF
WOW408,WOW,408,WOW,BIKF-LFPG
WOW409,WOW,409,WOW,LFPG-BIKF
WOW40Y,WOW,40Y,WOW,EGBB-EIKN
WOW412P,WOW,412P,WOW,LFPG-BIKF
WOW4201,WOW,4201,WOW,EGAC-EGSS
WOW4202,WOW,4202,WOW,EGSS-EGAC
WOW4203,WOW,4203,WOW,EGAC-EGSS
WOW4204,WOW,4204,WOW,EGSS-EGAC
WOW4205,WOW,4205,WOW,EGAC-EGSS
WOW4206,WOW,4206,WOW,EGSS-EGAC
WOW422,WOW,422,WOW,BIKF-LFLL
WOW423,WOW,423,WOW,BIKF-LFLL
WOW424,WOW,424,WOW,LFLL-BIKF
WOW425,WOW,425,WOW,LFLL-BIKF
WOW4321,WOW,4321,WOW,EGAA-LKPR
WOW4322,WOW,4322,WOW,LKPR-EGAA
WOW441,WOW,441,WOW,BIKF-EHAM
WOW442,WOW,442,WOW,BIKF-EHAM
WOW442A,WOW,442A,WOW,EHAM-BIKF
WOW443,WOW,443,WOW,EHAM-BIKF
WOW446,WOW,446,WOW,BIKF-EHAM
WOW447,WOW,447,WOW,EHAM-BIKF
WOW454,WOW,454,WOW,BIKF-LFMN
WOW4549,WOW,4549,WOW,EGJJ-EGHH
WOW4550,WOW,4550,WOW,EGHH-EGJJ
WOW45Z,WOW,45Z,WOW,EGFF-EGPH
WOW462,WOW,462,WOW,BIKF-EBBR
WOW463,WOW,463,WOW,EBBR-BIKF
WOW46B,WOW,46B,WOW,BIKF-EBBR
WOW46S,WOW,46S,WOW,EGFF-EGAA
WOW46V,WOW,46V,WOW,EBBR-BIKF
WOW4D,WOW,4D,WOW,EDDB-BIKF
WOW4PP,WOW,4PP,WOW,EGSS-BIKF
WOW4PQ,WOW,4PQ,WOW,EDDF-BIKF
WOW4RQ,WOW,4RQ,WOW,LEBL-BIKF
WOW4SH,WOW,4SH,WOW,BIKF-KEWR
WOW4SK,WOW,4SK,WOW,BIKF-LEBL
WOW4SL,WOW,4SL,WOW,EHAM-BIKF
WOW4SM,WOW,4SM,WOW,BIKF-KCLE
WOW4UR,WOW,4UR,WOW,BIKF-EGSS
WOW5,WOW,5,WOW,BIKF-EHAM
WOW5031,WOW,5031,WOW,EGNX-LEMH
WOW5032,WOW,5032,WOW,LEMH-EGNX
WOW508,WOW,508,WOW,BIKF-EPWA
WOW509,WOW,509,WOW,EPWA-BIKF
WOW5107,WOW,5107,WOW,EGNX-EICK
WOW5108,WOW,5108,WOW,EICK-EGNX
WOW515,WOW,515,WOW,BIKF-LEAL
WOW5191,WOW,5191,WOW,EGNX-EGPH
WOW5192,WOW,5192,WOW,EGPH-EGNX
WOW5193,WOW,5193,WOW,EGNX-EGPH
WOW5194,WOW,5194,WOW,EGPH-EGNX
WOW5195,WOW,5195,WOW,EGNX-EGPH
WOW5196,WOW,5196,WOW,EGPH-EGNX
WOW5225,WOW,5225,WOW,EGNX-LSGG
WOW5226,WOW,5226,WOW,LSGG-EGNX
WOW5227,WOW,5227,WOW,EGNX-LSGG
WOW5228,WOW,5228,WOW,LSGG-EGNX
WOW5249,WOW,5249,WOW,EGNX-EGJJ
WOW525,WOW,525,WOW,BIKF-LEBL
WOW5250,WOW,5250,WOW,EGJJ-EGNX
WOW5252,WOW,5252,WOW,LFPG-EGNX
WOW5253,WOW,5253,WOW,EGNX-LFPG
WOW5254,WOW,5254,WOW,LFPG-EGNX
WOW5275,WOW,5275,WOW,EGNX-LIPX
WOW5276,WOW,5276,WOW,LIPX-EGNX
WOW5327,WOW,5327,WOW,EGNX-LEMG
WOW5328,WOW,5328,WOW,LEMG-EGNX
WOW5329,WOW,5329,WOW,EGNX-LEMG
WOW5330,WOW,5330,WOW,LEMG-EGNX
WOW5331,WOW,5331,WOW,EGNX-LEMG
WOW5332,WOW,5332,WOW,LEMG-EGNX
WOW5333,WOW,5333,WOW,EGNX-LEMG
WOW5334,WOW,5334,WOW,LEMG-EGNX
WOW5355,WOW,5355,WOW,EGNX-LIEA
WOW5356,WOW,5356,WOW,LIEA-EGNX
WOW5371,WOW,5371,WOW,EGNX-LFMN
WOW5372,WOW,5372,WOW,LFMN-EGNX
WOW5411,WOW,5411,WOW,EGNX-LEAM
WOW5412,WOW,5412,WOW,LEAM-EGNX
WOW5427,WOW,5427,WOW,EGNX-LEPA
WOW5428,WOW,5428,WOW,LEPA-EGNX
WOW5429,WOW,5429,WOW,EGNX-LEPA
WOW5430,WOW,5430,WOW,LEPA-EGNX
WOW5432,WOW,5432,WOW,LEPA-EGNX
WOW5475,WOW,5475,WOW,EGNX-EHAM
WOW5476,WOW,5476,WOW,EHAM-EGNX
WOW5477,WOW,5477,WOW,EGNX-EHAM
WOW5529,WOW,5529,WOW,EGNX-LPFR
WOW5530,WOW,5530,WOW,LPFR-EGNX
WOW5531,WOW,5531,WOW,EGNX-LPFR
WOW5532,WOW,5532,WOW,LPFR-EGNX
WOW5533,WOW,5533,WOW,EGNX-LPFR
WOW5534,WOW,5534,WOW,LPFR-EGNX
WOW554,WOW,554,WOW,LIMC-BIKF
WOW5541,WOW,5541,WOW,EGNX-LEBL
WOW5542,WOW,5542,WOW,LEBL-EGNX
WOW5545,WOW,5545,WOW,EGNX-EDDM
WOW5546,WOW,5546,WOW,EDDM-EGNX
WOW5554,WOW,5554,WOW,LIRN-EGNX
WOW5601,WOW,5601,WOW,EGNX-EGAA
WOW5602,WOW,5602,WOW,EGAA-EGNX
WOW5603,WOW,5603,WOW,EGNX-EGAA
WOW5604,WOW,5604,WOW,EGAA-EGNX
WOW5605,WOW,5605,WOW,EGNX-EGAA
WOW5606,WOW,5606,WOW,EGAA-EGNX
WOW5615,WOW,5615,WOW,EGNX-EDDK
WOW5671,WOW,5671,WOW,EGNX-LDDU
WOW5672,WOW,5672,WOW,LDDU-EGNX
WOW5683,WOW,5683,WOW,EGNX-LKPR
WOW5684,WOW,5684,WOW,LKPR-EGNX
WOW5747,WOW,5747,WOW,EGNX-LMML
WOW5748,WOW,5748,WOW,LMML-EGNX
