Callsign,Code,Number,AirlineCode,AirportCodes
WZZ6,WZZ,6,WZZ,EPKK-EHEH
WZZ60,WZZ,60,WZZ,LHBP-EDLW
WZZ600,WZZ,600,WZZ,LBSF-LFOB
WZZ6001,WZZ,6001,WZZ,EGGW-UKKK
WZZ6002,WZZ,6002,WZZ,LIMC-BIKF
WZZ6003,WZZ,6003,WZZ,LCLK-EYVI
WZZ6004,WZZ,6004,WZZ,EPGD-EDDH
WZZ6005,WZZ,6005,WZZ,ENHD-EPGD
WZZ6008,WZZ,6008,WZZ,EHEH-EYKA
WZZ6009,WZZ,6009,WZZ,LCLK-LKPR
WZZ601,WZZ,601,WZZ,EDHI-LHBP
WZZ6010,WZZ,6010,WZZ,EKCH-UGKO
WZZ6011,WZZ,6011,WZZ,UKKK-LFOB
WZZ6012,WZZ,6012,WZZ,LFOB-UKKK
WZZ6013,WZZ,6013,WZZ,LBSF-LPPT
WZZ6014,WZZ,6014,WZZ,LKPR-EGGW
WZZ6015,WZZ,6015,WZZ,UKKK-EHEH
WZZ6016,WZZ,6016,WZZ,EHEH-UKKK
WZZ6017,WZZ,6017,WZZ,LFOB-LYBE
WZZ6019,WZZ,6019,WZZ,EGGW-LRSB
WZZ601G,WZZ,601G,WZZ,LBSF-EGGW
WZZ602,WZZ,602,WZZ,EGGW-LBSF
WZZ6020,WZZ,6020,WZZ,LGAV-LIMC
WZZ6021,WZZ,6021,WZZ,EPGD-EGGW
WZZ6022,WZZ,6022,WZZ,LCLK-EGGW
WZZ6023,WZZ,6023,WZZ,EHEH-LROP
WZZ6027,WZZ,6027,WZZ,EPGD-ENHD
WZZ6029,WZZ,6029,WZZ,LHBP-EPWA
WZZ602H,WZZ,602H,WZZ,EGGW-LBSF
WZZ603,WZZ,603,WZZ,LROP-EBCI
WZZ6030,WZZ,6030,WZZ,EYVI-UDYZ
WZZ6032,WZZ,6032,WZZ,EPKT-ENBR
WZZ6035,WZZ,6035,WZZ,LEBL-LHBP
WZZ6037,WZZ,6037,WZZ,ENTC-EPGD
WZZ6038,WZZ,6038,WZZ,LROP-LIBD
WZZ603V,WZZ,603V,WZZ,EPGD-LEBL
WZZ603Z,WZZ,603Z,WZZ,LBSF-EHEH
WZZ604,WZZ,604,WZZ,EGGP-LRIA
WZZ6040,WZZ,6040,WZZ,LRBC-EGGP
WZZ6041,WZZ,6041,WZZ,UKKK-LIMC
WZZ6042,WZZ,6042,WZZ,LIMC-UKKK
WZZ6043,WZZ,6043,WZZ,UKKK-LIRF
WZZ6044,WZZ,6044,WZZ,LIRF-UKKK
WZZ6045,WZZ,6045,WZZ,UKKK-LIPH
WZZ6046,WZZ,6046,WZZ,LIPZ-UKKK
WZZ6047,WZZ,6047,WZZ,LIRF-LPPR
WZZ6048,WZZ,6048,WZZ,LPPR-LIRF
WZZ6049,WZZ,6049,WZZ,UKKK-LIRN
WZZ605,WZZ,605,WZZ,LWSK-EDDB
WZZ6051,WZZ,6051,WZZ,EBCI-LRTR
WZZ6054,WZZ,6054,WZZ,EGKK-EPKK
WZZ6055,WZZ,6055,WZZ,EPKT-LMML
WZZ6056,WZZ,6056,WZZ,LBSF-EDLW
WZZ6058,WZZ,6058,WZZ,LHBP-EPWA
WZZ6059,WZZ,6059,WZZ,LRCL-LFSB
WZZ606,WZZ,606,WZZ,EDDB-LRIA
WZZ6060,WZZ,6060,WZZ,EPKK-EETN
WZZ6062,WZZ,6062,WZZ,ESKN-UKKK
WZZ6065,WZZ,6065,WZZ,LCLK-LBWN
WZZ606H,WZZ,606H,WZZ,EDLW-LBWN
WZZ607,WZZ,607,WZZ,LICC-EPKK
WZZ6070,WZZ,6070,WZZ,HESX-LIRF
WZZ6073,WZZ,6073,WZZ,EBCI-LROP
WZZ6077,WZZ,6077,WZZ,LFSB-LWSK
WZZ6078,WZZ,6078,WZZ,EFTU-LWSK
WZZ6079,WZZ,6079,WZZ,LEBL-LHBP
WZZ607S,WZZ,607S,WZZ,LEVC-LBSF
WZZ608,WZZ,608,WZZ,LZIB-LWSK
WZZ6082,WZZ,6082,WZZ,EGGW-LHDC
WZZ6086,WZZ,6086,WZZ,LBSF-LFSB
WZZ608R,WZZ,608R,WZZ,LGAV-EPKT
WZZ609,WZZ,609,WZZ,EHEH-LBWN
WZZ6091,WZZ,6091,WZZ,UKKK-EDLW
WZZ6092,WZZ,6092,WZZ,EDLW-UKKK
WZZ6094,WZZ,6094,WZZ,EPKT-EDDK
WZZ6096,WZZ,6096,WZZ,EDDH-EPGD
WZZ6097,WZZ,6097,WZZ,UKKK-EDDK
WZZ6098,WZZ,6098,WZZ,EDDK-UKKK
WZZ609Q,WZZ,609Q,WZZ,LEBL-EPWA
WZZ60AL,WZZ,60AL,WZZ,EPKT-EDLW
WZZ60AW,WZZ,60AW,WZZ,LRCL-EGGW
WZZ60DA,WZZ,60DA,WZZ,LIRF-EPKT
WZZ60EK,WZZ,60EK,WZZ,EGGW-LBSF
WZZ60GN,WZZ,60GN,WZZ,ENZV-EYKA
WZZ60GX,WZZ,60GX,WZZ,LLBG-LGRP
WZZ60K,WZZ,60K,WZZ,LRIA-LICC
WZZ60LE,WZZ,60LE,WZZ,EHEH-LBWN
WZZ60ML,WZZ,60ML,WZZ,LPMA-EPKT
WZZ60MV,WZZ,60MV,WZZ,LRCL-LEPA
WZZ60NX,WZZ,60NX,WZZ,LIRF-EPWA
WZZ60PP,WZZ,60PP,WZZ,EKBI-EPKT
WZZ60QX,WZZ,60QX,WZZ,EPKT-GCFV
WZZ60RA,WZZ,60RA,WZZ,EDFH-LBSF
WZZ60TJ,WZZ,60TJ,WZZ,EPGD-ENHD
